id,titles,category,website,description,major_categ
11,M.A. Development Studies and Diplomacy,democratic institutions,https://www.unsdglearn.org/courses/master-of-arts-in-development-studies-and-diplomacy-2/,master arts development studies diplomacy interdisciplinary holistic programme will broaden student s knowledge field development studies sustainability diplomacy will also equip required soft skills successful international career areas expertise offered online hybrid format upeace campus costa rica programme students will analyse different dimensions development including environmental social economic human dimensions well theory practice diplomacy 21st century students will also attend skills development sessions designed support professional career employability careers field can broad prospective employers include governments international organizations development agencies academia private sector following documentation required complete application process please ready hand beginning online application process will need uploaded system required supporting documents uploaded english proficiency test scores report toefl ielts statement purpose letters recommendation official undergraduate bachelor s degree transcripts degree certificate curriculum vitae resume copy passport front page photo passport size photo students can obtain ma international law diplomacy online upon successful completion 42 credits including 36 credits course work 6 credits final independent research project starting date hybrid format 23 august 2021 online format 6 september 2021 end date hybrid june 2022 online february 2023 registration deadline hybrid 30 may 2021 online 15 august 2021 download syllabus master arts development studies diplomacy interdisciplinary holistic programme will broaden student s knowledge field development studies sustainability diplomacy will also equip required soft skills successful international career areas expertise offered online hybrid format upeace campus costa rica programme students will analyse different dimensions development including environmental social economic human dimensions well theory practice diplomacy 21st century students will also attend skills development sessions designed support professional career employability careers field can broad prospective employers include governments international organizations development agencies academia private sector following documentation required complete application process please ready hand beginning online application process will need uploaded system required supporting documents uploaded students can obtain ma international law diplomacy online upon successful completion 42 credits including 36 credits course work 6 credits final independent research project starting date end date registration deadline target audience programme designed graduate students diplomats government officers ngo representatives international civil servants private sector specialists willing strengthen knowledge development studies sustainability international affairs management diplomacy programme designed graduate students diplomats government officers ngo representatives international civil servants private sector specialists willing strengthen knowledge development studies sustainability international affairs management diplomacy learning objectives end programme students will deep understanding theory practice development studies international cooperation sustainable development able evaluate different dimensions development deep understanding theory practice diplomacy able appraise nexus diplomacy un system contemporary challenges able apply key soft skills international working environment end programme students will,3
12,MA International Law and Diplomacy,democratic institutions,https://www.unsdglearn.org/courses/master-of-arts-in-international-law-and-diplomacy/,master arts international law diplomacy online hybrid formats graduate programme permitting students specialize interface international law diplomacy will broaden students knowledge field international law various foundational dimensions will also equip knowledge skills work field diplomacy related international careers programme students will analyse different dimensions international law including related law making armed conflicts human rights economic relations territorial maritime disputes environmental disputes well related theory practice diplomacy 21st century including dispute settlement conflict resolution students will also attend skills development sessions designed support professional career employability master s degree offered two un entities university peace united nations institute training research combines best academic executive style education students will also gain first hand experience work united nations un will opportunity participate field trip geneva hague un maintains significant presence following documentation required complete application process please ready hand beginning online application process will need uploaded system required supporting documents uploaded english proficiency test scores report toefl ielts statement purpose letters recommendation official undergraduate bachelor s degree transcripts degree certificate curriculum vitae resume copy passport front page photo passport size photo students can obtain ma international law diplomacy online upon successful completion 42 credits including 36 credits course work 6 credits final independent research project start date online 4 july 2022 hybrid 29 august 2022 end date online 17 may 2024 hybrid 17 may 2024 registration deadline 15 june 2022 download syllabus master arts international law diplomacy online hybrid formats graduate programme permitting students specialize interface international law diplomacy will broaden students knowledge field international law various foundational dimensions will also equip knowledge skills work field diplomacy related international careers programme students will analyse different dimensions international law including related law making armed conflicts human rights economic relations territorial maritime disputes environmental disputes well related theory practice diplomacy 21st century including dispute settlement conflict resolution students will also attend skills development sessions designed support professional career employability master s degree offered two un entities university peace united nations institute training research combines best academic executive style education students will also gain first hand experience work united nations un will opportunity participate field trip geneva hague un maintains significant presence following documentation required complete application process please ready hand beginning online application process will need uploaded system required supporting documents uploaded students can obtain ma international law diplomacy online upon successful completion 42 credits including 36 credits course work 6 credits final independent research project start date end date registration deadline 15 june 2022 target audience programme designed graduate students diplomats government officers ngo representatives international civil servants private law practitioners willing strengthen knowledge international law dispute settlement international affairs management diplomacy programme designed graduate students diplomats government officers ngo representatives international civil servants private law practitioners willing strengthen knowledge international law dispute settlement international affairs management diplomacy learning objectives end programme students will deep understanding theory practice international law able participate different processes law making implementing enforcement promoting rule law different levels especially regional international deep understanding theory practice diplomacy able appraise nexus international law diplomacy un system current contemporary challenges able apply key soft skills international working environment end programme students will,3
13,The Women ICT Frontier Initiative (WIFI),participation,https://www.unsdglearn.org/courses/the-women-ict-frontier-initiative-wifi/,women ict frontier initiative wifi flagship programme aims promote women s entrepreneurship asia pacific enhancing capabilities women entrepreneurs ict entrepreneurship enterprises can become productive hopefully grow sustainable can actively contribute community development well local national economy wifi programme officially launched 9 10 june 2016 korea regional forum examined state art ictd capacity building asia pacific develop appropriate regional national capacity development support 2030 agenda sustainable development download syllabus women ict frontier initiative wifi flagship programme aims promote women s entrepreneurship asia pacific enhancing capabilities women entrepreneurs ict entrepreneurship enterprises can become productive hopefully grow sustainable can actively contribute community development well local national economy wifi programme officially launched 9 10 june 2016 korea regional forum examined state art ictd capacity building asia pacific develop appropriate regional national capacity development support 2030 agenda sustainable development target audience women entrepreneurs women entrepreneurs learning objectives promote women s entrepreneurship asia pacific enhancing capabilities women entrepreneurs ict entrepreneurship promote women s entrepreneurship asia pacific enhancing capabilities women entrepreneurs ict entrepreneurship,1
14,Adaptation Funding,reflexivity and adaptation,https://www.unsdglearn.org/courses/direct-access-unlocking-adaptation-funding/,e learning course introduces participants concepts facets adaptation fund af accreditation process also provides overview requirements comply fund s environmental social policy esp gender policy gp direct access unlock adaptation funding e learning course important tool capacity building national subnational level tackles specific challenges opportunities associated direct access modality particular capacity gaps financial management fiduciary standards environmental social gender standards mitigation factors accreditation section introduces participants definition designated authority role nominating entity apply accreditation adaptation fund also provides overview adaptation fund fiduciary standards ways apply different types accreditation processes finally section also includes steps governing bodies involved regular accreditation process esp gp considerations section introduces participants fund s projects programme approval process compliance fund s esp gp esp risk identification process requirements elements robust consultative process grievance mechanism environmental social management plan esmp including monitoring reporting evaluation requirements relevant esp gp compliance af funding templates e learning course introduces participants concepts facets adaptation fund af accreditation process also provides overview requirements comply fund s environmental social policy esp gender policy gp direct access unlock adaptation funding e learning course important tool capacity building national subnational level tackles specific challenges opportunities associated direct access modality particular capacity gaps financial management fiduciary standards environmental social gender standards mitigation factors accreditation section introduces participants definition designated authority role nominating entity apply accreditation adaptation fund also provides overview adaptation fund fiduciary standards ways apply different types accreditation processes finally section also includes steps governing bodies involved regular accreditation process esp gp considerations section introduces participants fund s projects programme approval process compliance fund s esp gp esp risk identification process requirements elements robust consultative process grievance mechanism environmental social management plan esmp including monitoring reporting evaluation requirements relevant esp gp compliance af funding templates target audience government officials adaptation fund designated authorities adaptation fund national implementing entities focal points international organizations non governmental organizations ngos private sector relevant stakeholders government officials adaptation fund designated authorities adaptation fund national implementing entities focal points international organizations non governmental organizations ngos private sector relevant stakeholders learning objectives completion course participants will able successfully acquaint adaptation fund requirements accreditation fund s esp requirements project formulation implementation intended help recipients design implement sustainable projects avoid adverse impacts people environment help increase benefits completion course participants will able successfully acquaint adaptation fund requirements accreditation fund s esp requirements project formulation implementation intended help recipients design implement sustainable projects avoid adverse impacts people environment help increase benefits,4
15,ILO Labour Market Statistics and Analysis Academy,reflexivity and adaptation,https://www.unsdglearn.org/courses/labour-market-statistics-and-analysis-academy/,course begins overview scope labour market statistics key sources data typically used purpose including strengths weaknesses key sources followed overview key conceptual framework source internationally adopted definitions employment unemployment work related topics key focus placed labour force survey provision overview key areas methodology including questionnaire design sampling application classifications dissemination among stages statistical process additional key topics gender mainstreaming labour statistics earnings informality also covered feature academy design multi track design provides content certain aspects participants plenary limited parts academy different choices made available reflecting participants preference focus analysis survey planning options different points programme resource persons providing training professional statistical staff international labour organisation additional external experts components appropriate academy hosted ilo itc training centre turin annual basis last quarter year english duration academy 2 weeks academy also hosted locations example cote d ivoire delivered french future instances intended host academy additional locations three ilo official languages english french spanish subject available resources demands details can found https ilostat ilo org resources capacity building technical assistance course begins overview scope labour market statistics key sources data typically used purpose including strengths weaknesses key sources followed overview key conceptual framework source internationally adopted definitions employment unemployment work related topics key focus placed labour force survey provision overview key areas methodology including questionnaire design sampling application classifications dissemination among stages statistical process additional key topics gender mainstreaming labour statistics earnings informality also covered feature academy design multi track design provides content certain aspects participants plenary limited parts academy different choices made available reflecting participants preference focus analysis survey planning options different points programme resource persons providing training professional statistical staff international labour organisation additional external experts components appropriate academy hosted ilo itc training centre turin annual basis last quarter year english duration academy 2 weeks academy also hosted locations example cote d ivoire delivered french future instances intended host academy additional locations three ilo official languages english french spanish subject available resources demands details can found https ilostat ilo org resources capacity building technical assistance target audience academy targets particular 1 labour statisticians national statistical offices ministries labour related institutions labour observatories ilo member countries particular developing countries 2 employment development policy analysts national statistical offices government ministries research academic institutions labour observatories international organisations donor organisations 3 senior managers national statistical offices departments ministries labour related institutions labour observatories dealing production dissemination labour market statistics academy targets particular 1 labour statisticians national statistical offices ministries labour related institutions labour observatories ilo member countries particular developing countries 2 employment development policy analysts national statistical offices government ministries research academic institutions labour observatories international organisations donor organisations 3 senior managers national statistical offices departments ministries labour related institutions labour observatories dealing production dissemination labour market statistics learning objectives academy seeks create broad based understanding labour market statistics covering different stages statistical life cycle particular compilation analysis   following completion course participants able understand scope labour market statistics required national international reporting concept labour market information system understand key concepts underlying labour market statistics including relating work employment labour underutilization along informality key classifications labour related concepts understand different sources can used compile labour statistics key advantages disadvantages understand key features labour force survey gain high level understanding key elements methodology including questionnaire design sampling application classifications dissemination understand analyse labour market data using stata understand compile labour market related sdg indicators academy seeks create broad based understanding labour market statistics covering different stages statistical life cycle particular compilation analysis   following completion course participants able understand scope labour market statistics required national international reporting concept labour market information system understand key concepts underlying labour market statistics including relating work employment labour underutilization along informality key classifications labour related concepts understand different sources can used compile labour statistics key advantages disadvantages understand key features labour force survey gain high level understanding key elements methodology including questionnaire design sampling application classifications dissemination understand analyse labour market data using stata understand compile labour market related sdg indicators,4
16,Unleashing the Power of the Private Sector for the 2030 Agenda - 2021,participation,https://www.unsdglearn.org/courses/unleashing-the-power-of-the-private-sector-for-the-2030-agenda-2021/,registrations open 10 february 10 april 2030 agenda sustainable development unprecedented scope ambition un governments neither reach resources implement alone engagement especially private sector imperative 2030 agenda succeed private sector unparalleled reach capacity key driver achieve objectives 2030 agenda cases already performing role un member states must seize opportunity form strategic partnerships private sector entities advocate businesses embrace sustainable development order achieve 2030 agenda moreover 2030 agenda offers private sector numerous opportunities access new markets institutional investment estimated 12 trillion 2030 adding 380 million new jobs compelling argument private sector governments work together make 2030 agenda reality registrations open 10 february 10 april 2030 agenda sustainable development unprecedented scope ambition un governments neither reach resources implement alone engagement especially private sector imperative 2030 agenda succeed private sector unparalleled reach capacity key driver achieve objectives 2030 agenda cases already performing role un member states must seize opportunity form strategic partnerships private sector entities advocate businesses embrace sustainable development order achieve 2030 agenda moreover 2030 agenda offers private sector numerous opportunities access new markets institutional investment estimated 12 trillion 2030 adding 380 million new jobs compelling argument private sector governments work together make 2030 agenda reality target audience un staff especially partnership specialists officers development practitioners governments civil society academia private sector un staff especially partnership specialists officers development practitioners governments civil society academia private sector learning objectives five week course introduces participants different types private sector entities demonstrates strategically engaging can help implement 2030 agenda sustainable development introduces participants tools identify common objectives create shared value emphasises importance mitigating risk course also reinforces need participants advocate placing sustainable development core businesses investing five weeks course will focus week 1   partnerships vital 2030 agenda week 2   role private sector implementing 2030 agenda week 3   pursue partnerships private sector frameworks action week 4  due diligence protecting reputational risk week 5  engaging private sector way forward end 5 weeks participants will benefit depth understanding imperative engage private sector implementation 2030 agenda concept shared value understand private sector monolithic entity can engaged every level international national local demonstrate understanding frameworks design tools develop partnerships private sector demonstrate improved understanding importance due diligence pursuing engagements able articulate need advocate private sector engagement achieving 2030 agenda five week course introduces participants different types private sector entities demonstrates strategically engaging can help implement 2030 agenda sustainable development introduces participants tools identify common objectives create shared value emphasises importance mitigating risk course also reinforces need participants advocate placing sustainable development core businesses investing five weeks course will focus end 5 weeks participants will,1
17,Integrated policies and policy coherence for SDGs,policy coherence,https://www.unsdglearn.org/courses/integrated-policies-and-policy-coherence-for-sdgs/,toolkit jointly developed unitar  division public institutions digital governance dpidg un department economic social affairs un desa   un economic commission latin america caribbean eclac goes step promoting policy coherence participatory strategic planning recommended use situations interest go deeper integrated planning beyond good practices presented foundational toolkit policy cycle integrated approaches sdgs toolkit comprised comprehensive training materials apply systemic approaches analyze interactions different sdg areas design integrated policies key methodological areas toolkit system thinking policy coherence institutional arrangements stakeholder engagement among others toolkit aims facilitate government officials academia un country teams national experts conduct trainings toolkit comprised following modukes sessions used conduct national training module holistic approach policy coherence key building blocks module governance stakeholders engagement capacities implement sdgs module enhancing policy design capacity system thinking analysis module evaluating policy options coherence developing integrated national strategies module assessing governance institutional capacities policy coherence integration focus integrated policy design practice facilitation action planning evaluation toolkit available english french   toolkit jointly developed unitar  division public institutions digital governance dpidg un department economic social affairs un desa   un economic commission latin america caribbean eclac goes step promoting policy coherence participatory strategic planning recommended use situations interest go deeper integrated planning beyond good practices presented foundational toolkit policy cycle integrated approaches sdgs toolkit comprised comprehensive training materials apply systemic approaches analyze interactions different sdg areas design integrated policies key methodological areas toolkit system thinking policy coherence institutional arrangements stakeholder engagement among others toolkit aims facilitate government officials academia un country teams national experts conduct trainings toolkit comprised following modukes sessions used conduct national training toolkit available english french   target audience national experts government officials academics un country teams others national experts government officials academics un country teams others learning objectives end training learners will better positioned define key building blocks holistic integrated planning policy coherence framework map engage effectively key stakeholders national priority setting process apply elements systems thinking assess intersectoral interactions identify nationally relevant leverage points accelerators build interaction maps describe possible approaches developing coherent policy options across sectors designing consultative process develop integrated strategy conduct institutional readiness assessment sdg requirements addition learners will develop individual action plan incorporate relevant knowledge professional context able either provide policy leadership train stakeholders coach colleagues development integrated policies end training learners will better positioned addition learners will,2
18,SDG Lab Toolkit,participation,https://www.unsdglearn.org/courses/sdg-lab-toolkit/,2030 agenda sustainable development 17 goals sdgs call collaboration partnership like never achieving sdgs requires us look complex global challenges many different dimensions sdg lab created just — acting connector amplifier question asker innovator toolkit living document captures lab s journey providing insight methods tools techniques used can enable organization deliver agenda toolkit can used foundation lab inspire new ways working can help localizing sdgs context building lab experimenting others testing new tools trying new ways working think multi stakeholder integrated finding works doesn t connecting new stakeholders incubating partnerships co creating solutions making case resource mobilization maximizing unique convening power learning implementation success challenges download syllabus 2030 agenda sustainable development 17 goals sdgs call collaboration partnership like never achieving sdgs requires us look complex global challenges many different dimensions sdg lab created just — acting connector amplifier question asker innovator toolkit living document captures lab s journey providing insight methods tools techniques used can enable organization deliver agenda toolkit can used foundation lab inspire new ways working can help target audience toolkit can used range audiences built help considering starting lab similar multi stakeholder experimental initiative equally useful looking new methods ideas relevant stakeholder groups un ngo government academic institutions private sector particularly assuming role convener facilitator incubator change maker toolkit can used range audiences built help considering starting lab similar multi stakeholder experimental initiative equally useful looking new methods ideas relevant stakeholder groups un ngo government academic institutions private sector particularly assuming role convener facilitator incubator change maker,1
19,Online Diploma in Multilateral Diplomacy,democratic institutions,https://www.unsdglearn.org/courses/online-diploma-in-multilateral-diplomacy/,using internet based training unitar brings participants trainers together unique virtual learning environment courses build unitar s wealth experience designing implementing training workshops diplomacy multilateral affairs country regional levels   e learning provides specific advantages geographically time constrained individuals obtain valuable information day day operations future projects   awarded online diploma participants required participate succesfully complete 4 6 online courses offered unitar s multilateral diplomacy programme unit february 2020  november 2020 submit final research paper e learning courses students can choose public cultural diplomacy diplomacy 4 0 cosmopolitan communication art speechwriting united nations protocol overcoming negotiation deadlocks courses last 4 6 weeks average workload individual course 5 8 study hours per week final requirement obtain online diploma multilateral diplomacy will submission research paper 3 000 5 000 words using internet based training unitar brings participants trainers together unique virtual learning environment courses build unitar s wealth experience designing implementing training workshops diplomacy multilateral affairs country regional levels   e learning provides specific advantages geographically time constrained individuals obtain valuable information day day operations future projects   awarded online diploma participants required participate succesfully complete 4 6 online courses offered unitar s multilateral diplomacy programme unit february 2020  november 2020 submit final research paper e learning courses students can choose courses last 4 6 weeks average workload individual course 5 8 study hours per week final requirement obtain online diploma multilateral diplomacy will submission research paper 3 000 5 000 words target audience online diploma designed government officials diplomats private sector specialists practitioners international arena academics students interested participants online diploma designed government officials diplomats private sector specialists practitioners international arena academics students interested participants learning objectives completing diploma students able demonstrate comprehensive substantive practical knowledge current challenges international affairs diplomacy perform bilateral multilateral working environments increased confidence develop analytical skills critical thinking advance career acquisition skills highly valued international working environment completing diploma students able,3
20,Executive Summer Programme on Innovations in Science Diplomacy,democratic institutions,https://www.unsdglearn.org/courses/unitar-executive-summer-programme-on-innovations-in-science-diplomacy/,course will empower future leaders science diplomacy facilitate research questions data generate actions evidence options contribute informed decision making provide leadership science diplomacy networks build common interests across globally interconnected civilization executive summer program will offered interactive online workshops e workshops material presented programme will interactive assignments will given participants advance knowledge participants will take part highly interactive exercises enhance grasp topic addition participants will also access unitar s virtual learning environment will able access training material wealth information course materials will include readings powerpoints simulations games test gauges readings course will empower future leaders science diplomacy facilitate research questions data generate actions evidence options contribute informed decision making provide leadership science diplomacy networks build common interests across globally interconnected civilization executive summer program will offered interactive online workshops e workshops material presented programme will interactive assignments will given participants advance knowledge participants will take part highly interactive exercises enhance grasp topic addition participants will also access unitar s virtual learning environment will able access training material wealth information course materials will include readings powerpoints simulations games test gauges readings target audience programme open diplomats staff governmental non governmental organizations students researchers academics business representatives wishing tackle complex challenges related science technology well interested individuals programme open diplomats staff governmental non governmental organizations students researchers academics business representatives wishing tackle complex challenges related science technology well interested individuals learning objectives end programme participants able explain relationship science diplomacy theory practice apply negotiation skills common interest building conflict resolution complementary approaches develop effective communication skills including policy memo writing interview response speaking integrate evidence options contribute informed decision making governance mechanisms built infrastructure well coupling sustainability united nations sustainable development goals contribute science diplomat balance benefit local global global local levels end programme participants able,3
21,Becoming a Business Leader on the Global Goals,policy coherence,https://www.unsdglearn.org/courses/becoming-a-business-leader-on-the-global-goals/,understand take action global goals interactive 30 minute e learning course designed professionals interested learning can integrate global goals business strategy operations     course builds insights ongoing work un global compact companies around world well existing tools resources including sdg compass un global compact gri world business council sustainable development blueprint business leadership sdgs un global compact integrating sdgs corporate reporting practical guide un global compact gri understand take action global goals interactive 30 minute e learning course designed professionals interested learning can integrate global goals business strategy operations     course builds insights ongoing work un global compact companies around world well existing tools resources including sdg compass un global compact gri world business council sustainable development blueprint business leadership sdgs un global compact integrating sdgs corporate reporting practical guide un global compact gri target audience corporate corporate learning objectives completing course will learn understand 17 global goals ten principles global compact take four practical steps make meaningful long lasting contribution global goals using principles based approach completing course will learn,2
22,Taking the Entrepreneurship Route,reflexivity and adaptation,https://www.unsdglearn.org/courses/taking-the-entrepreneurship-route/,course gives aspiring young entrepreneurs clear understanding path entrepreneurship risks rewards entrepreneur well business start process young men women will benefit enhancing entrepreneurial mindset developing skills identify act opportunities course part itc youth trade initiative aimed fostering inclusion young entrepreneurs international markets global value chains ultimate objective creating jobs income opportunities download syllabus course gives aspiring young entrepreneurs clear understanding path entrepreneurship risks rewards entrepreneur well business start process young men women will benefit enhancing entrepreneurial mindset developing skills identify act opportunities course part itc youth trade initiative aimed fostering inclusion young entrepreneurs international markets global value chains ultimate objective creating jobs income opportunities learning objectives understand risks rewards taking entrepreneurship route identify role entrepreneur conceptualize entrepreneurship process formulate business opportunity assessment decide whether act identified business idea produce business model canvas document company s value proposition infrastructure customers finances,4
23,The Gender Statistics Toolkit,reflexivity and adaptation,https://www.unsdglearn.org/courses/the-gender-statistics-online-training-toolkit/,course participants will oriented best practices issues planning gathering sharing unbiased gender statistics can used basis informed decision making policy programme formulation monitoring toolkit structured around four modules include final quiz gender statistics online training toolkit consists four modules covering following areas module 1 introduction gender statistics module 2 planning gender statistics module 3 producing gender statistics module divided two parts 3a 3b time use survey module 4 communicating using gender statistics tool change order take training user create account platform enroll course module ends quiz learner needs pass order successfully complete whole course upon completion course filling evaluation form user will able issue downloadable certificate completion name toolkit also resource centre reading bottom appropriate courses training can part facilitated course e g pre work can used self learning tool modules can taken independently please note order obtain certificate four modules must producers official statistics levels course participants will oriented best practices issues planning gathering sharing unbiased gender statistics can used basis informed decision making policy programme formulation monitoring toolkit structured around four modules include final quiz gender statistics online training toolkit consists four modules covering following areas order take training user create account platform enroll course module ends quiz learner needs pass order successfully complete whole course upon completion course filling evaluation form user will able issue downloadable certificate completion name toolkit also resource centre reading bottom appropriate courses training can part facilitated course e g pre work can used self learning tool modules can taken independently please note order obtain certificate four modules must producers official statistics levels target audience training intended various type users including producers users official statistics levels well trainers trainees statistical institutes training centres followings   1 producers official statistics levels nsos line ministries departments agencies provincial district offices responsible compiling statistics dissemination use programming designing policy interventions 2 users statistics planners monitoring evaluation officials civil society organizations gender activists 3 trainers statistical institutes training centers training intended various type users including producers users official statistics levels well trainers trainees statistical institutes training centres followings   1 producers official statistics levels 2 users statistics 3 trainers statistical institutes training centers,4
24,SDG Primer,policy coherence,https://www.unsdglearn.org/courses/sdg-primer-e-course/,2030 agenda sustainable development constitutes paradigm shift requires understanding articulating narrative around meaning value sustainable development sustainable development goals interrelate across various sectors will take achieve sdg primer resulted collaborative effort undertaken united nations sustainable development group assembled relevant thinking insights around key global national sdg related challenges developed support unssc unitar sdsn undco sdg primer lays urgency action required actors countries foundational characteristics universal integrated framework specific actions can take better support countries governments take approximately 3 hours complete sdg primer course available two languages english arabic 2030 agenda sustainable development constitutes paradigm shift requires understanding articulating narrative around meaning value sustainable development sustainable development goals interrelate across various sectors will take achieve sdg primer resulted collaborative effort undertaken united nations sustainable development group assembled relevant thinking insights around key global national sdg related challenges developed support unssc unitar sdsn undco sdg primer lays take approximately 3 hours complete sdg primer course available two languages english arabic target audience general audience anyone interested working sdgs welcome join general audience anyone interested working sdgs welcome join learning objectives end sdg primer learners will ability will act decisively realize agenda s transformative vision remain elusive learners will learn sdg framework can help countries reframe challenges contexts analyse connections across goals sectors design innovative solutions manage harness connections chart transformative pathways development systems sustainable resilient future uncertainties learners will learn sdgs come life primary implementing agents national governments signatories 2030 agenda learners will learn vital points connection opportunities collaboration covering key actors roles end sdg primer,2
25,Measuring Productivity,reflexivity and adaptation,https://www.unsdglearn.org/courses/measuring-productivity/,productivity one major determinants standard living since increases productivity may result higher real income promote price stability measurement productivity important element evaluation relative efficiency factor utilization domestically internationally analysis trends productivity especially labor productivity factor successful examination occupational mobility projection future employment opportunities determination future workforce training policies seminar includes discussions following topics definitions concepts output inputs prices costs index theory aggregation methods methodology calculating output per hour multifactor productivity measures output measurement including deflated value physical quantity measures input measurement aggregation heterogeneous outputs inputs index construction index linking sources data various government private sources including discussion poor fragmentary data derivation output measures input measures including labor capital intermediate purchases weights trend analysis changes productivity factor input shifts historical analysis data used construct productivity measures also used report following sdg indicators indicator 8 2 1 annual growth rate real gdp per employed person indicator 9 2 2 manufacturing employment proportion total employment productivity one major determinants standard living since increases productivity may result higher real income promote price stability measurement productivity important element evaluation relative efficiency factor utilization domestically internationally analysis trends productivity especially labor productivity factor successful examination occupational mobility projection future employment opportunities determination future workforce training policies seminar includes discussions following topics definitions concepts methodology calculating output per hour multifactor productivity measures sources data trend analysis data used construct productivity measures also used report following sdg indicators target audience seminar designed economists statisticians researchers analysts professionals engaged productivity measurement national statistical programs participants elementary knowledge statistics experience analyzing labor economic data seminar designed economists statisticians researchers analysts professionals engaged productivity measurement national statistical programs participants elementary knowledge statistics experience analyzing labor economic data learning objectives strengthen capabilities development analysis statistics productivity presenting techniques compilation application productivity measurements individual industries major sectors total economy demonstrating value output per hour measurements deriving unit labor cost data analysis wage price relationship industry major sector total economy economic growth projections labor mobility trends workforce training demonstrating value multifactor productivity indicator economic progress explanation growth output per hour way relate analyze movements price output prices labor well inputs discussing concerns government business labor organizations regarding productivity additional information bls international training programs please visit bls division international technical cooperation itc website contact itc staff itcinfo bls gov strengthen capabilities development analysis statistics productivity additional information bls international training programs please visit bls division international technical cooperation itc website contact itc staff itcinfo bls gov,4
