,titles,description
16,"The Sustainable Development Goals <U+0096> A global, transdisciplinary vision for the future","In 2015, the UN launched the 17 Sustainable Development Goals (SDGs). Adopted by 193 member states, the goals represent an important international step in setting humanity on a trajectory towards sustainable development. Within this course, you will get a historical overview of how sustainability has been understood, as well as a thorough introduction to the SDGs   what they are, how progress can be measured, and how the SDGs are relevant for the management of the global systems supporting humanity. The course will examine how various societal actors are responding to and implementing the SDGs. , While all of the SDGs are essential to sustainable development, SDG 13, Climate Action, is usually perceived as the most urgent in terms of the need for a swift implementation on a global scale. Therefore, particular focus is given to this SDG. Through the course, you will gain up-to-date knowledge of the current understanding of human impacts on the Earth at the planetary level. Progress towards establishing global management of human interactions with the climate system within the United Nations Framework Convention on Climate Change (UNFCCC) is also discussed.

The course is designed and taught by Professor Katherine Richardson, who is a member of the 15-person panel appointed by the UN General Secretary in 2016 to write the 2019 Global Sustainable Development Report. In each lecture, Katherine interviews experts who provide insights relevant to the topic at hand."
17,The Age of Sustainable Development,"The Age of Sustainable Development"" gives students an understanding of the key challenges and pathways to sustainable development - that is, economic development that is also socially inclusive and environmentally sustainable."
18,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,"We re excited you re here! This course,  Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,  is the first course in the Sustainability and Development MasterTrack  Certificate, but you can also take this course as a stand-alone learning opportunity. , Sustainability and development pose unprecedented challenges as human societies grow and seek to ensure future wellbeing and prosperity. In this course, we ll focus on addressing the twin challenges of sustainability and development with actionable knowledge for innovating solutions to the world s most pressing problems like climate change, poverty and inequality, and biodiversity loss and ecosystem degradation. Rather than sustainability being a qualifier for development (e.g. sustainable development), we conceptualize Sustainability and Development as co-equal fields of inquiry and action that seek to build bridges between the natural, social and applied sciences and the humanities. When sustainability and development are placed on an equal footing, it requires us to think more explicitly about the trade-offs, co-benefits and synergies between them, which we will be exploring in depth in each week.

Throughout the course, you will be introduced to the theoretical currents in Sustainability and Development, and will garner an in-depth understanding of the United Nations  17 Sustainable Development Goals (SDGs). We will also consider the methods and skills necessary for designing innovative solutions to sustainability and development problems through the emerging field of Sustainability Science.

In this course, we will explore three of the most pressing challenges undergirding the  Sustainable Development Goals (SDGs) including climate change, poverty and inequality, and ecosystem degradation and biodiversity loss, with case studies to guide and challenge our thinking. In the final week of the course, we will discuss the trade-offs, co-benefits and synergies between these challenges, especially as they relate to designing innovative solutions for achieving  our sustainability and development goals.

By the end of this course, you will be able to:
1. Understand and explain the world s most pressing problems with a specific focus on poverty & inequality, ecosystem degradation and biodiversity loss, and climate change.
2. Critically analyze the Sustainable Development Goals (SDGs) and their relationship to the world s most pressing problems.
3. Use frameworks and evidence necessary to develop solutions.
4. Assess relevant solutions that would help realize the SDGs and at the same time solve the pressing problems. 
5. Apply skills learned to implement solutions."
19,"Sustainable Business: Big Issues, Big Changes","This is class 3 in the MOOC specialization, Become a Sustainable Business Change Agent., This class looks at the big issues companies are fixing - climate change, water, worker satisfaction and supply chain issues.
You will learn tools to help your company address these issues intelligently.

The class ends with an assignment to set a science-based carbon reduction target for a small company.  Tis is absolutely cutting edge material.  Only about 300 companies in the whole world are doing this as of July 2017.  You could put your company in the elite group!

With the knowledge and tools you have acquired from the 3 classes in this specialization you are well on your way to making a difference in your company, and making the future brighter for everyone.

Thank you for being part of this program!"
20,Environmental Management & Ethics,"Decision-makers often turn to scientists and engineers to assist them to navigate through complex environmental, health and societal challenges pervaded by systemic uncertainty, ambiguity and ethical implications. , This course prepares you to meet the requests and demands of current and future decision-makers and in this course, you will analyze ethical challenges associated with environmental dilemmas and apply different decision making tools relevant to environmental management and regulation."
21,From Climate Science to Action,"Each part of the world faces specific vulnerabilities to climate change and has different opportunities to mitigate the effects and build resilience in the 21st century. With the ratification of the Paris Agreement, many countries have acceded to act in combatting climate change. Indeed, without climate action, decades of sustainable development is at risk, thus making this a  make or break  point in time. Showcasing the most recent scientific evidence, explaining the different regional impacts and divulging climate action strategies, along with interactive tools such as a Carbon Footprint Tracker and (I) NDC Platform, this MOOC provides some opportunities, where you can take action on climate change., About the Course

This action-oriented MOOC gives you the opportunity to learn about regional climate change impacts and sector-specific strategies to increase resilience and move towards a low-carbon future. You will have the opportunity to explore these issues in depth and tailor your learning experience for one or more of the following regions:

   Latin America and Caribbean
   Sub-Saharan Africa
   Middle East and North Africa
   Eastern Europe and Central Asia
   East Asia and Pacific
   South Asia

 In this endeavor, the MOOC brings together renowned scientists and policymakers to provide a synthesis of the most recent scientific evidence on climate change, regional low emissions and climate resilient development strategies across sectors. A team of expert Instructors will lead discussions around the Paris Agreement, reflections from COP22 and the progress on Nationally Determined Contributions (NDCs).

Course Syllabus

Overview 

 From Climate Science to Action  is divided into four weeks. The first two weeks will provide a comprehensive overview of the scientific evidence for climate change, followed by region-specific insights on the impacts of a warmer world in the 21st century. The last two weeks will focus on action strategies that are being undertaken in different regions and countries to meet the climate challenge, and how you as an individual can take action to avoid a warmer world!

Week 1:  Climate Change in the 21st Century

   Historical and projected observed changes in the climate system, leading up to the end of the 21st century
   The potential of Intended Nationally Determined Contributions (INDCs) submitted at COP 21 from 187 countries to induce climate action
   Trends in climate change impacts, including loss of Arctic sea ice, melting glaciers, increased heat waves and extreme temperatures, and drought and aridity 
   Possible responses from natural systems, explaining how warming could result in sea-level rise, heat waves and extreme temperatures, and ocean acidification

Week 2: Sectoral and Regional Impacts

   Impacts on key development sectors from warming above pre-industrial temperatures and projected climate trends across each of the world s regions
   Sectoral impacts focusing on agricultural production, water resources, ecosystem services, and coastal vulnerability for affected populations 
   Importance of risks with the potential to reverse hard-won development gains and potentially trap millions in poverty, illustrating the need for urgent action now

Week 3: From Science to Action on Climate Change

   Region-specific discussions on mitigation actions needed to reduce emissions while decreasing vulnerability to climate change impacts through adaptation and by building climate resilience
   Perspectives from regional experts on their experiences in strategies and actions proposed in each region to help transition towards a low-emissions, climate-resilient development path 
   Discussions on the progress of the Nationally Determined Contributions (NDCs), outcomes of the Paris Agreement and reflections from the Conference of Parties (COP)22

Week 4: What You Can Do

   Transformative impact of day-to-day changes when brought to a global scale
   The rationale for acting now, acting together and acting differently
   Examples and expected benefits of mitigation and adaptation policies, considering both contributions to global emission reductions and local development opportunities

In addition to the core resources and assignments, you may choose to go further, engaging in fun optional exercises, networking, discussion, and diving deeper into our rich selection of supplemental resources. You will have the opportunity to explore these issues in depth and tailor your learning experience for one or more of the following regions:

   Latin America and Caribbean
   Sub-Saharan Africa
   Middle East and North Africa
   Eastern Europe and Central Asia
   East Asia and Pacific
   South Asia

Course Format

This MOOC has a week-by-week structure, with resources, activities and exercises for you to engage in during each of the four weeks of the course. Each week, you will find a variety of course material, including: 

   Interactive video talks by renowned climate scientists and practitioners 
   Interactive tools: the Carbon Footprint Tracker, (I) NDC platform
   Resources: Core, optional (deep dive) and fun interactives on the week s theme
   Quizzes that check your knowledge, reinforce the lesson s material and provide immediate feedback
   Assignments that will sharpen your skills of analysis, reflection and communication
   Discussion forums and social media that enable collaboration with others from around the world, enriching interaction among 
   As a final project, you will create a digital artifact 

You can also go much further than this, engaging in optional exercises, networking, or discussion forums and dive deeper into our rich selection of additional resources. We also will use e-discussions, and other tools to facilitate dialogue between the learners and experts.

Recommended Background: No background knowledge is necessary. The content of this course is designed to be accessible to students from any discipline.

Connect: Communicate and share resources via Twitter using hashtag #learnclimate. Sign up for a free account at http://twitter.com"
22,"Act on Climate: Steps to Individual, Community, and Political Action","Are you concerned about climate change? Would you like to learn how to address and respond to this challenge? If so, this course is for you.  , Act on Climate: Steps to Individual, Community, and Political Action is intended to help learners understand, address and respond to climate change as individuals and in partnership with their communities and political leaders. The course focuses on how to translate learning into action on climate change in the areas of food, energy, transportation and the built environment (cities). This course was co-developed and taught by Michaela Zint, Professor of Environmental Education and Communication, and University of Michigan Students. A range of academic climate change experts and professional leaders are featured.

As a result of completing this course, you will be able to:

1) Identify individual, community, and political actions you can engage in to effectively address and respond to climate change.

2) Describe how insights from the social sciences can be employed to create change at the individual, community, and political levels.

3) Feel empowered to continue to influence how you, your community, and political leaders address and respond to climate change.

Use #UMichActonClimate on social media to share what you're doing and connect with other learners."
23,Global Environmental Management,"Learn about the best environmental technologies for a sustainable development and how they are managed in various settings around the world. This course gives you an opportunity to learn about global trends that influence our environment and the living conditions and how different management systems and approaches that are used around the world to manage the environment. This includes current environmental technologies built for the environment and technologies for sustainable soil management, groundwater protection methods and integrated Water resources management."
24,Global Energy and Climate Policy,"The Global Energy and Climate Policy course offers an introduction to the theoretical and practical understanding of how energy and climate change policies are designed, shaped, advocated and implemented. As energy markets go truly global, domestic energy policies are becoming more and more entangled with wider issues of international governance. Concurrently, the urgent need to mitigate and adapt to climate change and transition to a low-carbon future is adding a further layer of complexity. , The course is aimed broadly at people interested in learning more about interconnected issues in energy and climate policy globally. It assumes a level of interest but no necessary previous knowledge. However, the course also offers sufficient up to date research and new critical perspectives to be of interest to people with expertise in or academic familiarity with the topic as well. 

The main aim of the course is to provide this wide-ranging introduction in a self-contained, but in-depth form, alongside the important practical skills necessary to understand and discuss energy and climate policy, and lay the groundwork for greater engagement in the future   either through academic study, in the public, private or not-for-profit sectors."
25,Our Energy Future,"This course is designed to introduce students to the issues of energy in the 21st century   including food and fuels   which are inseparably linked   and will discuss energy production and utilization from the biology, engineering, economics, climate science, and social science perspectives. , This course will cover the current production and utilization of energy, as well as the consequences of this use, examining finite fossil energy reserves, how food and energy are linked, impacts on the environment and climate, and the social and economic impacts of our present energy and food production and use. After the introductory lectures, we will examine the emerging field of sustainable energy, fuel and food production, emphasizing the importance of developing energy efficient and sustainable methods of production, and how these new technologies can contribute to replacing the diminishing supplies of fossil fuels, and reduce the consequences of carbon dioxide release into the environment. This course will also cover the importance of creating a sustainable energy future for all societies including those of the developing world.  Lectures will be prepared and delivered by leading UC San Diego and Scripps Institution of Oceanography faculty and industry professionals across these areas of expertise."
26,Ecological and Energy Transitions in Southern Countries,"The Agence Fran aise de D veloppement and the Ecole normale sup rieure are launching the fourth edition of the MOOC  Ecological and Energy Transitions in Southern Countries"". , This edition will be launched simultaneously in 4 languages: 
          In english : Ecological and Energy Transitions in Southern Countries
          In french : Transitions  nerg tique et  cologique dans les pays du Sud
https://www.coursera.org/learn/transitions-energetiques-pays-du-sud/
          In spanish : Transiciones energ ticas y ecol gicas en los pa ses del Sur
 https://www.coursera.org/learn/transiciones-energeticas-y-ecologicas-en-los-paises-del-sur
.         In portuguese : Transi  o energ tica e ecol gica em pa ses do sul https://www.coursera.org/learn/transiao-energtica-e-ecologica-em-paises-do-sul 

This MOOC is at the junction between the development of Southern countries and sustainable development. 
It has: 
1) a macroeconomic and financial dimension, developed by Gael Giraud and Alain Grandjean; 
2) an ecological and climatic dimension, developed by David Claessen and ENS speakers; and 
3) a focus on Southern countries, developed by AFD speakers.

Here are the learning goals for the entire training program:

Goal 1: Be able to understand the relationship between the energy transition, the ecological transition, the role of energy in our economy, our economic development model, and financing issues. 
Goal 2: Know how to advocate for and lobby on issues and on the need to change reality in order to implement strategies and action plans.
Goal 3: Be able to make a link between the Energy transition and financing solutions, and between comprehension and action.  
No one questions the imperative need to ensure development based on personal well-being and a fair distribution of wealth.

The Challenges of a Transition for All  
Until now the development of Northern countries has been based on an increasing exploitation of energy resources and a greater freedom of trade and exchange at the global scale. We now know that such a model is no longer sustainable, due to global warming and to the overexploitation of resources, which lead to health, social, and environmental disasters.

The Role of Developing Countries
With that in mind, how can we ensure fair and equitable growth for all? What role do countries from the different regions in the South have to play in this complete upheaval of the current economic, trade, and political models in order to achieve an effective energy and ecological transition?
  
A MOOC to Respond to these Questions
This free online training offers complementary perspectives from several specialists of issues related to climate change and the development of Southern countries. They will share their very practical understanding of the current crises and the answers that can be provided. Participants will learn from studies by:
  Researchers from the prestigious  cole Normale Sup rieure in Paris
  Field experts from the Agence Fran aise de D veloppement, a funding agency that has been committed to helping developing countries for 75 years,
  Carbone 4 founder Alain Grandjean, who will share his experience, in particular on the economic and financial aspects.
 
Here is the program: 
1.       Our development model is ecologically unsustainable
2.       The dominant economic models hinder the energy and ecological transition
3.       The energy transition path: decarbonizing GDP
4.       The model of an ecological transition to new prosperity
5.       Governance of the energy and ecological transition
6.       Financing the energy and ecological transition"
27,Anti-Corruption in the context of the 2030 Agenda,"The 2030 Agenda was a major breakthrough for the anti-corruption movement, as it emphasizes the importance of promoting transparency, accountability and anti-corruption for sustainable development, and makes an explicit link between corruption, peace and just and inclusive societies.
UNDP Administrator Achim Steiner said,  the 2030 Agenda has established anti-corruption as a global imperative on which hinges the achievement of all sustainable development goals. Goal 16 is rooted in human rights and highlights the importance of strengthening institutions and governance in our pledge to leave no one behind. We also have the opportunity to advance the anti-corruption agenda through the implementation of the UN Convention Against Corruption, which has now reached near-universal ratification, providing a comprehensive global framework to fight corruption in alignment with the 2030 Agenda. Corruption is a complex challenge that continues to persist in many countries across the world. It has a direct impact on the three dimensions of sustainable development   social, economic and environmental   and affects each of the five pillars of the 2030 agenda: people, planet, prosperity, peace and partnerships. 
Despite progress made, corruption is still a pressing challenge. Resources lost through corruption exceed the estimated 10 trillion dollars required to eradicate poverty by 2030. Money lost to corruption is essentially development denied to those most at risk of being left behind.
									, The 2030 Agenda was a major breakthrough for the anti-corruption movement, as it emphasizes the importance of promoting transparency, accountability and anti-corruption for sustainable development, and makes an explicit link between corruption, peace and just and inclusive societies., UNDP Administrator Achim Steiner said,  the 2030 Agenda has established anti-corruption as a global imperative on which hinges the achievement of all sustainable development goals. Goal 16 is rooted in human rights and highlights the importance of strengthening institutions and governance in our pledge to leave no one behind. We also have the opportunity to advance the anti-corruption agenda through the implementation of the UN Convention Against Corruption, which has now reached near-universal ratification, providing a comprehensive global framework to fight corruption in alignment with the 2030 Agenda. Corruption is a complex challenge that continues to persist in many countries across the world. It has a direct impact on the three dimensions of sustainable development   social, economic and environmental   and affects each of the five pillars of the 2030 agenda: people, planet, prosperity, peace and partnerships. , Despite progress made, corruption is still a pressing challenge. Resources lost through corruption exceed the estimated 10 trillion dollars required to eradicate poverty by 2030. Money lost to corruption is essentially development denied to those most at risk of being left behind., 
					Target audience
					Upon successful completion of the course,  will:
Demonstrate a sound understanding of the 2030 Agenda and articulate the key role that anti-corruption plays in the implementation of the 2030 Agenda.
Demonstrate a clear understanding of the dual role anti-corruption plays in the 2030 Agenda, both as a focus area in itself under SDG 16 and as a prerequisite for achieving the other SDGs.
Identify different methods, tools and best practices to mainstream anti-corruption initiatives in sustainable development plans and programmes.
Identify practical tools and best practices to harmonize the monitoring of sustainable development and anti-corruption initiatives.
Be able to articulate the need for aligning sustainable development and anti-corruption efforts.
, Upon successful completion of the course,  will:, 
					Learning objectives
					UN staff from headquarters, UN country teams or regional offices, government representatives, development practitioners as well as members of civil society, academia and foundations.
				, UN staff from headquarters, UN country teams or regional offices, government representatives, development practitioners as well as members of civil society, academia and foundations."
28,SDG Primer,"The 2030 Agenda for Sustainable Development constitutes a paradigm shift. It requires understanding and articulating a narrative around the meaning and value of sustainable development, how the Sustainable Development Goals interrelate across various sectors, and what it will take to achieve them.
The SDG Primer resulted from a collaborative effort undertaken under the United Nations Sustainable Development Group that assembled the most relevant thinking and insights around key global and national SDG-related challenges. It has been developed with the support of UNSSC, UNITAR, SDSN, and UNDCO.
The SDG Primer lays out the:
Urgency of action required by all actors in all countries;
Foundational characteristics of this universal and integrated framework;
Specific actions we can all take to better support countries and governments.
It should take approximately 3 hours to complete the SDG Primer.
The course is available in two languages: English and Arabic.
									, The 2030 Agenda for Sustainable Development constitutes a paradigm shift. It requires understanding and articulating a narrative around the meaning and value of sustainable development, how the Sustainable Development Goals interrelate across various sectors, and what it will take to achieve them., The SDG Primer resulted from a collaborative effort undertaken under the United Nations Sustainable Development Group that assembled the most relevant thinking and insights around key global and national SDG-related challenges. It has been developed with the support of UNSSC, UNITAR, SDSN, and UNDCO., The SDG Primer lays out the:, It should take approximately 3 hours to complete the SDG Primer., The course is available in two languages: English and Arabic., 
					Target audience
					General audience: Anyone who is interested in or working on the SDGs is welcome to join!
				, General audience: Anyone who is interested in or working on the SDGs is welcome to join!, 
					Learning objectives
					At the end of the SDG Primer,
learners will have the ability and will to act decisively and realize the Agenda s transformative vision remain elusive;
learners will learn how the SDG framework can help countries reframe challenges in their contexts, analyse connections across goals and sectors, design innovative solutions that manage and harness these connections, and chart transformative pathways to development systems that are sustainable and resilient to future uncertainties;
learners will learn how the SDGs come to life through their primary implementing agents: national governments, the signatories of the 2030 Agenda;
learners will learn some vital points of connection and opportunities for collaboration, covering key actors and their roles.
, At the end of the SDG Primer,"
