id,titles,category,website,description,major_categ
41,SEEA: In-depth Training on Water Accounting,reflexivity and adaptation,https://www.unsdglearn.org/courses/seea-in-depth-training-on-water-accounting/,system environmental economic accounts water seea water integrated approach water monitoring bringing together wide range water related statistics across sectors one coherent information system seea water conceptual framework set accounts presents hydrological information alongside economic information consistent way seea water consistent seea central framework follows similar accounting structure system national accounts sna seea water uses concepts definitions classifications consistent sna order facilitate integration environmental economic statistics seea water allows us develop indicators conduct analysis economy environment nexus focus water seea water facilitates better informed decision making particularly integrated water resources management seea water offers means monitoring pressures exerted economy environment terms abstraction water environment impacts terms changes stocks water economy responds terms expenditure environmental protection resource management seea water propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications example goal 6 sdgs focuses specifically water includes calls improving water quality reducing pollution eliminating dumping release hazardous materials reducing proportion untreated wastewater increasing recycling safe reuse water seea water methodology can play important role measuring targets providing framework development indicators course self paced without instruction can taken point time course available english arabic system environmental economic accounts water seea water integrated approach water monitoring bringing together wide range water related statistics across sectors one coherent information system seea water conceptual framework set accounts presents hydrological information alongside economic information consistent way seea water consistent seea central framework follows similar accounting structure system national accounts sna seea water uses concepts definitions classifications consistent sna order facilitate integration environmental economic statistics seea water allows us develop indicators conduct analysis economy environment nexus focus water seea water facilitates better informed decision making particularly integrated water resources management seea water offers means monitoring pressures exerted economy environment terms abstraction water environment impacts terms changes stocks water economy responds terms expenditure environmental protection resource management seea water propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications example goal 6 sdgs focuses specifically water includes calls improving water quality reducing pollution eliminating dumping release hazardous materials reducing proportion untreated wastewater increasing recycling safe reuse water seea water methodology can play important role measuring targets providing framework development indicators course self paced without instruction can taken point time course available english arabic target audience target audience includes compilers potential compilers seea water accounts target audience also includes ministries experts provide data used seea water accounts policy analysts working integrated water resources management may also find course useful target audience includes compilers potential compilers seea water accounts target audience also includes ministries experts provide data used seea water accounts policy analysts working integrated water resources management may also find course useful learning objectives understand conceptual framework used seea water learn basic concepts definitions classifications used seea water learn seea water implemented countries understand seea water contributes developing policies integrated water resources management sustainable development,4
42,LEiP,policy coherence,https://www.unsdglearn.org/courses/learning-environment-for-integrated-planning/,unitar  millennium institute jointly developed simulation game called learning environment integrated planning leip based millennium institute s isdg integrated simulation tool learning environment uses multi player asymmetric multi laptop blended approach game simulates investment planning process country achieve selected sdgs exercise instantly demonstrates progress towards selected sdg shows cross sectoral effects well synergies trade offs selected goals leip uses model developed trends characterizing development average ldc sids middle income high income countries unitar  millennium institute jointly developed simulation game called learning environment integrated planning leip based millennium institute s isdg integrated simulation tool learning environment uses multi player asymmetric multi laptop blended approach game simulates investment planning process country achieve selected sdgs exercise instantly demonstrates progress towards selected sdg shows cross sectoral effects well synergies trade offs selected goals leip uses model developed trends characterizing development average ldc sids middle income high income countries target audience government officers international organizations academia universities interested audiences learning objectives key learning objectives include understanding intervention sector can affect performance sectors realizing synergies can emerge joint implementation interventions different areas appreciating importance integrated planning achieving sdgs key learning objectives include,2
43,SEEA: In Depth Training on Energy Accounting,reflexivity and adaptation,https://www.unsdglearn.org/courses/system-of-environmental-economic-accounting-seea-in-depth-training-on-energy-accounting/,system environmental economic accounting energy seea energy multi purpose conceptual framework organizing energy related statistics supports analysis role energy within economy state energy inputs various energy related transactions environmental interest fully consistent seea central framework energy information typically presented physical terms seea energy also applies monetary valuations various stocks flows based seea accounting approach seea energy consistent seea central framework follows similar accounting structure system national accounts sna seea energy uses concepts definitions classifications consistent sna order facilitate integration energy economic statistics seea energy allows us develop indicators conduct analysis economy environment nexus focus energy seea energy facilitates better informed decision making particularly energy policy climate policy natural resource management seea energy offers means monitoring pressures exerted economy environment terms extraction energy environment impacts terms changes stocks energy resources air emissions economy responds terms expenditure environmental protection resource management seea energy propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications example goal 7 sdgs focuses specifically energy seea energy methdology can play important role measuring targets providing framework development indicators course self paced without instruction can taken point time available english russian arabic system environmental economic accounting energy seea energy multi purpose conceptual framework organizing energy related statistics supports analysis role energy within economy state energy inputs various energy related transactions environmental interest fully consistent seea central framework energy information typically presented physical terms seea energy also applies monetary valuations various stocks flows based seea accounting approach seea energy consistent seea central framework follows similar accounting structure system national accounts sna seea energy uses concepts definitions classifications consistent sna order facilitate integration energy economic statistics seea energy allows us develop indicators conduct analysis economy environment nexus focus energy seea energy facilitates better informed decision making particularly energy policy climate policy natural resource management seea energy offers means monitoring pressures exerted economy environment terms extraction energy environment impacts terms changes stocks energy resources air emissions economy responds terms expenditure environmental protection resource management seea energy propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications example goal 7 sdgs focuses specifically energy seea energy methdology can play important role measuring targets providing framework development indicators course self paced without instruction can taken point time available english russian arabic target audience target audience includes compilers potential compilers seea energy accounts target audience also includes ministries experts provide data used seea energy accounts e g energy statistics energy balances policy analysts particularly working energy climate change policy may also find course useful target audience includes compilers potential compilers seea energy accounts target audience also includes ministries experts provide data used seea energy accounts e g energy statistics energy balances policy analysts particularly working energy climate change policy may also find course useful learning objectives understand conceptual framework used seea energy learn basic concepts definitions classifications used seea energy understand relationship energy statistics balances seea energy understand seea energy contributes developing sustainable energy policies,4
44,Preparing for Action “National Briefing Package: The 2030 Agenda and SDGs”,participation,https://www.unsdglearn.org/courses/preparing-for-action-national-briefing-package-the-2030-agenda-and-sdgs/,integrated toolkit created unitar together undg used country level since may 2015 contains briefing package designed use national governments can easily adapted national context toolkit includes guidance materials facilitators enables national stakeholders deliver workshops unitar experts available coaching support required toolkit used organising national briefings two main objectives 1 raise awareness among key governments national stakeholders content 2030 agenda implications country level 2 enable countries begin preliminary discussions mainstreaming agenda national context including initial mapping sdgs context existing national plans strategies reflect priority setting well data monitoring review requirements toolkit available english french spanish russian download syllabus integrated toolkit created unitar together undg used country level since may 2015 contains briefing package designed use national governments can easily adapted national context toolkit includes guidance materials facilitators enables national stakeholders deliver workshops unitar experts available coaching support required toolkit used organising national briefings two main objectives 1 raise awareness among key governments national stakeholders content 2030 agenda implications country level 2 enable countries begin preliminary discussions mainstreaming agenda national context including initial mapping sdgs context existing national plans strategies reflect priority setting well data monitoring review requirements toolkit available english french spanish russian target audience government officers un country team media representatives ngos business industry trade unions community leaders academia universities philanthropists youth organizations country based international partners etc learning objectives result briefing participants better positioned 1 describe origins post 2015 process well scope principles 2030 agenda proposed sustainable development goals 2 analyze changes 2030 agenda sdgs entail national planning programming well professional work 3 identify key steps process required integrate 2030 agenda sdgs national plans set priorities adapt sdg targets national context result briefing participants better positioned 1 describe origins post 2015 process well scope principles 2030 agenda proposed sustainable development goals 2 analyze changes 2030 agenda sdgs entail national planning programming well professional work 3 identify key steps process required integrate 2030 agenda sdgs national plans set priorities adapt sdg targets national context,1
45,Introduction to the SEEA Central Framework,reflexivity and adaptation,https://www.unsdglearn.org/courses/introduction-to-the-system-of-environmental-economic-accounting-seea-central-framework/,system environmental economic accounting seea 2012—central framework multipurpose conceptual framework measuring interactions environment economy providing internationally agreed standard agreed concepts definitions classifications seea invaluable tool compiling integrated statistics economy environment seea framework follows similar accounting structure system national accounts sna seea uses concepts definitions classifications consistent sna order facilitate integration environmental economic statistics seea allows us develop indicators conduct analysis economy environment nexus seea facilitates better informed decision making seea central framework offers means monitoring pressures exerted economy environment terms abstraction natural resources emissions impacts terms changes stocks natural resources economy responds terms expenditure environmental protection resource management seea propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications course self paced without instruction can taken point time course available arabic english french russian spanish system environmental economic accounting seea 2012—central framework multipurpose conceptual framework measuring interactions environment economy providing internationally agreed standard agreed concepts definitions classifications seea invaluable tool compiling integrated statistics economy environment seea framework follows similar accounting structure system national accounts sna seea uses concepts definitions classifications consistent sna order facilitate integration environmental economic statistics seea allows us develop indicators conduct analysis economy environment nexus seea facilitates better informed decision making seea central framework offers means monitoring pressures exerted economy environment terms abstraction natural resources emissions impacts terms changes stocks natural resources economy responds terms expenditure environmental protection resource management seea propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications course self paced without instruction can taken point time course available arabic english french russian spanish target audience target audience includes compilers potential compilers seea accounts target audience also includes ministries experts provide data used seea accounts policy analysts may also find course useful target audience includes compilers potential compilers seea accounts target audience also includes ministries experts provide data used seea accounts policy analysts may also find course useful learning objectives understand conceptual framework used seea learn basic concepts definitions classifications used seea central framework learn seea implemented countries understand seea contributes developing policies sustainable development,4
46,How to Achieve the SDGs,participation,https://www.unsdglearn.org/courses/how-to-achieve-the-sustainable-development-goals/,2030 agenda sustainable development adopted united nations general assembly september 25 2015 presenting number goals called sustainable development goals sdgs meant end global poverty ensure peaceful prosperous future course covers multiple aspects implementation sdgs stakeholders roles financing policy making others transcripts available english <U+0440><U+0443><U+0441><U+0441><U+043A><U+0438><U+0439> download syllabus 2030 agenda sustainable development adopted united nations general assembly september 25 2015 presenting number goals called sustainable development goals sdgs meant end global poverty ensure peaceful prosperous future course covers multiple aspects implementation sdgs stakeholders roles financing policy making others transcripts available english <U+0440><U+0443><U+0441><U+0441><U+043A><U+0438><U+0439> target audience policymakers sustainable development practitioners undergraduate graduate students interested issues addressed sdgs   policymakers sustainable development practitioners undergraduate graduate students interested issues addressed sdgs   learning objectives understand sdgs established meant implemented social financial conditions needed achieve roles general public private sector international actors play accomplishing understand sdgs established meant implemented social financial conditions needed achieve roles general public private sector international actors play accomplishing,1
47,How to Achieve the SDGs,democratic institutions,https://www.unsdglearn.org/courses/how-to-achieve-the-sustainable-development-goals/,2030 agenda sustainable development adopted united nations general assembly september 25 2015 presenting number goals called sustainable development goals sdgs meant end global poverty ensure peaceful prosperous future course covers multiple aspects implementation sdgs stakeholders roles financing policy making others transcripts available english <U+0440><U+0443><U+0441><U+0441><U+043A><U+0438><U+0439> download syllabus 2030 agenda sustainable development adopted united nations general assembly september 25 2015 presenting number goals called sustainable development goals sdgs meant end global poverty ensure peaceful prosperous future course covers multiple aspects implementation sdgs stakeholders roles financing policy making others transcripts available english <U+0440><U+0443><U+0441><U+0441><U+043A><U+0438><U+0439> target audience policymakers sustainable development practitioners undergraduate graduate students interested issues addressed sdgs   policymakers sustainable development practitioners undergraduate graduate students interested issues addressed sdgs   learning objectives understand sdgs established meant implemented social financial conditions needed achieve roles general public private sector international actors play accomplishing understand sdgs established meant implemented social financial conditions needed achieve roles general public private sector international actors play accomplishing,3
48,How to Achieve the SDGs,policy coherence,https://www.unsdglearn.org/courses/how-to-achieve-the-sustainable-development-goals/,2030 agenda sustainable development adopted united nations general assembly september 25 2015 presenting number goals called sustainable development goals sdgs meant end global poverty ensure peaceful prosperous future course covers multiple aspects implementation sdgs stakeholders roles financing policy making others transcripts available english <U+0440><U+0443><U+0441><U+0441><U+043A><U+0438><U+0439> download syllabus 2030 agenda sustainable development adopted united nations general assembly september 25 2015 presenting number goals called sustainable development goals sdgs meant end global poverty ensure peaceful prosperous future course covers multiple aspects implementation sdgs stakeholders roles financing policy making others transcripts available english <U+0440><U+0443><U+0441><U+0441><U+043A><U+0438><U+0439> target audience policymakers sustainable development practitioners undergraduate graduate students interested issues addressed sdgs   policymakers sustainable development practitioners undergraduate graduate students interested issues addressed sdgs   learning objectives understand sdgs established meant implemented social financial conditions needed achieve roles general public private sector international actors play accomplishing understand sdgs established meant implemented social financial conditions needed achieve roles general public private sector international actors play accomplishing,2
49,Integrated Economic Statistics to support 2008 SNA implementation,reflexivity and adaptation,https://www.unsdglearn.org/courses/intermediate-e-learning-course-on-integrated-economic-statistics-to-support-2008-sna-implementation/,intermediate course integrated economic statistics focuses following topics statistical infrastructure economic statistics administrative data sources economic census surveys statistical registers classification frameworks overview sna brief recap domestic economy rest world institutional units sectors sna aggregates coverage sna framework integrating economic censuses business surveys sut sna estimation linkages economic censuses sna measures sna measures economic census questionnaires bench marking sut gdp using economic census estimation methods estimation output value added derivation volume measures supply use methods implications 2008 sna gdp measures intermediate course integrated economic statistics focuses following topics target audience statisticians economists working compilation national accounts researchers others interested details national accounts     learning objectives course designed following objectives rationalize data sources economic statistics understand inter linkages various data collections compilations plan effective economic census questionnaires tabulation plans plan use economic census results economic data collections compilation national accounts end course participants expected able identify data flows additional data needs implementing recommendations 2008 sna core economic statistics identified unescap regional programme economic statistics build effective economic census instruments analytical plan course designed following objectives end course participants expected able,4
50,Policy Coherence for Sustainable Development,policy coherence,https://www.unsdglearn.org/courses/policy-coherence-for-sustainable-development/,course designed  un system staff college knowledge centre sustainable development coordination  national university singapore acting  lee kuan yew school public policy   hertie school governance based berlin collaboration  oecd policy coherence sustainable development unit  paris course explores approaches cross organizational cross sectoral policy coherence national regional international levels view equipping participants understanding policy coherence important achieving sustainable development coherent policymaking entails specific tools mechanisms approaches can employed foster policy coherence course designed  un system staff college knowledge centre sustainable development coordination  national university singapore acting  lee kuan yew school public policy   hertie school governance based berlin collaboration  oecd policy coherence sustainable development unit  paris course explores approaches cross organizational cross sectoral policy coherence national regional international levels view equipping participants understanding policy coherence important achieving sustainable development coherent policymaking entails specific tools mechanisms approaches can employed foster policy coherence target audience un staff headquarters country teams regional offices government representatives development practitioners well members civil society academia foundations un staff headquarters country teams regional offices government representatives development practitioners well members civil society academia foundations learning objectives upon successful completion course participants will demonstrate sound understanding vision principles underlying 2030 agenda evolution concept policy coherence sustainable development importance policy coherence sustainable development demonstrate good understanding relevance policy coherence approach tool achieve sustainable development outcomes able recognize policies mutually reinforcing across governance levels equipped knowledge specific tools mechanisms approaches can employed foster policy coherence including partnerships multi stakeholder engagement upon successful completion course participants will,2
51,"Policy cycle, integrated approaches and SDGs for African LDCs",reflexivity and adaptation,https://www.unsdglearn.org/courses/policy-cycle-integrated-approaches-and-sdgs-for-african-ldcs-and-other-african-countries/,toolkit developed unitar collaboration un family explains theory practical implications behind policy integration leave one behind imperatives based improved understanding aims support harmonized approaches towards incorporating sdgs across national policy cycle integrated planning aligned budgeting frameworks monitoring evaluation m e systems reviews reporting toolkit available two versions first version specifically customized african least developed countries ldcs available english french second version generic one english world wide case studies download syllabus toolkit developed unitar collaboration un family explains theory practical implications behind policy integration leave one behind imperatives based improved understanding aims support harmonized approaches towards incorporating sdgs across national policy cycle integrated planning aligned budgeting frameworks monitoring evaluation m e systems reviews reporting toolkit available two versions first version specifically customized african least developed countries ldcs available english french second version generic one english world wide case studies target audience government officers un country team media representatives ngos business industry trade unions community leaders academia universities philanthropists youth organizations country based international partners etc learning objectives result training participants better positioned describe core competencies leadership aligned sdgs 2030 agenda identify current capacity gaps localize sdgs national context describe existing mechanisms monitoring evaluation reporting related sdgs national goals explain importance coherence different stages policy cycle provide examples approaches reinforce coherence apply frameworks analytical tools integrated analysis decision making analyze policies programs light key principle agenda 2030 leave one behind promote participatory approaches different stages policy cycle result training participants better positioned,4
52,The UN Country Team Leadership Course,policy coherence,https://www.unsdglearn.org/courses/the-un-country-team-leadership-course-maximizing-synergies-for-greater-impact-2/,called lead act change   2030 agenda sustainable development represents imperative change united nations covid 19 pandemic drastically underlined connections immediate public health measures wider economic social environmental linkages need considered designing implementing integrated responses yet efforts build back better risk favouring unsustainable short term gains will ultimately increase inequality threaten planet push toward needed long term transformation toward human well within planetary boundaries course aims supporting un leaders articulate facilitate broker needed changes support people countries serve also provides space discuss necessary adjustments structure leadership accountability mechanisms interaction capacities un development system required ensure positioned provide countries support need strengthening relevance un needs visionary principled leadership across system address today s challenging world needs leaders stand un values— inspire commitment peace justice respect human rights tolerance solidarity participants will deepen knowledge sharpen political acumen engaging discussions un senior officials subject matter experts will opportunities share practices interactive peer peer learning workshops  unpack inter agency concerns well individual agency contexts develop solutions leverage un agency s strengths expertise experiential learning methods site visit well full day media training will complement intense training programme called lead act change   2030 agenda sustainable development represents imperative change united nations covid 19 pandemic drastically underlined connections immediate public health measures wider economic social environmental linkages need considered designing implementing integrated responses yet efforts build back better risk favouring unsustainable short term gains will ultimately increase inequality threaten planet push toward needed long term transformation toward human well within planetary boundaries course aims supporting un leaders articulate facilitate broker needed changes support people countries serve also provides space discuss necessary adjustments structure leadership accountability mechanisms interaction capacities un development system required ensure positioned provide countries support need strengthening relevance un needs visionary principled leadership across system address today s challenging world needs leaders stand un values— inspire commitment peace justice respect human rights tolerance solidarity participants will deepen knowledge sharpen political acumen engaging discussions un senior officials subject matter experts will opportunities share practices interactive peer peer learning workshops  unpack inter agency concerns well individual agency contexts develop solutions leverage un agency s strengths expertise experiential learning methods site visit well full day media training will complement intense training programme target audience un resident coordinators rc rc candidates country directors representatives un agencies funds programmes un resident coordinators rc rc candidates country directors representatives un agencies funds programmes learning objectives upon successful completion course participants will strengthened  knowledge vision principles underlying 2030 agenda  well approaches implementation practical means mechanisms sustainable development gained deeper understanding  repositioning process un development system   implications un agencies  resident coordinator offices country level gained deeper understanding  integrated approaches sustainable development systems thinking context  building back better post covid 19 improved understanding defining characteristics  un leadership  various ways working exemplify leadership characteristics acquired knowledge mechanisms tools  enhance uncts integrated policy support  countries ready apply art  effective strategic communication  improve quality dialogue partners stakeholders  increase advocacy highlight results upon successful completion course participants will,2
53,The UN Country Team Leadership Course,reflexivity and adaptation,https://www.unsdglearn.org/courses/the-un-country-team-leadership-course-maximizing-synergies-for-greater-impact-2/,called lead act change   2030 agenda sustainable development represents imperative change united nations covid 19 pandemic drastically underlined connections immediate public health measures wider economic social environmental linkages need considered designing implementing integrated responses yet efforts build back better risk favouring unsustainable short term gains will ultimately increase inequality threaten planet push toward needed long term transformation toward human well within planetary boundaries course aims supporting un leaders articulate facilitate broker needed changes support people countries serve also provides space discuss necessary adjustments structure leadership accountability mechanisms interaction capacities un development system required ensure positioned provide countries support need strengthening relevance un needs visionary principled leadership across system address today s challenging world needs leaders stand un values— inspire commitment peace justice respect human rights tolerance solidarity participants will deepen knowledge sharpen political acumen engaging discussions un senior officials subject matter experts will opportunities share practices interactive peer peer learning workshops  unpack inter agency concerns well individual agency contexts develop solutions leverage un agency s strengths expertise experiential learning methods site visit well full day media training will complement intense training programme called lead act change   2030 agenda sustainable development represents imperative change united nations covid 19 pandemic drastically underlined connections immediate public health measures wider economic social environmental linkages need considered designing implementing integrated responses yet efforts build back better risk favouring unsustainable short term gains will ultimately increase inequality threaten planet push toward needed long term transformation toward human well within planetary boundaries course aims supporting un leaders articulate facilitate broker needed changes support people countries serve also provides space discuss necessary adjustments structure leadership accountability mechanisms interaction capacities un development system required ensure positioned provide countries support need strengthening relevance un needs visionary principled leadership across system address today s challenging world needs leaders stand un values— inspire commitment peace justice respect human rights tolerance solidarity participants will deepen knowledge sharpen political acumen engaging discussions un senior officials subject matter experts will opportunities share practices interactive peer peer learning workshops  unpack inter agency concerns well individual agency contexts develop solutions leverage un agency s strengths expertise experiential learning methods site visit well full day media training will complement intense training programme target audience un resident coordinators rc rc candidates country directors representatives un agencies funds programmes un resident coordinators rc rc candidates country directors representatives un agencies funds programmes learning objectives upon successful completion course participants will strengthened  knowledge vision principles underlying 2030 agenda  well approaches implementation practical means mechanisms sustainable development gained deeper understanding  repositioning process un development system   implications un agencies  resident coordinator offices country level gained deeper understanding  integrated approaches sustainable development systems thinking context  building back better post covid 19 improved understanding defining characteristics  un leadership  various ways working exemplify leadership characteristics acquired knowledge mechanisms tools  enhance uncts integrated policy support  countries ready apply art  effective strategic communication  improve quality dialogue partners stakeholders  increase advocacy highlight results upon successful completion course participants will,4
54,UN Summer Academy,participation,https://www.unsdglearn.org/courses/un-summer-academy/,amidst disruption global uncertainty facing world today global dialogue action critical ever context virtual un summer academy will address key challenges achievement 2030 agenda sustainable development explore collaborations global local level address 2021 virtual un summer academy builds rich legacy succesful virtual edition 2020 well  eight face face editions   previous editions academy combines academic rigour cutting edge thinking providing participants unparalleled learning networking opportunities facilitates fosters dialogue thought action leaders currently working towards implementation 2030 agenda paris agreement participants will explore transformative approaches required implementation 2030 agenda share concrete examples practices diverse country contexts stakeholder perspectives time virtual edition capitalizes additional opportunities offered online format experiential learning methodologies participants will engage wide range expert inputs well peer peer learning knowledge exchange collaborative co creation thanks generous support state north rhine westphalia course offered reduced price 500 moreover order offer highly qualified candidates possibility participate un summer academy state north rhine westphalia funding 62 full scholarships covering fees five day online learning event deadline scholarship applications  30 june 2021 can find details apply  amidst disruption global uncertainty facing world today global dialogue action critical ever context virtual un summer academy will address key challenges achievement 2030 agenda sustainable development explore collaborations global local level address 2021 virtual un summer academy builds rich legacy succesful virtual edition 2020 well  eight face face editions   previous editions academy combines academic rigour cutting edge thinking providing participants unparalleled learning networking opportunities facilitates fosters dialogue thought action leaders currently working towards implementation 2030 agenda paris agreement participants will explore transformative approaches required implementation 2030 agenda share concrete examples practices diverse country contexts stakeholder perspectives time virtual edition capitalizes additional opportunities offered online format experiential learning methodologies participants will engage wide range expert inputs well peer peer learning knowledge exchange collaborative co creation thanks generous support state north rhine westphalia course offered reduced price 500 moreover order offer highly qualified candidates possibility participate un summer academy state north rhine westphalia funding 62 full scholarships covering fees five day online learning event deadline scholarship applications  30 june 2021 can find details apply  target audience un staff national local government representatives civil society representatives academics private sector representatives well select number master s post graduate students applicants will selected basis professional academic profile motivation statement time requirements   detailed course methodology section synchronous course participants will expected online four five specified hours five days exact times will shared successful applicants shortly course begins unssc will offer two time windows participants can select window  either 10 00 m 4 00 p m cest  2 00 p m 8 00 p m cest technical requirements   take participate online training participants will need access desktop pc laptop internet connection well functioning webcam microphone speakers internet speed volume sufficient four five hours video conferencing day due interactive applied format academy possible participate using mobile device details technical requirements will shared successful applicants shortly course begins un staff national local government representatives civil society representatives academics private sector representatives well select number master s post graduate students applicants will selected basis professional academic profile motivation statement time requirements   detailed course methodology section synchronous course participants will expected online four five specified hours five days exact times will shared successful applicants shortly course begins unssc will offer two time windows participants can select window  either 10 00 m 4 00 p m cest  2 00 p m 8 00 p m cest technical requirements   take participate online training participants will need access desktop pc laptop internet connection well functioning webcam microphone speakers internet speed volume sufficient four five hours video conferencing day due interactive applied format academy possible participate using mobile device details technical requirements will shared successful applicants shortly course begins learning objectives upon successful completion un summer academy participants will demonstrate sound understanding key notions underpinning 2030 agenda sustainable development paris agreement climate change demonstrate improved understanding key challenges opportunities facing multilateral development system key actions global local levels drive future want benefitted unparalleled networking opportunities demonstrate increased awareness role different development partners received exposure good practices area sustainable development local level upon successful completion un summer academy participants will,1
55,"Foresight for Development, the 2030 Agenda and the SDGs",reflexivity and adaptation,https://www.unsdglearn.org/courses/foresight-for-development-the-2030-agenda-and-the-sdgs/,world going period instability uncertainty covid 19 pandemic intensified challenges region latin america caribbean context 2030 agenda sustainable development becomes even relevant well foresight studies future crossroads experienced region promote exercise foresight long term planning public affairs participants will learn systemic thinking framework 2030 agenda long term trends challenges foresight s tools cases experiences strategic planning learning methodology course encourages construction individual collective knowledge combining theory practice experience virtual classes applied exercises readings interactive quizzes participants will able practice foresight techniques furthermore will opportunity share knowledge experiences peers virtual course lasts eight weeks summing total 80 academic hours asynchronous course activities can distributed participant individual basis download syllabus world going period instability uncertainty covid 19 pandemic intensified challenges region latin america caribbean context 2030 agenda sustainable development becomes even relevant well foresight studies future crossroads experienced region promote exercise foresight long term planning public affairs participants will learn systemic thinking framework 2030 agenda long term trends challenges foresight s tools cases experiences strategic planning learning methodology course encourages construction individual collective knowledge combining theory practice experience virtual classes applied exercises readings interactive quizzes participants will able practice foresight techniques furthermore will opportunity share knowledge experiences peers virtual course lasts eight weeks summing total 80 academic hours asynchronous course activities can distributed participant individual basis target audience course suitable anyone wants gain knowledge foresight including representatives public sector ngos academia think thanks interested development capacities exploration future application fields development public policy applicants must completed university studies course suitable anyone wants gain knowledge foresight including representatives public sector ngos academia think thanks interested development capacities exploration future application fields development public policy applicants must completed university studies learning objectives 1 acquire basic conceptual theoretical methodological framework foresight future studies knowledge basic theories relevant contemporary experiences long term visions knowledge general development context region latin america caribbean 2 know basic elements 2030 agenda global vision sustainable development show benefits foresight analysis tools can offer tool achieve 2030 agenda sustainable development sustainable development goals 1 acquire basic conceptual theoretical methodological framework foresight future studies knowledge basic theories relevant contemporary experiences long term visions knowledge general development context region latin america caribbean 2 know basic elements 2030 agenda global vision sustainable development show benefits foresight analysis tools can offer tool achieve 2030 agenda sustainable development sustainable development goals,4
