,titles,au_category
191,the un sustainable development cooperation framework,NA
192,the women ict frontier initiative (wifi),"un, un"
193,trainfortrade e-learn course on international merchandise trade statistics,NA
194,transforming development: the science and practice of resilience thinking,"research  policy institutes, public university"
195,transforming our world: achieving the sdgs,private university
196,"transparency, accountability and ethics in public institutions",NA
197,un strategic communications for the 2030 agenda,"un, un"
198,un summer academy,NA
199,un summer academy 2022,un
200,understanding data and statistics better,"un, un"
201,understanding poverty and inequality,"research  policy institutes, ngo, public university, ngo, private university, un, public university, public university, finance, un ngo"
202,unece gender statistics toolkit,un
203,unido iap,un
204,united nations development assistance framework (undaf),NA
205,unleashing the power of the private sector for the 2030 agenda,NA
206,unleashing the power of the private sector for the 2030 agenda - 2021,research  policy institutes
207,water: addressing the global crisis,"research  policy institutes, un, ngo, ngo, un"
208,web data collection and analysis,research  policy institutes
209,work and employment for a sustainable future,"private university, private university, private university, un, public university, public university, ngo"
