id,titles,category,description,major_categ,au_category
48,e-training on the compilation and application of supply-use tables (suts) in afr,democratic institutions,"content   course 
session 0 opening session 
session 1 overview  2008 sna
session 2 supply  use tables
session 3 steps  compilation  suts
session 4 balancing suts valuation matrices  suts  constant prices
session 5 classifications  data sources  suts 
session 6 accounts  non financial corporations  national accounts
session 7 accounts  financial corporations  national accounts
session 8 using government accounts  balance  payments  national accounts
session 9 informal sector
session 10 gdp exhaustiveness
session 11 introduction  trade  value added tiva  global value chain gvc trade 
session 12  suts  inter country input output tables icio 
 content   course 
					target audience
					 e training module  open   professionals  national statistical offices nsos  related line ministries   interested   compilation  suts
				  e training module  open   professionals  national statistical offices nsos  related line ministries   interested   compilation  suts 
					learning objectives
					 good understanding   related concepts definitions classifications accounting framework  data sources   important   compilation  suts 
 well acquired knowledge  skills  related techniques   compilation  suts  informal sector global trade  use  administrative data 
 platform  exchange  share experience  practice  compiling suts  national accounts 
",3,un
49,e-training on the framework for development of environmental statistics (fdes),reflexivity and adaptation,"e training  organized  7 sessions   end   session one  two papers  chapters serve   reading assignment  two  three questions  prepared   purpose  review    learnt   completion   7 sessions  final assessment  conducted   two  three hours  evaluate  level  technical knowledge  skills   gained   e learning 
content   training 
 u 00a0 session 0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 opening session 
session 1 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 overview  environmental statistics 
session 2 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 conceptual foundation  structure   fdes linking  fdes   sdgs 
session 3 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 fdes component 1 environmental conditions  quality 
session 4 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 fdes component 2 environmental resources   use 
session 5 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 fdes component 3 residuals
session 6 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 fdes component 4 extreme events  disasters fdes component 5 human settlements  environmental health 
session 7 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 fdes component 6 environnemental protection management  engagement manual   basic set  environment statistics  environment statistics self assessment tool
 u 00a0 
 u 00a0 
									  e training  organized  7 sessions   end   session one  two papers  chapters serve   reading assignment  two  three questions  prepared   purpose  review    learnt   completion   7 sessions  final assessment  conducted   two  three hours  evaluate  level  technical knowledge  skills   gained   e learning content   training u 00a0 session 0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 opening session session 1 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 overview  environmental statistics session 2 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 conceptual foundation  structure   fdes linking  fdes   sdgs session 3 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 fdes component 1 environmental conditions  quality session 4 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 fdes component 2 environmental resources   use session 5 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 fdes component 3 residuals session 6 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 fdes component 4 extreme events  disasters fdes component 5 human settlements  environmental health session 7 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 fdes component 6 environnemental protection management  engagement manual   basic set  environment statistics  environment statistics self assessment tool u 00a0 u 00a0 
					target audience
					staff  national statistical offices  ministry  environment
				 staff  national statistical offices  ministry  environment 
					learning objectives
					 awareness   importance   environment statistics  enhanced  good understanding   fdes  increased 
 technical capacity   primary target group  e national statistical office  ministry  environment  produce environment statistics based   fdes  built  
",4,un
54,financing in health,reflexivity and adaptation,results based financing rbf health interactive course includes narrated presentations discussion forums group work quiz module assess knowledge course based materials developed course several years delivery face face rbf learning events generated rich repository knowledge knowledge translated e learning modules reach critical mass health practitioners globally course aims equip participants specific knowledge help determine whether rbf appropriate tool context type rbf approach may appropriate adopt e learning course supported funding health results innovation trust fund hritf since 2007 hritf pioneering rbf programs particular focus improving maternal child health outcomes accelerate progress towards millennium development goals mdgs 1c 4 5 learn <U+613C><U+3E30>www rbfhealth org<U+613C><U+3E30><U+613C><U+3E30>www facebook com rbfhealth<U+613C><U+3E30><U+613C><U+3E30>www twitter com rbfhealth please take moment listen course introduction petra vergeer one main coordinators e learning course helped develop taught material course face face version course context traditionally government donor funds improve health service delivery concentrated increasing critical inputs infrastructure equipment supplies drugs vaccines since adoption millennium declaration 2000 development assistance health doubled yet increase investments translated expected health outcomes low middle income countries challenge countries face unequal access utilization essential health services often due low quality services inefficient delivery services limited management capacity addition poor households many countries face impoverishment due limited financial protection health system consequently many countries especially africa risk achieving mdgs maternal child health 2015 result many governments development agencies motivated try new innovations approaches can boost health system functioning rbf one approach gaining momentum country governments development partners rbf links financing pre determined results actual use health services well quality opposed financing inputs medical equipment supplies experience far shows promising results especially terms increased utilization key maternal child health services addition rbf seen way strengthen core health systems making accountable efficient delivering greater value money vital aspect successful rbf approach ensuring appropriateness strategy particular context core e learning course world bank group partners undertaken many capacity building engagements rbf including consultations key stakeholders study tours countries considering starting rbf already implementing knowledge lessons sharing events technical training workshops policy makers stakeholders peer peer exchange forums programs geared informed decision making appropriateness rbf building implementation capacity mitigate risk failure implementing rbf mechanisms e learning platform designed complement initiatives equip participants tools decide whether rbf may appropriate policy option consider addressing health system challenges able apply rbf design implementation concepts principles objectives course provide background knowledge rbf different approaches introduce core principles rbf health provide country examples rbf health practice results based financing rbf health interactive course includes narrated presentations discussion forums group work quiz module assess knowledge course based materials developed course several years delivery face face rbf learning events generated rich repository knowledge knowledge translated e learning modules reach critical mass health practitioners globally course aims equip participants specific knowledge help determine whether rbf appropriate tool context type rbf approach may appropriate adopt e learning course supported funding health results innovation trust fund hritf since 2007 hritf pioneering rbf programs particular focus improving maternal child health outcomes accelerate progress towards millennium development goals mdgs 1c 4 5 learn <U+613C><U+3E30>www rbfhealth org<U+613C><U+3E30><U+613C><U+3E30>www facebook com rbfhealth<U+613C><U+3E30><U+613C><U+3E30>www twitter com rbfhealth please take moment listen course introduction petra vergeer one main coordinators e learning course helped develop taught material course face face version course context traditionally government donor funds improve health service delivery concentrated increasing critical inputs infrastructure equipment supplies drugs vaccines since adoption millennium declaration 2000 development assistance health doubled yet increase investments translated expected health outcomes low middle income countries challenge countries face unequal access utilization essential health services often due low quality services inefficient delivery services limited management capacity addition poor households many countries face impoverishment due limited financial protection health system consequently many countries especially africa risk achieving mdgs maternal child health 2015 result many governments development agencies motivated try new innovations approaches can boost health system functioning rbf one approach gaining momentum country governments development partners rbf links financing pre determined results actual use health services well quality opposed financing inputs medical equipment supplies experience far shows promising results especially terms increased utilization key maternal child health services addition rbf seen way strengthen core health systems making accountable efficient delivering greater value money vital aspect successful rbf approach ensuring appropriateness strategy particular context core e learning course world bank group partners undertaken many capacity building engagements rbf including programs geared informed decision making appropriateness rbf building implementation capacity mitigate risk failure implementing rbf mechanisms e learning platform designed complement initiatives equip participants tools decide whether rbf may appropriate policy option consider addressing health system challenges able apply rbf design implementation concepts principles objectives course target audience course designed interested learning rbf including health financial practitioners professionals national district levels non governmental organizations ngos development partners academicians policymakers course designed interested learning rbf including learning objectives end course participants  able list main approaches rbf potential impact improving strengthening utilization health services explain design implementation features rbf programmatic intervention improve capacity health systems achieve specified outputs outcomes make informed decisions appropriateness rbf general suitability different rbf approaches particular context using lessons learned case study examples end course participants  able,4,un
55,fisheries and aquaculture statistics,reflexivity and adaptation,"course  help  understand   compile  monitor sdg indicators  fisheries  aquaculture statistics  course comprises six lessons  lesson comprises slides   explanations  first lesson outlines  global strategy  improve agricultural  rural statistics  provides  framework  national  international statistical systems  produce   apply  basic data  information needed  guide policy  rural development  sustainable agricultural production lesson 2 introduces definition  small scale fisheries  aquaculture lesson 3 depicts indicators   sdg goal 14 based  statistics  small scale fisheries  aquaculture lesson 4 outlines international statistical classifications lesson 5 highlights  data collection  sampling design  last lesson focuses  information technology including remote sensing global positioning system  geographical information system 
									  course  help  understand   compile  monitor sdg indicators  fisheries  aquaculture statistics  course comprises six lessons  lesson comprises slides   explanations  first lesson outlines  global strategy  improve agricultural  rural statistics  provides  framework  national  international statistical systems  produce   apply  basic data  information needed  guide policy  rural development  sustainable agricultural production lesson 2 introduces definition  small scale fisheries  aquaculture lesson 3 depicts indicators   sdg goal 14 based  statistics  small scale fisheries  aquaculture lesson 4 outlines international statistical classifications lesson 5 highlights  data collection  sampling design  last lesson focuses  information technology including remote sensing global positioning system  geographical information system 
					target audience
					target  officials  provide  use fisheries  aquaculture statistics 
				 target  officials  provide  use fisheries  aquaculture statistics 
					learning objectives
					  end   course   expected  
know  securing sustainable small scale fisheries guidelines sdgs   relevant international instruments
sensitize  need  collection  reliable  accurate small scale fisheries  aquaculture statistics
understand  indicators  small scale fisheries  aquaculture
build  skills   use  data  support evidence based policy
   end   course   expected",4,un
56,follow-up and review (fur) and the voluntary national review (vnr),participation,"e learning tutorial  follow   review fur   voluntary national review vnr   united nations economic  social commission  asia   pacific  designed  support member states  policy makers  developing strategies  plans  conduct effective  systematic review   progress made towards  implementation   sustainable development goals focal attention  set   national level   voluntary national reviews vnrs     cornerstone   follow   review mechanism 
											
							download syllabus
							
									  e learning tutorial  follow   review fur   voluntary national review vnr   united nations economic  social commission  asia   pacific  designed  support member states  policy makers  developing strategies  plans  conduct effective  systematic review   progress made towards  implementation   sustainable development goals focal attention  set   national level   voluntary national reviews vnrs     cornerstone   follow   review mechanism 
					target audience
					 course  designed  u 00a0 member states policy makers  stakeholders alike  understand  follow   review fur processes u 00a0   2030 agenda u 00a0   voluntary national reviews vnrs 
				  course  designed  u 00a0 member states policy makers  stakeholders alike  understand  follow   review fur processes u 00a0   2030 agenda u 00a0   voluntary national reviews vnrs 
					learning objectives
					  end   course   able  
understand  concepts  rationale  follow   review fur  voluntary national reviews vnrs 
gain knowledge   role  voluntary national reviews opportunities  peer learning  regional cooperation
apply  step  step guidance  conducting effective regular  inclusive reviews  progress   national  sub national level  vnrs
gain knowledge   voluntary reporting guidelines   key building blocks  vnrs
get insights   fur  vnr u 00a0 processes  country level u 00a0  country examples
   end   course   able",1,un
57,"foresight for development, the 2030 agenda and the sdgs",reflexivity and adaptation,NA,4,un
58,"formation introductive sur la jeunesse, la paix et la s<e9>curit<e9>",participation,"formation introductive sur la jeunesse la paix et la s e9 curit e9 la formation introductive sur la jeunesse la paix et la s e9 curit e9 vise e0 e9 tablir une compr e9 hension et une approche communes de la th e9 matique u 00a0 jps et de la mise en u 009c uvre de son cadre de r e9 f e9 rence pour l ensemble du syst e8  des nations unies et de ses partenaires elle  pour vocation d apporter un e9 clairage g e9 n e9 ral aux programmes et actions de toutes les entit e9 s des nations unies qui u 009c uvrent e0 la paix et la s e9 curit e9 avec et pour les jeunes la formation introductive u 00a0 jps est h e9 berg e9 e sur la plateforme e lounge et chacun e peut la suivre e0 son propre rythme apr e8 s vous ea tre inscrit e vous obtiendrez directement l acc e8 s e0 la plateforme de formation et e0 tous les supports de formation cette formation introductive comprend trois modules couvrant les e9 l e9 ments fondamentaux afin de permettre aux praticien ne s d acqu e9 rir les comp e9 tences et connaissances requises pour appuyer la mise en u 009c uvre du cadre de r e9 f e9 rence sur la jeunesse la paix et la s e9 curit e9 pour les jeunes et en v e9 ritable collaboration avec eux 

les trois modules couvrent les e9 l e9 ments fondamentaux de la th e9 matique u 00a0 jps e0 savoir u 00a0 

1 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 le cadre de r e9 f e9 rence de la th e9 matique u 00a0 jps

2 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 la promotion d une v e9 ritable participation de la jeunesse

3 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 l analyse des conflits sensible aux jeunes la formation introductive u 00a0 jps est une ressource en ligne en libre acc e8 s qui peut ea tre utilis e9 e par tous u 00a0 gr e2 ce au g e9 n e9 reux soutien de la folke bernadotte academy la formation introductive u 00a0 jps est enti e8 rement gratuite u 00a0",1,un
71,government innovation for social inclusion of vulnerable groups,participation,u 00a0 u 00a0  training toolkit aims  build capacities  promote government innovation  social inclusion  vulnerable groups  introducing approaches strategies  experiences   national level  also highlights  importance  empowering vulnerable groups  engaging   policy design implementation  monitoring processes  agents  change upon completion   training learners   agenda   glance   5 day training workshop download  toolkit package,1,un
74,how to align your business strategy with the global goals,policy coherence,company looking ways integrate global goals business strategy operations determining starting point company s efforts advance 2030 agenda 17 global goals 169 targets may seem like challenging task companies often wonder prioritize different goals many target academy session  learn four step approach help get started session  discuss align business strategy operations global goals order maximize positive impact  learn sdg compass success stories businesses company looking ways integrate global goals business strategy operations determining starting point company s efforts advance 2030 agenda 17 global goals 169 targets may seem like challenging task companies often wonder prioritize different goals many target academy session  learn four step approach help get started session  discuss align business strategy operations global goals order maximize positive impact  learn sdg compass success stories businesses target audience corporate corporate learning objectives completing session related learning materials  learn <U+613C><U+3E30> understand role business supporting achievement global goals prioritize goals within business operations sector set corporate goals targets adequately ambitious support achievement global goals integrate global goals company s business strategy completing session related learning materials  learn <U+613C><U+3E30>,2,un
77,ilo labour market statistics and analysis academy,reflexivity and adaptation,course begins overview scope labour market statistics key sources data typically used purpose including strengths weaknesses key sources followed overview key conceptual framework source internationally adopted definitions employment unemployment work related topics key focus placed labour force survey provision overview key areas methodology including questionnaire design sampling application classifications dissemination among stages statistical process additional key topics gender mainstreaming labour statistics earnings informality also covered feature academy design multi track design provides content certain aspects participants plenary limited parts academy different choices made available reflecting participants preference focus analysis survey planning options different points programme resource persons providing training professional statistical staff international labour organisation additional external experts components appropriate academy hosted ilo itc training centre turin annual basis last quarter year english duration academy 2 weeks academy also hosted locations example cote d ivoire delivered french future instances intended host academy additional locations three ilo official languages english french spanish subject available resources demands details can found https ilostat ilo org resources capacity building technical assistance course begins overview scope labour market statistics key sources data typically used purpose including strengths weaknesses key sources followed overview key conceptual framework source internationally adopted definitions employment unemployment work related topics key focus placed labour force survey provision overview key areas methodology including questionnaire design sampling application classifications dissemination among stages statistical process additional key topics gender mainstreaming labour statistics earnings informality also covered feature academy design multi track design provides content certain aspects participants plenary limited parts academy different choices made available reflecting participants preference focus analysis survey planning options different points programme resource persons providing training professional statistical staff international labour organisation additional external experts components appropriate academy hosted ilo itc training centre turin annual basis last quarter year english duration academy 2 weeks academy also hosted locations example cote d ivoire delivered french future instances intended host academy additional locations three ilo official languages english french spanish subject available resources demands details can found https ilostat ilo org resources capacity building technical assistance target audience academy targets particular 1 labour statisticians national statistical offices ministries labour related institutions labour observatories ilo member countries particular developing countries 2 employment development policy analysts national statistical offices government ministries research academic institutions labour observatories international organisations donor organisations 3 senior managers national statistical offices departments ministries labour related institutions labour observatories dealing production dissemination labour market statistics academy targets particular 1 labour statisticians national statistical offices ministries labour related institutions labour observatories ilo member countries particular developing countries 2 employment development policy analysts national statistical offices government ministries research academic institutions labour observatories international organisations donor organisations 3 senior managers national statistical offices departments ministries labour related institutions labour observatories dealing production dissemination labour market statistics learning objectives academy seeks create broad based understanding labour market statistics covering different stages statistical life cycle particular compilation analysis <U+613C><U+3E30> following completion course participants able understand scope labour market statistics required national international reporting concept labour market information system understand key concepts underlying labour market statistics including relating work employment labour underutilization along informality key classifications labour related concepts understand different sources can used compile labour statistics key advantages disadvantages understand key features labour force survey gain high level understanding key elements methodology including questionnaire design sampling application classifications dissemination understand analyse labour market data using stata understand compile labour market related sdg indicators academy seeks create broad based understanding labour market statistics covering different stages statistical life cycle particular compilation analysis <U+613C><U+3E30> following completion course participants able understand scope labour market statistics required national international reporting concept labour market information system understand key concepts underlying labour market statistics including relating work employment labour underutilization along informality key classifications labour related concepts understand different sources can used compile labour statistics key advantages disadvantages understand key features labour force survey gain high level understanding key elements methodology including questionnaire design sampling application classifications dissemination understand analyse labour market data using stata understand compile labour market related sdg indicators,4,un
78,industrial policy in the 21st century: the challenge for africa,democratic institutions,"little industry  africa   matter  can       lecture series developed  unu wider hear  economist john page   continent s options  industrialization   future  economic growth  africa     little industry  africa   matter  can       lecture series developed  unu wider hear  economist john page   continent s options  industrialization   future  economic growth  africa  africa industries without smokestacks  economic development  leading voices  development economics according   world bank africa s working age population  expected  increase  nearly 70  2035 without industrialization  create jobs    difficult  achieve sustainable development 
 manufacturing led  rapid industrialization  east asian countries   doubt   can    effect  africa  question     manufacturing  can africa promote economic growth   course   united nations university world institute  development economics research unu wider brought     sdg academy   hear  researcher john page   leading voices  development economics   range  activities known u 0093 industries without smokestacks u 0094  learn  industrial policy  promotes  growth   industries presents  win win scenario  economic development  africa developed  according   world bank africa s working age population  expected  increase  nearly 70  2035 without industrialization  create jobs    difficult  achieve sustainable development 
 manufacturing led  rapid industrialization  east asian countries   doubt   can    effect  africa  question     manufacturing  can africa promote economic growth   course   united nations university world institute  development economics research unu wider brought     sdg academy   hear  researcher john page   leading voices  development economics   range  activities known u 0093 industries without smokestacks u 0094  learn  industrial policy  promotes  growth   industries presents  win win scenario  economic development  africa policy professionals  want  understand  industrial policy can create win win strategies  growth  development development practitioners seeking insight    address  need  industrialization  africa advanced undergraduates  graduate students interested  economics development industrialization   key concepts related  africa s development module 1 industry   driver  structural change module 2  recipe  industrial growth module 3 avoiding  resource curse module 4 industrial policies  africa",3,un
79,infrastructure asset management for sustainable development,reflexivity and adaptation,massive open online course mooc self paced course developed united nations department economic social affairs un desa united nations institute training research unitar school international public affairs sipa columbia university course based un publication managing infrastructure assets sustainable development handbook local national governments result joint collaboration un desa uncdf unops handbook includes inputs renowned experts regional development banks local government associations relevant un system entities well think tanks academia handbook provides local national governments set practical tools improve infrastructure asset management well guidance adapt tools socio economic environmental challenges time addresses set key questions assets people need can assets made last longest perform best can potential save generate revenue maximized unlock financial resources community needs now future answers questions lies key ensuring reliability public infrastructure services levels e learning course aims equip policymakers government officials find answers specific national local contexts <U+613C><U+3E30> makes compelling case ultimately asset management way align strategic planning infrastructure service delivery real world  equip learner rich set tools promote sound forward looking asset management enhances resilience sustainability reliability financial viability infrastructure investments present future generations course divided two parts fundamentals infrastructure asset management sustainable development module 1 4 infocus infrastructure asset management sustainable development module 5 8 fundamentals module 1 basic tenets asset management module 2 dynamics asset management module 3 assessing asset management needs capacity module 4 asset management action plans amaps focus module 5 capturing utilising right data effective asset management module 6 improving climate resilience within asset management systems module 7 strengthening public health emergency preparedness response asset management systems module 8 building national enabling environment asset management download syllabus massive open online course mooc self paced course developed united nations department economic social affairs un desa united nations institute training research unitar school international public affairs sipa columbia university course based un publication managing infrastructure assets sustainable development handbook local national governments result joint collaboration un desa uncdf unops handbook includes inputs renowned experts regional development banks local government associations relevant un system entities well think tanks academia handbook provides local national governments set practical tools improve infrastructure asset management well guidance adapt tools socio economic environmental challenges time addresses set key questions answers questions lies key ensuring reliability public infrastructure services levels e learning course aims equip policymakers government officials find answers specific national local contexts <U+613C><U+3E30> makes compelling case ultimately asset management way align strategic planning infrastructure service delivery real world  equip learner rich set tools promote sound forward looking asset management enhances resilience sustainability reliability financial viability infrastructure investments present future generations course divided two parts fundamentals infrastructure asset management sustainable development module 1 4 infocus infrastructure asset management sustainable development module 5 8 fundamentals module 1 basic tenets asset management module 2 dynamics asset management module 3 assessing asset management needs capacity module 4 asset management action plans amaps focus module 5 capturing utilising right data effective asset management module 6 improving climate resilience within asset management systems module 7 strengthening public health emergency preparedness response asset management systems module 8 building national enabling environment asset management target audience mooc available interested participants main target groups however central local government officials developing countries asia pacific latin america caribbean africa <U+613C><U+3E30> central government level target group includes officials ministries finance ministries local governments relevant line ministries e g water health education procurement authorities involved designing asset management policies regulations national level allocating central government grants capital investments local governments local government level target group comprises local officials responsible infrastructure asset management particular technical experts finance procurement engineering water sanitation health education departments well community members ward representatives civil society organizations mooc available interested participants main target groups however central local government officials developing countries asia pacific latin america caribbean africa <U+613C><U+3E30> central government level target group includes officials ministries finance ministries local governments relevant line ministries e g water health education procurement authorities involved designing asset management policies regulations national level allocating central government grants capital investments local governments local government level target group comprises local officials responsible infrastructure asset management particular technical experts finance procurement engineering water sanitation health education departments well community members ward representatives civil society organizations learning objectives expected end course participants  better positioned describe principles dynamics effective asset management meet asset management framework explain objectives able apply un asset management diagnostic tool describe design implementation asset management action plans amaps able develop one respective national local context recognize benefits effective asset management information system outline steps develop implement one evaluate adapt asset management practices crises climate change public health emergencies explain enabling legislative policy environment national level can support sustain asset management local level expected end course participants  better positioned,4,un
80,"infrastructure, public-private partnerships, and fiscal management",reflexivity and adaptation,"course seeks  equip professionals  work  ppp projects  essential skills  assessing  fiscal implications  ppps  managing related fiscal risks  uses several case studies  examples  explain key concepts additionally   downloadable resources  later use 
									  course seeks  equip professionals  work  ppp projects  essential skills  assessing  fiscal implications  ppps  managing related fiscal risks  uses several case studies  examples  explain key concepts additionally   downloadable resources  later use 
					target audience
					professionals  work  ppps
				 professionals  work  ppps 
					learning objectives
					  completion   course   able  
determine fiscal risk analysis  ppp projects
link fiscal risk analysis  fiscal management
base project assessment   overall risk evaluation 
   completion   course   able",4,un
81,innovation and digital government for public service delivery <u+200b>,democratic institutions,"u 00a0 innovation  digital government  public service delivery related sdgs sdg 1 2 3 4 5 6 7 8 9 11 15 16 17keywords innovation digital governmentlanguage english learning objectives  training toolkit contains  set  comprehensive training materials aimed  strengthening  capacities  government officials  promote innovation  sdg implementation u 200b upon completion   training learners   u 200b u 00a0 content  structure toolkit   glance
			 u 00a0 toolkit  comprised   following modules  sessions  can  used  conduct  regional  national training syllabus u 200b course overview u 00a0 understanding  role  government public service innovation  digital transformation  realizing  agenda 2030module 1 1 welcome introduction   coursemodule 1 2 u 00a0 government public service   agenda 2030module 1 3  national development planmodule 1 4 innovation digital transformation  digital governmentmodule 1 5 realizing digital government transformationmodule 1 6 building situational awareness   dtca exploring key concepts  conducting  digital transformation assessmentmodule 2 1 u 00a0 welcome  introduction  day 2module 2 2 innovation  digital government principles  strategies  innovate  public service deliverymodule 2 3 building situational awareness   dtcamodule 2 4 systems thinking  situational awarenessmodule 2 5 introduction  components  action planning part 1mapping  institutional environmentmodule 3 1 u 00a0 welcome  introduction  day 3module 3 2 implications   realization   ndpmodule 3 3 public value framework part 1module 3 4 enabling change innovation labs  design thinkingmodule 3 5 case study uncef s kosovo innovation labtoward  road map  action planmodule 4 1 u 00a0 welcome  introduction  day 4module 4 2 tools  techniques  building situational awarenessmodule 4 3  ability vs priority analysismodule 4 4 action planning part 2module 4 5 case study undp working toward results  accountability   public sector  malawibridging gaps  public service  public service delivery action plansmodule 5 1 u 00a0 welcome  introduction  day 5module 5 2 plenary discussion prioritizing recommended actionsmodule 5 3  needs  change  change  create   value module 5 4 case study socio technical view  innovationmodule 5 5 looking aheadmodule 5 6 course evaluation  closing ceremony agenda   glance   5 day training workshop trainer s manualdownload  toolkit packages targeted audience
			schools  public administration national experts government officials academics un country teams  others additional informationterms  conditions  use   curriculum  governance   u 00a0 sdgspiloting   toolkit facilitated online capacity development workshop u 00a0 report   workshop u 00a0 single pages version spreadsheets version abridged version   training materialfacilitator s guidance  facilitated online capacity development trainingvideo   toolkit
			fact sheet   toolkitfeedback survey
			 training toolkit  free  charge     questions   toolkit please send us  email  unpan un org u 00a0",3,un
83,integrated policies and policy coherence for sdgs,policy coherence,toolkit jointly developed unitar <U+613C><U+3E30>division public institutions digital governance dpidg un department economic social affairs un desa <U+613C><U+3E30> un economic commission latin america caribbean eclac goes step promoting policy coherence participatory strategic planning recommended use situations interest go deeper integrated planning beyond good practices presented foundational toolkit policy cycle integrated approaches sdgs toolkit comprised comprehensive training materials apply<U+613C><U+3E30>systemic approaches analyze interactions different sdg areas design integrated policies key methodological areas toolkit system thinking policy coherence institutional arrangements stakeholder engagement among others toolkit aims facilitate government officials academia un country teams national experts conduct trainings toolkit comprised following modukes sessions used conduct national training module holistic approach policy coherence key building blocks module governance stakeholders engagement capacities implement sdgs module enhancing policy design capacity system thinking analysis module evaluating policy options coherence developing integrated national strategies module assessing governance institutional capacities policy coherence integration focus integrated policy design practice facilitation action planning evaluation toolkit available english french <U+613C><U+3E30> toolkit jointly developed unitar <U+613C><U+3E30>division public institutions digital governance dpidg un department economic social affairs un desa <U+613C><U+3E30> un economic commission latin america caribbean eclac goes step promoting policy coherence participatory strategic planning recommended use situations interest go deeper integrated planning beyond good practices presented foundational toolkit policy cycle integrated approaches sdgs toolkit comprised comprehensive training materials apply<U+613C><U+3E30>systemic approaches analyze interactions different sdg areas design integrated policies key methodological areas toolkit system thinking policy coherence institutional arrangements stakeholder engagement among others toolkit aims facilitate government officials academia un country teams national experts conduct trainings toolkit comprised following modukes sessions used conduct national training toolkit available english french <U+613C><U+3E30> target audience national experts government officials academics un country teams others national experts government officials academics un country teams others learning objectives end training learners  better positioned define key building blocks holistic integrated planning policy coherence framework map engage effectively key stakeholders national priority setting process apply elements systems thinking assess intersectoral interactions identify nationally relevant leverage points accelerators build interaction maps describe possible approaches developing coherent policy options across sectors designing consultative process develop integrated strategy conduct institutional readiness assessment sdg requirements addition learners  develop individual action plan incorporate relevant knowledge professional context able either provide policy leadership train stakeholders coach colleagues development integrated policies end training learners  better positioned addition learners,2,un
84,integrated policies and policy coherence for the sdgs,policy coherence,"toolkit integrated policies  policy coherence  sdgs 
 toolkit 
 web based 
 free  open event 
 0 days 
		 integrated policies policy coherence systemic thinking sdgs 		 
		 		 
	 http www unitar org pillars cross fertilizing knowledge 2030 agenda online tra 		 
  fee 
 a2030 unitar org 
  toolkit   developed  unitar together   u 00a0 division  public institutions  digital governance dpidg  un department  economic  social affairs un desa  u 00a0 un economic commission  latin america   caribbean eclac    set  comprehensive training materials ppt  exercises  aim  facilitate  enable u 00a0 national experts government officials academics un country teams  run training workshops  senior  junior government officials   audiences  integrated policies systemic thinking  policy coherence   sdgs u 00a0  u 00a0 toolkit u 00a0 aims  provide ready  use training material u 00a0  support   un member states  apply  integrated  systemic u 00a0 approach   decision making processes development  national plans  implementation   sdgs  u 00a0 toolkit comprised  following modules  sessions    used  conduct  national training module  holistic approach  policy coherence key building blocks module governance  stakeholders engagement  capacities  implement  sdgs module enhancing policy design capacity  system thinking  analysis module evaluating policy options  coherence  developing integrated national strategies module assessing governance  institutional capacities  policy coherence  integration  focus integrated policy design  practice facilitation action planning evaluation  toolkit   set  comprehensive  customizable training material  includes  overall u 00a0 ppt  exercises national experts government officials academics un country teams  others  learning toolkit  u 00a0 free  charge   need  register   platform  shortly u 00a0    contacted  unitar  asked  provide 1 paragraph describing  motivation   basis  access    receive  within one hour   successful registration please kindly check  junk mail  case  e mail  instructions went  u 00a0  contact u 00a0  a2030 unitar org",2,un
