"","titles","max.col","authors","au_category"
"179","ethics in action","participation_keystems","World Conference of Religions for Peace","ngo"
"180","alianzas: un veh<ed>culo para lograr el desarrollo sostenible","democratic_keystems","Banco Interamericano de Desarrollo","finance"
"181","industrial policy in the 21st century: the challenge for africa","democratic_keystems",NA,NA
"182","sustainable development: the post-capitalist order","democratic_keystems","Columbia University","private university"
"183","getting a good deal: negotiating extractive industry contracts","democratic_keystems","the European Union","government"
"184","getting a good deal: negotiating extractive industry contracts","democratic_keystems","Natural Resource Governance Institute (NRGI)","ngo"
"185","getting a good deal: negotiating extractive industry contracts","democratic_keystems","the Columbia Center on Sustainable Investment (CCSI)","private university"
"186","getting a good deal: negotiating extractive industry contracts","democratic_keystems","the CONNEX Support Unit","research  policy institutes"
"187","natural resources for sustainable development","democratic_keystems","Columbia University","private university"
"188","natural resources for sustainable development","democratic_keystems","Natural Resource Governance Institute","ngo"
"189","natural resources for sustainable development","democratic_keystems","United Nations Economic Commission for Africa","un"
"190","natural resources for sustainable development","democratic_keystems","University of Oxford","public university"
"191","natural resources for sustainable development","democratic_keystems","University of the Philippines","ngo"
"192","natural resources for sustainable development","democratic_keystems","Columbia Center on Sustainable Investment","private university"
"193","natural resources for sustainable development","democratic_keystems","Crystol Energy","research  policy institutes"
"194","natural resources for sustainable development","democratic_keystems","Foundation for the Global Compact","ngo"
"195","the best start in life: early childhood development for sustainable development","democratic_keystems","Harvard University","private university"
"196","the best start in life: early childhood development for sustainable development","democratic_keystems","New York University","private university"
"197","sustainable food systems: a mediterranean perspective","democratic_keystems","Ain Shams University","public university"
"198","sustainable food systems: a mediterranean perspective","democratic_keystems","Athens University of Economics and Business","public university"
"199","sustainable food systems: a mediterranean perspective","democratic_keystems","Columbia University","private university"
"200","sustainable food systems: a mediterranean perspective","democratic_keystems","University of Exeter","public university"
"201","sustainable food systems: a mediterranean perspective","democratic_keystems","Gustolab International","private university"
"202","sustainable food systems: a mediterranean perspective","democratic_keystems","Health Tech","research  policy institutes"
"203","sustainable food systems: a mediterranean perspective","democratic_keystems","Universit<e0> degli Studi di Napoli Federico II","public university"
"204","sustainable food systems: a mediterranean perspective","democratic_keystems","Universit<e0> degli Studi di Siena","public university"
"205","sustainable food systems: a mediterranean perspective","democratic_keystems","Universit<e0> degli Studi di Tuscia","public university"
"206","sustainable food systems: a mediterranean perspective","democratic_keystems","Universit<e0> di Macerata","public university"
"207","sustainable food systems: a mediterranean perspective","democratic_keystems","Universit<e9> de Sousse","public university"
"208","sustainable food systems: a mediterranean perspective","democratic_keystems","Water Observatory","ngo"
"209","one planet, one ocean","democratic_keystems","GEOMAR","ngo"
"210","one planet, one ocean","democratic_keystems","Kiel University","public university"
"211","one planet, one ocean","democratic_keystems","International Ocean Institute","ngo"
"212","macroeconomics for a sustainable planet","policy_coh_keystems","Columbia University","private university"
"213","macroeconomics for a sustainable planet","policy_coh_keystems","Federal Government of Chile","government"
"214","cities and the challenge of sustainable development","reflex_adpt_keystems","Columbia University","private university"
"215","climate action: solutions for a changing planet","democratic_keystems","Columbia University","private university"
"216","climate action: solutions for a changing planet","democratic_keystems","International Institute for Applied Systems Analysis","ngo"
"217","climate action: solutions for a changing planet","democratic_keystems","Monash University","public university"
"218","climate action: solutions for a changing planet","democratic_keystems","National Research University Higher School of Economics","public university"
"219","climate action: solutions for a changing planet","democratic_keystems","National Wildlife Federation","ngo"
"220","climate action: solutions for a changing planet","democratic_keystems","University of Delaware","public university"
"221","climate action: solutions for a changing planet","democratic_keystems","World Business Council for Sustainable Development","business"
"222","climate action: solutions for a changing planet","democratic_keystems","Climate-KIC","government"
"223","climate action: solutions for a changing planet","democratic_keystems","Department of Nuclear Science and Technology","un"
"224","climate action: solutions for a changing planet","democratic_keystems","Evolved Energy Research","research  policy institutes"
"225","climate action: solutions for a changing planet","democratic_keystems","Federal Government of the United States of America","government"
"226","climate action: solutions for a changing planet","democratic_keystems","Institute for Sustainable Development and International Relations","research  policy institutes"
"227","climate action: solutions for a changing planet","democratic_keystems","United Technologies Research Center","research  policy institutes"
"228","climate action: solutions for a changing planet","democratic_keystems","University of California - San Francisco","public university"
"229","sustainable cities","democratic_keystems","Cities Alliance","government"
"230","sustainable cities","democratic_keystems","Columbia University","private university"
"231","sustainable cities","democratic_keystems","Curtin University","public university"
"232","sustainable cities","democratic_keystems","Middlesex University","public university"
"233","sustainable cities","democratic_keystems","New School","private university"
"234","sustainable cities","democratic_keystems","UN-Habitat","un"
"235","sustainable cities","democratic_keystems","University of Pennsylvania","private university"
"236","sustainable cities","democratic_keystems","African Center for Cities","research  policy institutes"
"237","sustainable cities","democratic_keystems","eThekwini Municipality (South Africa)","government"
"238","sustainable cities","democratic_keystems","Indian Institute for Human Settlements","public university"
"239","sustainable cities","democratic_keystems","International Institute for Environmental Development","research  policy institutes"
"240","sustainable cities","democratic_keystems","Slum/Shack Dwellers International","ngo"
"241","globalization: past and future","policy_coh_keystems","Columbia University","private university"
"242","globalization: past and future","policy_coh_keystems","SDG Academy","un ngo"
"243","water: addressing the global crisis","democratic_keystems","Stockholm International Water Institute","research  policy institutes"
"244","water: addressing the global crisis","democratic_keystems","United Nations Development Programme","un"
"245","water: addressing the global crisis","democratic_keystems","Alliance for Global Water Adaptation","ngo"
"246","water: addressing the global crisis","democratic_keystems","Global Resilience Partnership","ngo"
"247","water: addressing the global crisis","democratic_keystems","UNESCO World Water Assessment Programme (WWAP)","un"
"248","tech for good: the role of ict in achieving the sdgs","participation_keystems","Columbia University","private university"
"249","tech for good: the role of ict in achieving the sdgs","participation_keystems","International Telecommunication Union","un"
"250","tech for good: the role of ict in achieving the sdgs","participation_keystems","MIT","private university"
"251","tech for good: the role of ict in achieving the sdgs","participation_keystems","UNESCO","un"
"252","tech for good: the role of ict in achieving the sdgs","participation_keystems","University of Wollongong","public university"
"253","tech for good: the role of ict in achieving the sdgs","participation_keystems","Cetic.br","un"
"254","tech for good: the role of ict in achieving the sdgs","participation_keystems","EkStep","ngo"
"255","tech for good: the role of ict in achieving the sdgs","participation_keystems","Funda<e7><e3>o Getulio Vargas","research  policy institutes"
"256","tech for good: the role of ict in achieving the sdgs","participation_keystems","Millennium Promise Alliance","ngo"
"257","tech for good: the role of ict in achieving the sdgs","participation_keystems","Office of the President of Uruguay","government"
"258","tech for good: the role of ict in achieving the sdgs","participation_keystems","UN Statistics Division","un"
"259","tech for good: the role of ict in achieving the sdgs","participation_keystems","UNESCO Information for All Programme","un"
"260","feeding a hungry planet","participation_keystems","Columbia University","private university"
"261","feeding a hungry planet","participation_keystems","Cornell University","private university"
"262","feeding a hungry planet","participation_keystems","Johns Hopkins University","private university"
"263","feeding a hungry planet","participation_keystems","Tufts University","private university"
"264","feeding a hungry planet","participation_keystems","Wageningen University & Research","public university"
"265","feeding a hungry planet","participation_keystems","International Fertilizer Association","business"
"266","environmental security and sustaining peace","democratic_keystems","Columbia University","private university"
"267","environmental security and sustaining peace","democratic_keystems","Duke University","private university"
"268","environmental security and sustaining peace","democratic_keystems","Environmental Law Institute","ngo"
"269","environmental security and sustaining peace","democratic_keystems","United Nations Environment Programme","un"
"270","environmental security and sustaining peace","democratic_keystems","University of California - Irvine","public university"
"271","the korean story: secrets of an economic miracle","democratic_keystems","Academy of Korean Studies","research  policy institutes"
"272","the korean story: secrets of an economic miracle","democratic_keystems","Columbia University","private university"
"273","the korean story: secrets of an economic miracle","democratic_keystems","KDI School of Public Policy and Management","government"
"274","the korean story: secrets of an economic miracle","democratic_keystems","Korea University","private university"
"275","the korean story: secrets of an economic miracle","democratic_keystems","Seoul National University","public university"
"276","the korean story: secrets of an economic miracle","democratic_keystems","SUNY","public university"
"277","the korean story: secrets of an economic miracle","democratic_keystems","Korea Transport Institute (KOTI)","government"
"278","the korean story: secrets of an economic miracle","democratic_keystems","Korea Women's Development Institute","government"
"279","transforming our world: achieving the sdgs","democratic_keystems","Columbia University","private university"
"280","human rights, human wrongs","democratic_keystems","Middlesex University","public university"
"281","planetary boundaries and human opportunities","participation_keystems","Stellenbosch University","public university"
"282","planetary boundaries and human opportunities","participation_keystems","Stockholm Resilience Centre","research  policy institutes"
"283","planetary boundaries and human opportunities","participation_keystems","Stockholm University","public university"
"284","global public health","democratic_keystems","All India Institutes of Medical Sciences","public university"
"285","global public health","democratic_keystems","Chatham House","research  policy institutes"
"286","global public health","democratic_keystems","Harvard University","private university"
"287","global public health","democratic_keystems","Public Health Foundation of India","ngo"
"288","climate change science & negotiations","participation_keystems","Columbia University","private university"
"289","climate change science & negotiations","participation_keystems","European Climate Foundation","ngo"
"290","from the ground up: managing our terrestrial ecosystems","participation_keystems","Columbia University","private university"
"291","from the ground up: managing our terrestrial ecosystems","participation_keystems","George Mason University","public university"
"292","from the ground up: managing our terrestrial ecosystems","participation_keystems","United Nations Development Programme","un"
"293","from the ground up: managing our terrestrial ecosystems","participation_keystems","FAS - Funda<e7><e3>o Amazonas Sustent<e1>vel<U+00A0> (Amazonas Sustainable Foundation)","ngo"
"294","from the ground up: managing our terrestrial ecosystems","participation_keystems","Universidade Estadual do Rio de Janeiro (Federal Rural University of Rio de Janeiro)","public university"
"295","laudato si : on care for our common home","participation_keystems",NA,NA
"296","transforming development: the science and practice of resilience thinking","democratic_keystems","Stockholm Resilience Centre","research  policy institutes"
"297","transforming development: the science and practice of resilience thinking","democratic_keystems","University of Victoria","public university"
"298","changing<u+00a0>mindsets in public institutions to implement the 2030 agenda for sustainable development<u+200b>","democratic_keystems",NA,NA
"299","transparency, accountability and ethics in public institutions","democratic_keystems",NA,NA
"300","strengthening institutional arrangements and governance capacities for policy coherence<u+200b>","democratic_keystems",NA,NA
"301","effective national to local public governance for sdg implementation","democratic_keystems",NA,NA
"302","government innovation for social inclusion of vulnerable groups","participation_keystems",NA,NA
"303","risk-informed governance and innovative technology for disaster risk reduction and resilience <u+200b>","reflex_adpt_keystems",NA,NA
"304","innovation and digital government for public service delivery <u+200b>","democratic_keystems",NA,NA
"305","digit4sd: digital government implementation","democratic_keystems",NA,NA
"306","e-government for women s empowerment <u+200b>","democratic_keystems",NA,NA
"307","integrated policies and policy coherence for the sdgs","policy_coh_keystems",NA,NA
"308","the sdg primer","participation_keystems",NA,NA
"309","the un sustainable development cooperation framework","policy_coh_keystems",NA,NA
"310","formation introductive sur la jeunesse, la paix et la s<e9>curit<e9>","participation_keystems",NA,NA
"311","unleashing the power of the private sector for the 2030 agenda","participation_keystems",NA,NA
"312","public financial management","participation_keystems",NA,NA
"313","trainfortrade e-learn course on international merchandise trade statistics","reflex_adpt_keystems","UNCTAD",NA
"314","trainfortrade e-learn course on international merchandise trade statistics","reflex_adpt_keystems","WTO","government"
"315","social indicators for public policies and programmes","reflex_adpt_keystems","Brazilian Institute of Geography and Statistics",NA
"316","introduction to big data for sustainable development","reflex_adpt_keystems","Data-Pop Alliance","research  policy institutes"
"317","communicating gender statistics","reflex_adpt_keystems",NA,NA
"318","designing a multidimensional poverty index","participation_keystems","Oxford","government"
"319","designing a multidimensional poverty index","participation_keystems","UNDP","un"
"320","public-private partnerships","participation_keystems",NA,NA
"321","data planning with adapt","reflex_adpt_keystems",NA,NA
"322","questionnaire development and testing","reflex_adpt_keystems",NA,NA
"323","constructing producer price indexes and import and export price indexes","reflex_adpt_keystems","U.S. Bureau of Labor Statistics",NA
"324","environmental sdg indicators","reflex_adpt_keystems","UNEP","un"
"325","environmental sdg indicators","reflex_adpt_keystems","UNITAR","un"
"326","sdg indicators 15.1.1 and 15.2.1 - forest area and sustainable forest management","reflex_adpt_keystems","Food and Agriculture Organization of the United Nations","un"
"327","official statistics for sdgs","reflex_adpt_keystems","Statistical Institute for Asia and the Pacific","un"
"328","understanding data and statistics better","reflex_adpt_keystems","UNITAR","un"
"329","understanding data and statistics better","reflex_adpt_keystems","UN ECA","un"
"330","national metadata for sdgs","reflex_adpt_keystems",NA,NA
"331","communicating statistics on women's economic empowerment","reflex_adpt_keystems",NA,NA
"332","strengthening stakeholder engagement for the 2030 agenda","participation_keystems","UN DESA","un"
"333","strengthening stakeholder engagement for the 2030 agenda","participation_keystems","UNITAR","un"
"334","economic indicators","reflex_adpt_keystems","U.S. Bureau of Labor Statistics",NA
"335","sdg indicator 2.4.1 - sustainable agriculture","reflex_adpt_keystems","Food and Agriculture Organization of the United Nations","un"
"336","sdg indicator 2.c.1 - food price anomalies","reflex_adpt_keystems","Food and Agriculture Organization of the United Nations","un"
"337","climate mitigation initiatives","reflex_adpt_keystems",NA,NA
"338","sdg indicator 14.4.1 - fish stocks sustainability","reflex_adpt_keystems","Food and Agriculture Organization of the United Nations","un"
"339","infrastructure, public-private partnerships, and fiscal management","reflex_adpt_keystems",NA,NA
"340","sdg indicator 2.a.1   agriculture orientation index","reflex_adpt_keystems",NA,NA
"341","geospatial information technology in fragile contexts","reflex_adpt_keystems","United Nations Institute for Training and Research","research  policy institutes"
"342","calidad de registros administrativos","participation_keystems",NA,NA
"343","sdg sub-indicator 12.3.1.a   food loss index","reflex_adpt_keystems",NA,NA
"344","e-learning on gender statistics","reflex_adpt_keystems","United Nations Economic and Social Commission for Western Asia","un"
"345","ensuring women s legal rights to land ownership and/or control","reflex_adpt_keystems",NA,NA
"346","unece gender statistics toolkit","reflex_adpt_keystems","United Nations Economic Commission for Europe","un"
"347","e-training on the framework for development of environmental statistics (fdes)","reflex_adpt_keystems","United Nations Economic Commission for Africa","un"
"348","sdg indicator 2.1.2 - using the food insecurity experience scale (fies)","reflex_adpt_keystems","Food and Agriculture Organization of the United Nations","un"
"349","poverty statistics for sdgs","reflex_adpt_keystems","Statistical Institute for Asia and the Pacific","un"
"350","survey skills development course","reflex_adpt_keystems","Brazilian Institute of Geography and Statistics",NA
"351","fisheries and aquaculture statistics","reflex_adpt_keystems","Statistical Institute for Asia and the Pacific","un"
"352","international business alliance","democratic_keystems","United Nations Industrial Development Organization","un"
"353","labour productivity and income of small-scale food producers","reflex_adpt_keystems","Food and Agriculture Organization of the United Nations","un"
"354","e-learning series on public-private partnerships","participation_keystems","United Nations Economic and Social Commission for Asia and the Pacific","un"
"355","sdg indicators 2.5.1 and 2.5.2 - plant and animal genetic resources","reflex_adpt_keystems","Food and Agriculture Organization of the United Nations","un"
"356","labor market information: business establishment surveys","reflex_adpt_keystems","U.S. Bureau of Labor Statistics",NA
"357","e-training on the compilation and application of supply-use tables (suts) in afr","democratic_keystems","United Nations Economic Commission for Africa","un"
