"","id","titles_acad","author","weblink_acad","SDGs","audience","description"
"11",11,"Work and Employment for a Sustainable Future","Columbia University,  Kailash Satyarthi Children's Foundation,  International Labour Organization,  Ahmedabad University,  Harvard University,  University of Oxford,  University of Gothenburg,  Harvard University","https://sdgacademy.org/course/work-and-employment-for-a-sustainable-future/","SDG8, SDG10, Agenda 2030","This course is forPolicy professionals<U+00A0>who want to understand frameworks for SDG planningDevelopment practitioners<U+00A0>seeking knowledge on goals-based developmentAdvanced undergraduates and graduate students<U+00A0>interested in economics, development, and other key concepts related to the SDGs, Policy professionals, Development practitioners, Advanced undergraduates and graduate students","What does it take to achieve SDG 8 and realize decent work for all? What is the link between employment, work, income and wealth? How will automation affect the future of work?, What does it take to achieve SDG 8 and realize decent work for all? What is the link between employment, work, income and wealth? How will automation affect the future of work?, Examine work and employment's, STRUCTURAL SHIFTS, Trace the rise of a modern, WELFARE STATE, How will AI reshape the, WORLD OF WORK?, What does it take to, ACHIEVE SDG 8?, National economies have grown substantially since the Industrial Revolution of the 19th century, yet people have not necessarily seen an increase in opportunities to find decent work or earn a decent income. In fact, in some places, the increased productivity and rising profits associated with automation have directly impacted the availability of decent jobs. According to the International Labour Organization, more than 204 million people were unemployed in 2015, and more than 600 million new jobs are needed by 2030 just to keep pace with the growth of the working-age population. We also need to improve working conditions for the 780 million women and men who are employed but not earning enough to lift themselves and their families out of poverty. In addressing these core issues we will not only see increasing decent work opportunities but also more robust, inclusive and poverty-reducing growth., This course explores the past and future of work in the context of the SDGs, particularly SDG 8: Decent Work and Economic Growth. It examines the state of income and employment around the world, barriers to employment, policies to promote economic opportunity, and the future of work in our rapidly changing world. Encouraging entrepreneurship and job creation are key to achieving the SDGs, as are effective measures to eradicate forced labor, slavery, and human trafficking. With these targets in mind, the world can achieve full and productive employment and decent work for all women and men by 2030., This seven-module massive open online course (MOOC) provides an in-depth look at the issues of inclusive and sustainable economic growth, full and productive employment, and decent work for all. The topics covered include structural shifts in economies and work; informality, gender, and child labor; the modern welfare state; the future of work; and more. The course concludes with a special module by the ILO on realizing decent work for all and achieving SDG 8., You will learn about:,  Module 1: Decent Work for Sustainable Development,  Module 2: Transitions in Employment and Work,  Module 3: Challenges of Work: Informality, Gender and Child Labor,  Module 4: Current Policy Responses,  Module 5: Structural and Institutional Models for the Future of Work,  Module 6: Future of Jobs and Work,  Module 7: Special Module in Partnership with the ILO: Achieving SDG 8 and Realizing Decent Work for All"
"12",12,"Ethics in Action","World Conference of Religions for Peace,  Columbia University","https://sdgacademy.org/course/ethics-in-action/","SDG16, SDG17","This course is forReligious and spiritual communities and individuals who want to contribute to the work of sustainable developmentDevelopment professionals who want to understand and engage local faith communitiesAdvanced undergraduates and graduate students interested in philosophy, religion, theology, and their relation to global issues","What do the world’s great religious and secular philosophies have to say about ethical conduct? Which virtues are common across faiths? And what role do religious communities have to play in building a more just and sustainable world?, What do the world’s great religious and secular philosophies have to say about ethical conduct? Which virtues are common across faiths? And what role do religious communities have to play in building a more just and sustainable world?, How faith communities can help advance, SUSTAINABLE DEVELOPMENT, Working together to save, OUR COMMON HOME, What can be done to address the, CHALLENGES OF OUR TIME, Developing as individuals and as a society for, THE GOOD OF ALL, The challenges of sustainable development are more than technical or political—they are also moral, calling on us to examine who we are as human beings, and who we want to be going forward., This examination of what makes a “good person”—called virtue ethics—has long been the purview of philosophers and theologians. So what do the world’s great religious and secular philosophies have to say about ethical conduct? Which virtues are common across creeds and cultures? And what role do ethics, spirituality, and religious communities have to play in sustainable development?, In 2016, distinguished leaders from the world’s major religious traditions, philosophers, scholars, and scientists were invited by Pope Francis to the Vatican for a series of meetings. Known as the Ethics in Action initiative, these meetings sought to promote dialogue and find consensus about the values needed to advance transformative action for our common home and the human family., This course features Ethics in Action meeting participants, as well as other leading voices, and discusses the perspectives of some of the world’s great traditions and their role in addressing our world’s most pressing challenges, including poverty, corruption, and climate change. It presents multi-faith cooperation as essential for achieving sustainable development, and calls for the development of a new shared virtue ethics to bring us all into a sustainable and peaceful future., You will learn:,  Module 1: Introduction to Ethics in Action,  Module 2: Religion and Virtue Ethics - Part I,  Module 3: Religion and Virtue Ethics - Part II,  Module 4: The Virtuous Society,  Module 5: Poverty and Inequality,  Module 6: Peace,  Module 7: Refugees, Trafficking, and Modern Slavery,  Module 8: Environmental Justice,  Module 9: Politics and Power,  Module 10: Business, Work, and the Common Good,  Course Conclusion: Towards a New Virtue Ethics for Sustainable Development,  Examining Ethics in Action: Case Studies"
"13",13,"Alianzas: un veh<ed>culo para lograr el desarrollo sostenible","Banco Interamericano de Desarrollo,  Banco Interamericano de Desarrollo,  Sustainable Development Solutions Network,  Sustainable Development Solutions Network","https://sdgacademy.org/course/alianzas/","SDG17, Agenda 2030","This course is forEl curso Alianzas: un veh<ed>culo para lograr el desarrollo sostenible est<e1> dirigido a:Funcionarios p<fa>blicos de Am<e9>rica Latina y el Caribe a nivel nacional, regional y municipal.Organizaciones del sector privado, sociedad civil y acad<e9>micos y universitarios de Am<e9>rica Latina y el Caribe.Ciudadanos de Am<e9>rica Latina y el Caribe interesados en las alianzas para el desarrollo sostenible.","MOOC desarrollado en colaboración con la Red de Soluciones de Desarrollo Sostenible (SDSN, por sus siglas en inglés), en el que se analiza la contribución de las alianzas al desarrollo sostenible, con metodologías y casos de éxito para implementarlas., MOOC desarrollado en colaboración con la Red de Soluciones de Desarrollo Sostenible (SDSN, por sus siglas en inglés), en el que se analiza la contribución de las alianzas al desarrollo sostenible, con metodologías y casos de éxito para implementarlas., Cómo compartir información ayuda a avanzar, el desarrollo sostenible?, El papel de la comunicación en la implementación, DE ALIANZAS ESTRATÉGICAS, La agenda 2030 y los Objetivos de Desarrollo Sostenible (ODS) se han consolidado como marco de referencia para las organizaciones y los ciudadanos interesados en avanzar hacia el desarrollo sostenible del planeta. Dentro de este marco, el Objetivo de Desarrollo Sostenible número 17 destaca las ventajas de las alianzas estratégicas para lograr que dicha agenda se haga efectiva., Las alianzas nos permiten analizar problemas desde diferentes perspectivas y proporcionar soluciones más integrales, y favorecen el apalancamiento de recursos, el intercambio de conocimientos, la transferencia de tecnologías y la ejecución efectiva de programas de desarrollo., Pero, trabajar en alianza exige un cambio de perspectiva, una nueva forma de relacionarse con nuestros socios, una forma diferente de dividir las responsabilidades, tomar decisiones y monitorear los resultados., ¿Estamos preparados para trabajar en alianza?, El siguiente MOOC, coordinado por el Banco Interamericano de Desarrollo y la Red de Soluciones de Desarrollo Sostenible de Naciones Unidas, se presenta como una guía práctica para promover e implementar alianzas para el desarrollo sostenible.,  Concretamente, el curso analiza el concepto de alianza y el marco de los Objetivos de Desarrollo Sostenible. Adicionalmente, analiza los diferentes actores que suelen participar en este tipo de alianzas y las áreas recomendadas por Naciones Unidas para la implementación de alianzas para el desarrollo sostenible., El curso ofrece, además, herramientas y buenas prácticas para promover, crear, gestionar, gobernar y evaluar y monitorear alianzas. Y analiza las principales habilidades a desplegar para la implementación efectiva de este tipo de alianzas., El curso combina lecturas teóricas con múltiples casos reales, y ofrece múltiples actividades prácticas para que la experiencia de aprendizaje sea amena y efectiva. También cuenta con las perspectivas de diversos actores, como expertos de las Naciones Unidas y del BID, líderes empresariales, funcionarios públicos y representantes de ONGs y otras entidades., Esta capacitación puede resultar de gran utilidad para quien trabaja en programas de desarrollo sostenible, principalmente funcionarios públicos, pero también agentes del sector privado, tercer sector, universidades o fundaciones trabajando en estos temas., Lo que aprenderás, Al final del curso, el participante podrá:,  Módulo 0: Información importante sobre el curso,  Módulo 1: Las alianzas y los ODS,  Módulo 2: Movilizando financiamiento para implementar los ODS,  Módulo 3: Desarrollo de capacidades, transferencia de tecnologías y cooperación Sur-Sur,  Módulo 4: Marco institucional y procesos para crear alianzas,  Módulo 5: Habilidades para la gestión efectiva de alianzas,  Módulo 6: Cierre del curso"
"14",14,"Industrial Policy in the 21st Century: The Challenge for Africa","UNU-WIDER","https://sdgacademy.org/course/industrial-policy-in-the-21st-century-the-challenge-for-africa/","SDG8, SDG9, SDG12","This course is forPolicy professionals who want to understand how industrial policy can create win-win strategies for growth and developmentDevelopment practitioners seeking insight into how to address the need for industrialization in AfricaAdvanced undergraduates and graduate students interested in economics, development, industrialization, and other key concepts related to Africa<U+0092>s development","Why is there so little industry in Africa? Does it matter? What can we do about it? In this lecture series developed by UNU-WIDER, hear from economist John Page about the continent's options for industrialization and the future of economic growth in Africa., Why is there so little industry in Africa? Does it matter? What can we do about it? In this lecture series developed by UNU-WIDER, hear from economist John Page about the continent's options for industrialization and the future of economic growth in Africa., in, AFRICA, industries, WITHOUT SMOKESTACKS, for, ECONOMIC DEVELOPMENT, with leading voices in, DEVELOPMENT ECONOMICS, According to The World Bank, Africa’s working-age population is expected to increase by nearly 70% by 2035. Without industrialization to create jobs, it will be difficult to achieve sustainable development. 
While manufacturing led to rapid industrialization in East Asian countries, there is doubt that it can have the same effect in Africa. The question is, if not through manufacturing, how can Africa promote economic growth?, In this course from the United Nations University World Institute for Development Economics Research (UNU-WIDER), brought to you by the SDG Academy, you will hear from researcher John Page and other leading voices in development economics about the range of activities known “industries without smokestacks,” and learn how industrial policy that promotes the growth of these industries presents a win-win scenario for economic development in Africa., ,  Module 1: Industry as a driver of structural change,  Module 2: The recipe for industrial growth,  Module 3: Avoiding the resource curse,  Module 4: Industrial policies for Africa"
"15",15,"Sustainable Development: The Post-Capitalist Order","Columbia University","https://sdgacademy.org/course/post-capitalist-order/","Agenda 2030","This course is forPolicy professionals who want to understand frameworks for SDG planningDevelopment practitioners seeking knowledge on goals-based developmentAdvanced undergraduates and graduate students interested in economics, development, and other key concepts related to the SDGsPrivate-sector actors, such as those who work in real estate development, technology, telecommunications, transportation, or energy <U+0096> whose work can contribute to and redefine urban areas","Examine the shortcomings of global capitalism, and learn why sustainable development is the logical step forward for our world., Examine the shortcomings of global capitalism, and learn why sustainable development is the logical step forward for our world., does not equal, WELLBEING, economic growth, expansion, and, GLOBALIZATION, A look at the, SHORTCOMINGS OF CAPITALISM, to a, SUSTAINABLE FUTURE, Our present system of global capitalism is flawed. While it has produced immense wealth and economic growth in nearly all regions of the world, it has also prioritized profits over people and harmful consumption practices over the needs of our planet. Sustainable development must bring about a new world order to replace the vices of global capitalism, ensuring development, human wellbeing, and environmental security. This course presents the U.N.’s Agenda 2030 and the Sustainable Development Goals as the necessary successor to laissez faire-style capitalism, and emphasizes the urgency of embracing sustainable development objectives to transform our economy into a more reactive, efficient, inclusive, and environmentally-conscious system., This massive open online course (MOOC) provides an in-depth look at the shortcomings of our current and past global economies, and shows why and how sustainable development has become the universally-prioritized agenda for the future of our world. The topics covered range from market economics to education, gender equality, international trade, financing, and more.,  Module 1: What is Sustainable Development?,  Module 2: What Do Global Markets Do?,  Module 3: A Brief History of our Faustian Bargain,  Module 4: Capitalism and Injustice,  Module 5: The SDGs: Leaving No One Behind,  Module 6: The Tragedy of The Commons,  Module 7: From Capitalism to Sustainable Development,  Module 8: How Can Cities and Urban Areas be Governed Better to Make them More Sustainable?"
"16",16,"Getting a Good Deal: Negotiating Extractive Industry Contracts","Natural Resource Governance Institute (NRGI), the Columbia Center on Sustainable Investment (CCSI), the CONNEX Support Unit, GIZ, the European Union","https://sdgacademy.org/course/getting-a-good-deal/","SDG8, SDG9, SDG12","This course is forMid- to senior-level government officials, including those with decision making authority, who work in ministries and departments involved in policy design, implementation, and compliance; officials from state-owned enterprises; members of parliament; parliamentary staffers; and researchers.Civil society leaders with a track record of analysis, oversight, and policy advocacy around the governance of extractive industries.Academics and doctoral students undertaking applied research or teaching on the governance of natural resources.Professionals from development agencies, including consultancies, aid agencies, and international financial institutions.Representatives from extractive industry associations such as chambers of energy and minerals or country-level industry think tanks.Law students or those who wish to better their knowledge on how to examine, plan, and execute the negotiation process., Mid- to senior-level government officials,, Civil society leaders, Academics and doctoral students, Professionals from development agencies, Representatives from extractive industry associations, Law students","Much of the work of contract negotiations happens before anyone sits down at the table. Be prepared to get a good deal in our newest course on negotiating extractive industry contracts. , Much of the work of contract negotiations happens before anyone sits down at the table. Be prepared to get a good deal in our newest course on negotiating extractive industry contracts. , a good deal , in the extractive industry, in successful, contract negotiations?, can support , government negotiators?, of a , SUCCESSFUL CONTRACT, Many resource-rich countries negotiate complex contracts to govern mining, oil, or gas projects. Despite the critical importance of these contracts in determining the risks and benefits of these projects, many developing country governments face disadvantages in the negotiation process. This can be because of asymmetric information or expertise, lack of preparedness, power imbalances, and other factors. This course examines the challenges governments face in negotiating strong contracts, and strategies that governments can use to address these challenges and increase the chances of negotiating a good deal., , This course was developed by the Natural Resource Governance Institute (NRGI), the Columbia Center on Sustainable Investment (CCSI), and the CONNEX Support Unit, with support from GIZ and the European Union. It is hosted by the SDG Academy.,  Module 1: The Policy and Legal Context Around Contract Negotiations,  Module 2: Preparing for Negotiations,  Module 3: Negotiations and the Aftermath"
"17",17,"Natural Resources for Sustainable Development","Columbia University,  Natural Resource Governance Institute,  Columbia Center on Sustainable Investment,  University of Oxford,  Natural Resource Governance Institute,  Natural Resource Governance Institute,  Foundation for the Global Compact,  United Nations Economic Commission for Africa,  Crystol Energy,  University of the Philippines","https://sdgacademy.org/course/natural-resources-for-sustainable-development/","SDG9, SDG12, SDG16, SDG8","This course is forSustainable development practitioners <U+0096> as well as private-sector actors, such as those who work in corporate sustainability and responsibility or renewable energy <U+0096> who need to understand the historical context and evolution of the extractives industryExtractive practitioners, such as those who work in oil, gas, and mining, who are interested in making the field more sustainableGraduate students and advanced undergraduate students studying extractives, environmental science, environmental law, sustainable development, sustainable business, and related fieldsClimate change activists or practitioners looking to understand the balance of sustainable resource use and business investment <U+00A0>","Explore the sustainable development opportunities and challenges in using oil, gas, and minerals., Explore the sustainable development opportunities and challenges in using oil, gas, and minerals., How do countries translate natural resource wealth into, sustainable development outcomes?, What policies are necessary for the sustainable management of , natural resource wealth?, How does governance of extractive industries impact, long term economic development?, Why is communication critical to, sustainable natural resource management?,  Module 1: Challenges and opportunities,  Module 2: Political economy of natural resources,  Module 3: Fundamentals of oil, gas, and mining: Industry considerations and policy implications,  Module 4: Legal overview,  Module 5: Fiscal regime design and revenue collection,  Module 6: Anticipating and managing environmental issues,  Module 7: Community rights,  Module 8: Artisanal mining,  Module 9: Revenue management,  Module 10: Investing in sustainable development: Economic linkages to the extractives sector,  Module 11: Investing in sustainable development: Looking beyond extractives,  Module 12: Cross-cutting considerations and looking ahead"
"18",18,"How to Achieve the SDGs","Columbia University","https://sdgacademy.org/course/how-to-achieve-the-sustainable-development-goals/","Agenda 2030","This course is forPolicy professionals<U+00A0>who want to understand frameworks for SDG planningSustainable development practitioners seeking knowledge on goal-based developmentAdvanced undergraduates and graduate students interested in key concepts related to the SDGs, Policy professionals<U+00A0>, Sustainable development practitioners, Advanced undergraduates and graduate students","Learn about innovative solutions for supporting the global development agenda., Learn about innovative solutions for supporting the global development agenda., What are the SDGs, and what is their role in the , global development agenda?, How can we promote goal-based development?, , What roles do various stakeholders play in , progress towards the goals?, What are the major obstacles complicating progress towards the SDGs?, , On September 25, 2015, the United Nations General Assembly adopted the 2030 Agenda for Sustainable Development, along with a new set of goals collectively called the Sustainable Development Goals (SDGs). This ambitious agenda is a call to action to end poverty, protect the planet, and ensure that all people enjoy peace and prosperity., , This 7-module massive open online course (MOOC) provides an in-depth look at planning for SDG implementation. We will discuss financing, policy development, roles of stakeholders, and more. You will gain a comprehensive understanding of the societal transformations needed to achieve the SDGs.,  Module 1: The SDG framework and Agenda 2030,  Module 2: Transformation Pathways to Success,  Module 3: Government and the SDGs,  Module 4: SDG Financing,  Module 5: The Business Sector and the SDGs,  Module 6: Civil Society and the SDGs,  Module 7: Global Partnerships for the SDGs"
"19",19,"The Best Start in Life: Early Childhood Development for Sustainable Development","New York University,  New York University,  Harvard University,  Harvard University","https://sdgacademy.org/course/the-best-start-in-life-early-childhood-development/","SDG4, SDG2, SDG5, SDG16, SDG3","This course is forGraduate students and advanced undergraduate students in international development, teaching, nursing and medicine who are interested in the key concepts and practices in early childhood developmentTeachers, healthcare professionals and other practitioners interested in the societal and biological factors impacting the children they supportSustainable development practitioners who want to understand the lifecycle of needs and support necessary to help children globally, including those who work for international aid organizations and nonprofits in the areas of poverty, nutrition and education","The life of a child in their early years impacts their entire life – and all of society. How do we ensure children the world over are supported in their development from birth?, The life of a child in their early years impacts their entire life – and all of society. How do we ensure children the world over are supported in their development from birth?, How neurological makeup affects , children’s development, How factors such as forced migration impact, a child’s future, The intersection of childcare, education and other programs with policies, at the national level and beyond, Experts in the field hailing from from Harvard University, New York University, UNICEF, AND MORE, What does a successful early childhood care program look like? How has a child’s brain developed at the age of 3? How does nutrition impact the future well-being of a child into adulthood?, Learn the answers to these questions and more in The Best Start in Life: Early Childhood Development for Sustainable Development, an 8-module massive open online course. With leading experts in the field – hailing from Harvard University, New York University and UNICEF, among other institutions – we’ll explore how neuroscience, sociology, anthropology and other studies have influenced our understanding of early childhood development.,  Module 1: Introduction,  Module 2: Child Development: Prenatal to Age 3,  Module 3: Child Development: Ages 3 to 8,  Module 4: Tour of ECD Programs and Sectors Part I,  Module 5: Tour of ECD Programs and Sectors Part 2,  Module 6: Communities and Situations of Conflict and Migration,  Module 7: From Programs to Policies,  Module 8: The Future: Innovations and Growth"
"20",20,"The Age of Sustainable Development","Columbia University","https://sdgacademy.org/course/the-age-of-sustainable-development/","Agenda 2030, SDG13, SDG14, SDG15","This course is forAnyone new to the concept of sustainable development who wants to understand its foundations and its relevance to their life and work Graduate students and advanced undergraduate students interested in the key concepts and practices of sustainability and global valuesSustainable development practitioners <U+0096> as well as private-sector actors, such as those who work in corporate sustainability and responsibility <U+0096> who want a concise overview of the latest developments in the field","Learn the basics of sustainable development – what it is, why it’s important, and how we can achieve it., Learn the basics of sustainable development – what it is, why it’s important, and how we can achieve it., Learn the basics – how do we build, a sustainable world?, From planetary boundaries, to renewable energy, to sustainable consumption of, natural resources, From inequality, to poverty, to health and, human rights, How do nations and economies flourish without, leaving anyone behind?, Sustainable development is the most urgent challenge facing humanity. Its fundamental question is: How can the world economy continue to develop in a way that is socially inclusive and environmentally sustainable? This course provides a broad overview of the interactions between the economy, our environment, and humanity, from the constraints of finite resources to the activities that drive climate change, to equality for all., This course is an updated version of Professor Sachs' popular 2015 course of the same name. It includes new perspectives and a reorientation towards Agenda 2030 and the SDGs., Join us for this introduction to the tenets of sustainable development, developed by experts on the latest in the social, policy, and physical sciences.,  Module 1: What is Sustainable Development?,  Module 2: Economic Development – How We Measure It, How It Varies Around the World,  Module 3: A Short History of Economic Development,  Module 4: Why Did Some Countries Advance While Others Remained in Poverty?,  Module 5: The MDGs and the End of Extreme Poverty,  Module 6: Growth within Planetary Boundaries,  Module 7: Human Rights and Gender Equality,  Module 8: Education,  Module 9: Universal Health Coverage,  Module 10: Sustainable Food Supply and the End of Hunge,  Module 11: Sustainable Cities,  Module 12: Curbing Climate Change,  Module 13: Saving Biodiversity,  Module 14: The Sustainable Development Goals"
"21",21,"Sustainable Food Systems: A Mediterranean Perspective","Universit<e0> di Macerata,  Gustolab International,  Columbia University,  University of Exeter,  Health Tech,  Ain Shams University,  Ain Shams University,  Universit<e0> degli Studi di Tuscia,  Universit<e0> degli Studi di Napoli Federico II,  Water Observatory,  Universit<e9> de Sousse,  Athens University of Economics and Business,  Universit<e0> degli Studi di Siena","https://sdgacademy.org/course/sustainable-food-systems-a-mediterranean-perspective/","SDG2","This course is forStudents at the undergraduate or graduate level interested in the main challenges facing the Mediterranean regionCurrent and future practitioners in the agriculture, food, and beverage sectors who wish to gain useful insights about current and future trends and business opportunitiesPolicymakers and regional stakeholders who want to deepen their knowledge of agricultural policy, investment, and decision-making in the region and globally","How do we produce more, better quality, and safer food while simultaneously achieving social and environmental goals?, How do we produce more, better quality, and safer food while simultaneously achieving social and environmental goals?,  The interlinkages from production to, consumption, Explore food systems in countries across, the Mediterranean, Entrepreneurial opportunities and, growing fields, The Mediterranean region is one of the most biodiverse in the world, home to a complex and intricate patchwork of cultures, climates, and cuisines. Food systems in the region – represented worldwide by the ""Mediterranean diet"" – are equally complex, demanding analysis across the political, social, cultural, economic, and nutritional spectrums from landscape to table., The ability of Mediterranean agriculture to sustain its peoples – and the planet – is now threatened by several issues:, This course discusses the challenges and opportunities of the agricultural sector in the Mediterranean basin. It summarizes global-to-local challenges related to achievement of the Sustainable Development Goals; outlines the history and culture of agriculture and its main characteristics with a focus on the ""Mediterranean diet""; explains agricultural data with a focus on rural development models and value creation; explores EU policy frameworks and international agreements related to food and agriculture in the Mediterranean; and highlights emerging opportunities linked to innovation and sustainability in the sector.,  ,  Module 1: The Mediterranean challenges around food and agriculture,  Module 2: History of agriculture in Mediterranean basin and Mediterranean Diet,  Module 3: Poverty alleviation, economic and social rural development,  Module 4: Fisheries and Aquaculture,  Module 5: How to achieve the SDGs in the Mediterranean – The way forward I. Water resources and Fisheries Management,  Module 6: How to achieve the SDGs in the Mediterranean – The way forward II. Sustainable farming systems under environmental and climatic constraints,  Module 7: How to achieve the SDGs in the Mediterranean – The way forward III. Food value chain for regional and local development,  Module 8: How to achieve the SDGs in the Mediterranean – The way forward IV. Reducing food waste and enhancing by-product innovations,  Module 9: How to achieve the SDGs in the Mediterranean –  The way forward V. Nutrition and Education,  Module 10: New professional profiles in a Mediterranean context"
"22",22,"One Planet, One Ocean","Kiel University,  Kiel University,  International Ocean Institute,  GEOMAR,  Kiel University,  Kiel University,  Kiel University,  Kiel University,  Kiel University,  Kiel University,  Kiel University,  Kiel University,  Kiel University,  Kiel University,  Kiel University","https://sdgacademy.org/course/one-planet-one-ocean/","SDG14, SDG13, SDG15","This course is forThose who loved Planet Earth and The Blue PlanetSustainable development practitioners who need a science-based overview of preservation and conservation of the oceans and the ecosystems they supportPrivate-sector actors <U+0096> such as those who work in corporate sustainability and responsibility, energy, fishing and other industries connected to the oceans <U+0096> who are interested in understanding the sustainable interaction of their field with these resourcesGraduate students and advanced undergraduate students studying oceanography, environmental science, environmental law, sustainable development, sustainable business and related fieldsClimate change activists or practitioners interested in the current science and governance of ocean use and preservation, courses@sdgacademy.org","A holistic view of how the ocean functions, how human interactions with the ocean can be understood, and what solutions are available to support both sustainable use and stewardship of our blue planet., A holistic view of how the ocean functions, how human interactions with the ocean can be understood, and what solutions are available to support both sustainable use and stewardship of our blue planet., The physics, biology and chemistry of, the ocean, The rules and regulations governing ocean use and misuse, plus related economics of , ocean ecosystems, How our interactions with the ocean impact its, resilience, Energy production, fisheries and other systems, , Is the ocean the real final frontier? Humans have a greater understanding of the surface of the moon than they do of the depths of these waters. But what we know of the ocean proves it hosts a wealth of opportunity – connecting the world; supporting important and basic economic, cultural and environmental functions – despite being under significant threat. Stressed by unsustainable lifestyles and the increasing demands of a growing global population, how do we become good stewards of this massive natural resource?, In the massive open online course One Planet – One Ocean: From Science to Solutions, learn from the world's leading experts on ocean science. They will present the issues and potential solutions – grounded in rigorous scientific research – to fight for our endangered waters.,  Module 1: One Planet – One Ocean,  Module 2: Coasts,  Module 3: Marine Ecosystems,  Module 4: Fisheries and Aquaculture,  Module 5: Marine Life and Minerals,  Module 6: Ocean and Climate"
"23",23,"Macroeconomics for a Sustainable Planet","Columbia University,  Federal Government of Chile","https://sdgacademy.org/course/macroeconomics-for-a-sustainable-planet/","SDG8, Agenda 2030","This course is forGraduate students and advanced undergraduate students studying international development, economics and/or sustainable developmentEconomists interested in the balance of macroeconomic principles and ESG (environmental, societal and governance) criteriaSustainable development practitioners <U+0096> as well as private-sector actors, such as those who work in the financial sector <U+0096> who need to understand the economic models that support and depend on sustainable development","Building a new toolkit for the 21st-century macroeconomist , Building a new toolkit for the 21st-century macroeconomist , How do we measure progress?, Are those measures enough?, How does business investment relate to, consumption and saving, Considerations from digitization, to unemployment,, to the minimum wage, Internalizing social capital and, environmental impact, Unemployment. Inflation. Protectionism. Trade barriers. Fiscal deficit. These are not just terms in an economics textbook or in newspaper headlines. These real-life challenges carry societal and environmental implications for billions of people around the world. How do we balance the pursuit of economic growth with the right of all people to thrive on an increasingly fragile planet? To answer this question, we must reframe our understanding of macroeconomics in the context of a highly interdependent world., Led by two leading economic minds – Columbia University Professor Jeffrey Sachs and Chilean Minister of Finance Felipe Larraín – this massive open online course explores traditional macroeconomic principles and tools, updated for the age of sustainable development and the current wave of globalization. Is a thriving global economy possible in an equitable and environmentally thoughtful way? Find out here.,  Module 1: Introduction to Macroeconomics,  Module 2A: Output Determination & Employment,  Module 2B: Output Determination & Employment,  Module 3: Labor Markets,  Module 4: Money & Central Banking,  Module 5: Exchange Rate Themes,  Module 6: Financial Markets & Financial Crises,  Module 7: Inflation, Unemployment & Stabilization,  Module 8: Consumption, Saving & Investme,  Module 9: Fiscal Policy and Institutions,  Module 10: Open Economy Issues,  Module 11: Economic Growth,  Module 12: Globalization"
"24",24,"Cities and the Challenge of Sustainable Development","Columbia University","https://sdgacademy.org/course/cities-and-the-challenge-of-sustainable-development/","SDG11, Agenda 2030","Sustainable Cities , This course is forAnyone new to the concept of sustainable cities or smart cities who wants to understand the foundations of modern urban developmentGraduate students and advanced undergraduate students in architecture, real estate development, sustainable development, sustainable business and other related fields who want a concise overview of the concept of sustainable citiesSustainable development practitioners interested in the basics of sustainable development for cities around the worldPrivate-sector actors, such as those who work in technology, telecommunications, transportation or the energy industry <U+0096> whose work can contribute to and redefine this space","What 
are sustainable cities? Learn the basics here., What 
are sustainable cities? Learn the basics here., What are the Sustainable Development Goals, and what do cities have to do with them?, , How various sectors contribute to modern, sustainable urban development., , According to the United Nations, urbanization and population growth could result in an increase of 2.5 billion people into urban populations by 2050, with associated impacts ranging from increased transportation needs to more building. How do we make cities sustainable to support this growth?, In this mini-series, learn the challenges of local governments to adapt to new technologies, energy systems, modes of transportation and more in order to build the sustainable cities of the 21st century., This mini-series is a companion piece to the SDG Academy's full-length Sustainable Cities  course.,  1: Introduction to the SDGs,  2: Why Cities? The Importance of SDG 11,  3: The 10-Point Agenda for 21st-Century Cities,  4: Urban Environment and Energy Systems,  5: Cities as Hubs of Knowledge"
