"","id","titles","authors","SDGs","weblink","keywords","description","audience"
"43",43,"UNECE Gender Statistics Toolkit","United Nations Economic Commission for Europe",",,,,,,Leave no one behind,,,,,,,,,,,,,,SDG5,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/using-gender-statistics-a-toolkit-for-training-data-users/","gender statistics","This resource provides participants with the tools required for developing and delivering training on gender statistics. The purpose of the toolkit is to support statistical system efforts to increase the understanding and use of gender statistics among government officials and development practitioners.
The toolkit supplies substantive content for use in training workshops, including user-friendly descriptions of key concepts with real-world examples, hands-on exercises, summary handouts, and PowerPoint presentations. The toolkit also offers practical guidance on running a successful workshop in gender statistics, complete with step-by-step planning advice and a sample workshop agenda.
The toolkit consists of six thematic modules:

Basic skills in gender statistics
Measuring the population
Measuring work and economic activity
Education and training
Health
Power and decision-making in society

The toolkit is available in English and Russian. The toolkit was developed primarily for countries in Eastern Europe, Caucasus and Central Asia, but the materials may be downloaded and adapted for use in any country.
The learning package is available to the public on the UNECE website, and includes PDF and PowerPoint materials.
									, This resource provides participants with the tools required for developing and delivering training on gender statistics. The purpose of the toolkit is to support statistical system efforts to increase the understanding and use of gender statistics among government officials and development practitioners., The toolkit supplies substantive content for use in training workshops, including user-friendly descriptions of key concepts with real-world examples, hands-on exercises, summary handouts, and PowerPoint presentations. The toolkit also offers practical guidance on running a successful workshop in gender statistics, complete with step-by-step planning advice and a sample workshop agenda., The toolkit consists of six thematic modules:, The toolkit is available in English and Russian. The toolkit was developed primarily for countries in Eastern Europe, Caucasus and Central Asia, but the materials may be downloaded and adapted for use in any country., The learning package is available to the public on the UNECE website, and includes PDF and PowerPoint materials., 
					Target audience
					The toolkit supports gender focal points and other individuals delivering training in gender statistics. The toolkit can be used to train a range of audiences, including:
statisticians and staff of national statistical offices
data producers from across the national statistical system (e.g. ministry of health, education, finance)
government officials
politicians and/or their advisors
users of statistics from civil society
academics and researchers
journalists
school and university students
, The toolkit supports gender focal points and other individuals delivering training in gender statistics. The toolkit can be used to train a range of audiences, including:, 
					Learning objectives
					The main objective of the toolkit is to provide facilitators of training in gender statistics with:
practical guidance on planning and delivering a training workshop in gender statistics
short, straight-forward descriptions and real-world examples of key concepts related to gender statistics
hands-on exercises for use in training workshops
ready-made handouts summarizing key points
PowerPoint presentations for use in training workshops
The main objectives of toolkit-based training in gender statistics will vary according to target audience needs, but may include:
increase awareness and understanding of gender statistics
encourage use of gender statistics in policies and programmes
increase capacity to produce and use gender statistics
share national experiences and good practices in producing gender statistics
identify priority areas for future work
, The main objective of the toolkit is to provide facilitators of training in gender statistics with:, The main objectives of toolkit-based training in gender statistics will vary according to target audience needs, but may include:","
					Target audience
					The toolkit supports gender focal points and other individuals delivering training in gender statistics. The toolkit can be used to train a range of audiences, including:
statisticians and staff of national statistical offices
data producers from across the national statistical system (e.g. ministry of health, education, finance)
government officials
politicians and/or their advisors
users of statistics from civil society
academics and researchers
journalists
school and university students
"
"44",44,"E-Training on the Framework for Development of Environmental Statistics (FDES)","United Nations Economic Commission for Africa",",,,,,,SDG13,,,,,,,,,,,,,,SDG15,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/e-training-on-the-framework-for-development-of-environmental-statistics-fdes-in-africa/","environmental statistics","This e-training is organized in 7 sessions. At the end of each session, one or two papers or chapters serve as a reading assignment and two to three questions are prepared for the purpose to review what has been learnt. At the completion of the 7 sessions, a final assessment is conducted in about two to three hours to evaluate the level of technical knowledge and skills that participants have gained from the e-learning. 
Content of the training:
 Session 0            Opening session 
Session 1             Overview of Environmental Statistics 
Session 2             Conceptual Foundation and Structure of the FDES; Linking the FDES and the SDGs 
Session 3             FDES Component 1: Environmental Conditions and Quality 
Session 4             FDES Component 2: Environmental Resources and their Use 
Session 5             FDES Component 3: Residuals
Session 6             FDES Component 4: Extreme Events and Disasters; FDES Component 5: Human Settlements and Environmental Health 
Session 7             FDES Component 6: Environnemental Protection, Management and Engagement; Manual on the Basic Set of Environment Statistics; The Environment Statistics Self-Assessment Tool
 
 
									, This e-training is organized in 7 sessions. At the end of each session, one or two papers or chapters serve as a reading assignment and two to three questions are prepared for the purpose to review what has been learnt. At the completion of the 7 sessions, a final assessment is conducted in about two to three hours to evaluate the level of technical knowledge and skills that participants have gained from the e-learning. , Content of the training:,  Session 0            Opening session , Session 1             Overview of Environmental Statistics , Session 2             Conceptual Foundation and Structure of the FDES; Linking the FDES and the SDGs , Session 3             FDES Component 1: Environmental Conditions and Quality , Session 4             FDES Component 2: Environmental Resources and their Use , Session 5             FDES Component 3: Residuals, Session 6             FDES Component 4: Extreme Events and Disasters; FDES Component 5: Human Settlements and Environmental Health , Session 7             FDES Component 6: Environnemental Protection, Management and Engagement; Manual on the Basic Set of Environment Statistics; The Environment Statistics Self-Assessment Tool,  ,  , 
					Target audience
					Staff from National Statistical Offices and Ministry of Environment
				, Staff from National Statistical Offices and Ministry of Environment, 
					Learning objectives
					the awareness on the importance of the environment statistics is enhanced and good understanding on the FDES is increased.
the technical capacity of the primary target group (i.e. National Statistical Office and Ministry of Environment) to produce environment statistics based on the FDES is built up.
","
					Target audience
					Staff from National Statistical Offices and Ministry of Environment
				"
"45",45,"SDG Indicator 2.1.2 - Using the Food Insecurity Experience Scale (FIES)","Food and Agriculture Organization of the United Nations",",,,,,,SDG2,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/sdg-indicator-2-1-2-using-the-food-insecurity-experience-scale-fies-2/","2030 Agenda, food insecurity experience scale, SDG indicators, SDG Indicator 2.1.2","In the context of reporting on the SDG Indicator 2.1.2, this course introduces the Food Insecurity Experience Scale (FIES) and explains how it can be used to measure food security. The course provides guidance on the collection and analysis of data, and on how the information provided by the FIES can be used to inform and guide policy.
This course consists of five lessons, ranging from approximately 25 to 60 minutes duration each:
Lesson 1 Introduction to the Food Insecurity Experience Scale
Lesson 2 Including the FIES in a survey
Lesson 3 Statistical validation of FIES data
Lesson 4 Using FIES data to calculate food insecurity prevalence rates
Lesson 5 Using the FIES to make a difference: presentation and communication of results
Watch this video to find out more: https://youtu.be/yuVIkxEJ_1s
											
							Download syllabus
							
									, In the context of reporting on the SDG Indicator 2.1.2, this course introduces the Food Insecurity Experience Scale (FIES) and explains how it can be used to measure food security. The course provides guidance on the collection and analysis of data, and on how the information provided by the FIES can be used to inform and guide policy., This course consists of five lessons, ranging from approximately 25 to 60 minutes duration each:, Watch this video to find out more: https://youtu.be/yuVIkxEJ_1s, 
					Target audience
					The target audience of this course includes:
Data analysts responsible for working with data to report on SDG Indicator 2.1.2
National statistics officers responsible for planning and implementing data collection and reporting for SDG Indicator 2.1.2
Director level staff responsible for reporting on this SDG Indicator
Policy makers who may use the reported data to inform decisions
, The target audience of this course includes:, 
					Learning objectives
					You will learn about:
Experience-based food security measurement, and its role in the SDGs
How FIES can be included as a module within a range of national level surveys
Basic statistical concepts upon which the FIES is based (especially the Rasch model)
Interpretation of Rasch model outputs and use of FAO Excel template
Effective communication of results to different audiences
, You will learn about:","
					Target audience
					The target audience of this course includes:
Data analysts responsible for working with data to report on SDG Indicator 2.1.2
National statistics officers responsible for planning and implementing data collection and reporting for SDG Indicator 2.1.2
Director level staff responsible for reporting on this SDG Indicator
Policy makers who may use the reported data to inform decisions
"
"46",46,"Poverty Statistics for SDGs","Statistical Institute for Asia and the Pacific",",,,,,,SDG1,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/poverty-statistics-for-sdgs/","poverty, statistics, SDG","This e-learning course introduces fundamental knowledge on poverty statistics. It will help participants understand how to compile and monitor Sustainable Development Goals (SDGs) indicators related to poverty. The course comprises five lessons. Each lesson comprise 40 slides and their explanations. Lesson 1 contains the definitions and rationales for poverty statistics. Lesson 2 shows the framework of indicators related to poverty. Lesson 3 depicts more specific methodology on how to measure poverty. Lesson 4 shows specific targets and indicators related to poverty. The last Lesson 5 exemplifies best practices which have much to do with tackling poverty on the globe.
									, This e-learning course introduces fundamental knowledge on poverty statistics. It will help participants understand how to compile and monitor Sustainable Development Goals (SDGs) indicators related to poverty. The course comprises five lessons. Each lesson comprise 40 slides and their explanations. Lesson 1 contains the definitions and rationales for poverty statistics. Lesson 2 shows the framework of indicators related to poverty. Lesson 3 depicts more specific methodology on how to measure poverty. Lesson 4 shows specific targets and indicators related to poverty. The last Lesson 5 exemplifies best practices which have much to do with tackling poverty on the globe.",NA
"47",47,"Survey Skills Development Course","Brazilian Institute of Geography and Statistics",",,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/survey-skills-development-course/","household, survey, dissemination, data collection and manipulation, statistics","This course was adapted from the Survey Skills Development Course offered by the Statistics Canada. The National School of Statistical Sciences (ENCE) of the Brazilian Institute of Geography and Statistics (IBGE) plans, organizes and implements the course annually. The first course was offered in 1997, and more than 700 people were certified. The content encompasses concepts, methods, planning and implementation stages of a household sample survey. The methodology includes expositive classes as wells as laboratory practices to develop capacity in producing, analyzing and disseminating statistical data. Planning starts by the choice of a client, who proposes a survey theme. ENCE evaluates the relevance of the theme for society and its innovation potential for the learning experience. The client must be a non-profit public organization. Four of the six weeks of the course are turned to the development of the survey project. One week is dedicated to fieldwork, and the last one to data processing and analysis. Class participants are split in five thematic groups: survey theme, questionnaire design, fieldwork planning, sample design, data processing system. The end of the course culminates into the delivery of a final report, which is made public in ENCE’s website. Course teaching and monitoring is done by IBGE’s employees who are considered a reference in those five areas of the survey project.
									, This course was adapted from the Survey Skills Development Course offered by the Statistics Canada. The National School of Statistical Sciences (ENCE) of the Brazilian Institute of Geography and Statistics (IBGE) plans, organizes and implements the course annually. The first course was offered in 1997, and more than 700 people were certified. The content encompasses concepts, methods, planning and implementation stages of a household sample survey. The methodology includes expositive classes as wells as laboratory practices to develop capacity in producing, analyzing and disseminating statistical data. Planning starts by the choice of a client, who proposes a survey theme. ENCE evaluates the relevance of the theme for society and its innovation potential for the learning experience. The client must be a non-profit public organization. Four of the six weeks of the course are turned to the development of the survey project. One week is dedicated to fieldwork, and the last one to data processing and analysis. Class participants are split in five thematic groups: survey theme, questionnaire design, fieldwork planning, sample design, data processing system. The end of the course culminates into the delivery of a final report, which is made public in ENCE’s website. Course teaching and monitoring is done by IBGE’s employees who are considered a reference in those five areas of the survey project., 
					Target audience
					civil servants of the statistical system; graduate students from public institutions; reserchers and professors from public institutions
				, civil servants of the statistical system; graduate students from public institutions; reserchers and professors from public institutions, 
					Learning objectives
					Know the main concepts, methods and stages for the planning and implementation of a household sample survey; learn by doing in all the stages of the survey; network with other professionals by experiencing team work; notice how different work routines are connected in the survey project.
				, Know the main concepts, methods and stages for the planning and implementation of a household sample survey; learn by doing in all the stages of the survey; network with other professionals by experiencing team work; notice how different work routines are connected in the survey project.","
					Target audience
					civil servants of the statistical system; graduate students from public institutions; reserchers and professors from public institutions
				"
"48",48,"Fisheries and Aquaculture Statistics","Statistical Institute for Asia and the Pacific",",,,,,,SDG14,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/fisheries-and-aquaculture-statistics/","fisheries, aquaculture, statistics","This course will help you understand how to compile and monitor SDG indicators from fisheries and aquaculture statistics. The course comprises six lessons. Each lesson comprises slides and their explanations. The first lesson outlines the Global Strategy to Improve Agricultural and Rural Statistics which provides a framework for national and international statistical systems to produce and to apply the basic data and information needed to guide policy on rural development and sustainable agricultural production. Lesson 2 introduces definition of small-scale fisheries and aquaculture. Lesson 3 depicts indicators of the SDG Goal 14 based on statistics in small-scale fisheries and aquaculture. Lesson 4 outlines international statistical classifications. Lesson 5 highlights on data collection and sampling design. The last lesson focuses on information technology including remote sensing, global positioning system and geographical information system.
									, This course will help you understand how to compile and monitor SDG indicators from fisheries and aquaculture statistics. The course comprises six lessons. Each lesson comprises slides and their explanations. The first lesson outlines the Global Strategy to Improve Agricultural and Rural Statistics which provides a framework for national and international statistical systems to produce and to apply the basic data and information needed to guide policy on rural development and sustainable agricultural production. Lesson 2 introduces definition of small-scale fisheries and aquaculture. Lesson 3 depicts indicators of the SDG Goal 14 based on statistics in small-scale fisheries and aquaculture. Lesson 4 outlines international statistical classifications. Lesson 5 highlights on data collection and sampling design. The last lesson focuses on information technology including remote sensing, global positioning system and geographical information system., 
					Target audience
					Target participants are officials who provide or use fisheries and aquaculture statistics.
				, Target participants are officials who provide or use fisheries and aquaculture statistics., 
					Learning objectives
					By the end of the course, participants will be expected to:
know about securing sustainable small-scale fisheries guidelines, SDGs and other relevant international instruments
sensitize the need for collection of reliable and accurate small-scale fisheries and aquaculture statistics
understand the indicators of small-scale fisheries and aquaculture
build the skills on the use of data to support evidence-based policy
, By the end of the course, participants will be expected to:","
					Target audience
					Target participants are officials who provide or use fisheries and aquaculture statistics.
				"
"49",49,"International Business Alliance","United Nations Industrial Development Organization",",,,,,,SDG9,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/international-business-alliance/","Business alliance, Joint ventures, Business negotiations, SMEs, Multinationals","The globalization of markets is characterized by an aggressive competitive environment and a development scenario of continuing and accelerated technological innovation and change that can generate disruptions anytime, anywhere. The main players in this context are, on the one hand, the multinational enterprises (MNEs) and their evolving internationalization strategies; and on the other hand, governments and enterprises of developing countries, who aim at technological progress, economic growth and social development by taking advantage of foreign direct investment and other forms of association to MNEs operations such as sub-contracting, original equipment manufacturing (OEM), participation in global supply chains and value chains (GSCs, GVCs), global manufacturing networks (GMNs), joint ventures (JVs) and other kinds of business alliances. This training package will bring an understanding of the strategies and behaviour of multinational companies, of the opportunities available for growth and internationalization in that context, and of how to seize and take advantage of such opportunities to move higher in the supply and value chains.
											
							Download syllabus
							
									, The globalization of markets is characterized by an aggressive competitive environment and a development scenario of continuing and accelerated technological innovation and change that can generate disruptions anytime, anywhere. The main players in this context are, on the one hand, the multinational enterprises (MNEs) and their evolving internationalization strategies; and on the other hand, governments and enterprises of developing countries, who aim at technological progress, economic growth and social development by taking advantage of foreign direct investment and other forms of association to MNEs operations such as sub-contracting, original equipment manufacturing (OEM), participation in global supply chains and value chains (GSCs, GVCs), global manufacturing networks (GMNs), joint ventures (JVs) and other kinds of business alliances. This training package will bring an understanding of the strategies and behaviour of multinational companies, of the opportunities available for growth and internationalization in that context, and of how to seize and take advantage of such opportunities to move higher in the supply and value chains., 
					Target audience
					SMEs, investment promotion agencies and institutions and policy makers in developing countries
				, SMEs, investment promotion agencies and institutions and policy makers in developing countries, 
					Learning objectives
					At the end of this course, participants will:
Understand the global expansion and entry strategies of multinational enterprises
Be able to characterize the different types of business alliances and their features
Understand the structure, the clauses and the articulation of a joint venture agreement
Gain knowledge on negotiation strategies, and techniques, and related cross-cultural aspects
, At the end of this course, participants will:","
					Target audience
					SMEs, investment promotion agencies and institutions and policy makers in developing countries
				"
"50",50,"Labour productivity and income of small-scale food producers","Food and Agriculture Organization of the United Nations",",,,,,,SDG2,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/sdg-indicators-2-3-1-and-2-3-2-labour-productivity-and-income-of-small-scale-food-producers-2/","2030 Agenda, income, production, methodology, data collection","This course has been developed to support countries in computing and monitoring Indicators 2.3.1 and 2.3.2 of the 2030 Sustainable Development Goals (Labour productivity and income of small-scale food producers), and to facilitate the understanding of the main concepts underpinning the methodology.
The course consists of five lessons, ranging from approximately 15 to 30 minutes duration each:
Lesson 1 – Introduction to the SDG Indicators 2.3.1 and 2.3.2
Lesson 2 – Identifying small-scale food producers
Lesson 3 – Computing Indicators 2.3.1 and 2.3.2
Lesson 4 – Collecting data
Lesson 5 – Applying all content
Watch this video to find out more: https://youtu.be/Jaw9Ke7RJOY
											
							Download syllabus
							
									, This course has been developed to support countries in computing and monitoring Indicators 2.3.1 and 2.3.2 of the 2030 Sustainable Development Goals (Labour productivity and income of small-scale food producers), and to facilitate the understanding of the main concepts underpinning the methodology., The course consists of five lessons, ranging from approximately 15 to 30 minutes duration each:, Watch this video to find out more: https://youtu.be/Jaw9Ke7RJOY, 
					Target audience
					This course is primarily intended for professionals who play a role in the data collection, analysis and reporting on SDG Indicators 2.3.1 and 2.3.2. This includes:
Policy-makers or advisors
Statisticians
Representatives of NGOs, regional organizations, academia/researchers and the donor community.
, This course is primarily intended for professionals who play a role in the data collection, analysis and reporting on SDG Indicators 2.3.1 and 2.3.2. This includes:, 
					Learning objectives
					You will learn about:
Nature and importance of the role of small-scale food producers;
Rationale of Indicators 2.3.1 and 2.3.2 within the 2030 Agenda;
Main tools to measure the Indicators 2.3.1 and 2.3.2;
Methodology to perform data collection, identification of the national target population and computation of the indicators;
The types of data required for the computation of Indicators 2.3.1 and 2.3.2 and critical data gaps to be addressed.
, You will learn about:","
					Target audience
					This course is primarily intended for professionals who play a role in the data collection, analysis and reporting on SDG Indicators 2.3.1 and 2.3.2. This includes:
Policy-makers or advisors
Statisticians
Representatives of NGOs, regional organizations, academia/researchers and the donor community.
"
"51",51,"E-Learning Series on Public-Private Partnerships","United Nations Economic and Social Commission for Asia and the Pacific",",,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/e-learning-series-on-public-private-partnerships/","infrastructure, investment, partnerships, private sector, Public-Private Partnerships","PPP online training materials have been developed over the years by the ESCAP Secretariat. These materials are for self-study and are tailored to provide a basic minimum knowledge of various issues that policy-makers dealing with PPPs have to be aware of. While the courses are general in nature, most of the examples are from the infrastructure sectors, in particular the transport sector. The course is divided into several modules addressing the major issues related to PPPs. The online course also includes the possibility of obtaining a PPP certificate. This course is also available in Khmer  and Burmese.
											
							Download syllabus
							
									, PPP online training materials have been developed over the years by the ESCAP Secretariat. These materials are for self-study and are tailored to provide a basic minimum knowledge of various issues that policy-makers dealing with PPPs have to be aware of. While the courses are general in nature, most of the examples are from the infrastructure sectors, in particular the transport sector. The course is divided into several modules addressing the major issues related to PPPs. The online course also includes the possibility of obtaining a PPP certificate. This course is also available in Khmer  and Burmese., 
					Target audience
					Policy Makers.
				, Policy Makers., 
					Learning objectives
					Providing a basic minimum knowledge of various issues that policy-makers dealing with PPPs have to be aware of.
				, Providing a basic minimum knowledge of various issues that policy-makers dealing with PPPs have to be aware of.","
					Target audience
					Policy Makers.
				"
"52",52,"SDG Indicators 2.5.1 and 2.5.2 - Plant and Animal Genetic Resources","Food and Agriculture Organization of the United Nations",",,,,,,SDG2,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/sdg-indicators-2-5-1-and-2-5-2-plant-and-animal-genetic-resources-2/","2030 Agenda, SDG indicators, SDG Indicators 2.5.1 and 2.5.2, genetic resources, data collection","This course has been developed to support countries in the analysis and reporting for SDG Indicators 2.5.1 and 2.5.2. These indicators measure the achievement of SDG target 2.5, which focuses on maintaining genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species. The course illustrates the fundamental concepts upon which the methodology is based.
The course consists of 7 lessons, ranging from approximately 25 to 75 minutes duration each:
Lesson 1 Introduction
Lesson 2 Plant genetic diversity for food and agriculture
Lesson 3 Monitoring plant genetic resources in genebanks
Lesson 4 Interpreting and communicating results on plant genetic resources
Lesson 5 Animal genetic diversity for food and agriculture
Lesson 6 Gathering information and data on animal genetic resources
Lesson 7 Interpreting and communicating results on animal genetic resources
Watch this video to find out more: https://youtu.be/bxeXLp-FWx8
											
							Download syllabus
							
									, This course has been developed to support countries in the analysis and reporting for SDG Indicators 2.5.1 and 2.5.2. These indicators measure the achievement of SDG target 2.5, which focuses on maintaining genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species. The course illustrates the fundamental concepts upon which the methodology is based., The course consists of 7 lessons, ranging from approximately 25 to 75 minutes duration each:, Watch this video to find out more: https://youtu.be/bxeXLp-FWx8, 
					Target audience
					This course is primarily intended for those who play a role in data collection, analysis and reporting for the SDG Indicators 2.5.1 and 2.5.2 (Plant and Animal Genetic Resources), as well as for people with an interest in the process, including:
Policy makers or advisors
National coordinators/ focal points for animal or plant genetic resources
Data analysts
, This course is primarily intended for those who play a role in data collection, analysis and reporting for the SDG Indicators 2.5.1 and 2.5.2 (Plant and Animal Genetic Resources), as well as for people with an interest in the process, including:, 
					Learning objectives
					You will learn about:
Understanding the concept of genetic resources for food and agriculture, how to conserve these resources and the main threats to plant and animal diversity
Discusses how to monitor, conserve and report on plant genetic resources, as well as how to interpret SDG Indicator 2.5.1 from WIEWS
Discusses how to monitor, conserve and report on animal genetic resources, as well as how to interpret SDG Indicators 2.5.1 and 2.5.2 from DAD-IS
, You will learn about:","
					Target audience
					This course is primarily intended for those who play a role in data collection, analysis and reporting for the SDG Indicators 2.5.1 and 2.5.2 (Plant and Animal Genetic Resources), as well as for people with an interest in the process, including:
Policy makers or advisors
National coordinators/ focal points for animal or plant genetic resources
Data analysts
"
"53",53,"Labor Market Information: Business Establishment Surveys","U.S. Bureau of Labor Statistics",",,,,,,SDG8,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/labor-market-information-business-establishment-surveys/","labor markets, business establishment surveys, hours, wages, earnings","Labor market information is essential for tracking and analyzing the economy of a country. National and local governments need labor market information to reduce unemployment, generate employment, and plan training programs to meet the needs of industry. It is also used in determining future workforce training needs, identifying the availability of labor, ascertaining prevailing wage rates, and exploring potential markets. Labor market information is valuable to local and regional planning agencies as well as industries and businesses looking for site locations, seeking ways of attracting and retaining skilled workers, or assessing the scope and size of potential markets. Labor unions find this information useful for determining comparable wage and compensation levels, local working conditions, and training needs. Investors, educators, workers, and job seekers also benefit from timely and reliable labor market information to help them make sound decisions.
This seminar will show participants how to develop labor market information using data collected from business establishments. A business establishment survey provides detailed data on employment, hours, and earnings of workers on payrolls. Establishment surveys can provide detailed data by industry and occupation, which are vital to understanding the dispersion of jobs in a country’s economy.
Participants are encouraged to bring with them the following materials for use in discussions and workshops: 1) methodological documentation on how data related to the seminar topic are collected in their home countries; 2) questionnaires used in their countries for obtaining those data; and 3) sample publications of those data.
The seminar includes discussions on the following topics:
Introduction to labor markets
What they are and how they are defined
Reasons for conducting business establishment surveys
Sources of information
Understanding components of labor market information
Labor force supply and demand
Business employment dynamics
Employment by industry and occupation
Hours of work
Employee wages, earnings, and benefits
Designing and conducting business establishment surveys
Concepts and definitions
Survey design
Questionnaire design
Sampling
Data collection
Weighting
Data validation
Estimation procedures
Data processing and tabulation
Data analysis and dissemination
Analysis by sector, industry, and occupation
Graphical analysis and presentation of data
 
Business establishment survey data, along with data from other sources, are used to report on the following SDG indicators:
Indicator 8.2.1: Annual growth rate of real GDP per employed person
Indicator 9.2.2: Manufacturing employment as a proportion of total employment
, Labor market information is essential for tracking and analyzing the economy of a country. National and local governments need labor market information to reduce unemployment, generate employment, and plan training programs to meet the needs of industry. It is also used in determining future workforce training needs, identifying the availability of labor, ascertaining prevailing wage rates, and exploring potential markets. Labor market information is valuable to local and regional planning agencies as well as industries and businesses looking for site locations, seeking ways of attracting and retaining skilled workers, or assessing the scope and size of potential markets. Labor unions find this information useful for determining comparable wage and compensation levels, local working conditions, and training needs. Investors, educators, workers, and job seekers also benefit from timely and reliable labor market information to help them make sound decisions., This seminar will show participants how to develop labor market information using data collected from business establishments. A business establishment survey provides detailed data on employment, hours, and earnings of workers on payrolls. Establishment surveys can provide detailed data by industry and occupation, which are vital to understanding the dispersion of jobs in a country’s economy., Participants are encouraged to bring with them the following materials for use in discussions and workshops: 1) methodological documentation on how data related to the seminar topic are collected in their home countries; 2) questionnaires used in their countries for obtaining those data; and 3) sample publications of those data., The seminar includes discussions on the following topics:, Introduction to labor markets, Understanding components of labor market information, Designing and conducting business establishment surveys, Data analysis and dissemination,  , Business establishment survey data, along with data from other sources, are used to report on the following SDG indicators:, 
					Target audience
					This seminar is designed for economists, statisticians, researchers, analysts, and other professionals working with labor market information in national statistical programs. Participants should have an elementary knowledge of statistics and some experience in analyzing labor or economic data.
				, This seminar is designed for economists, statisticians, researchers, analysts, and other professionals working with labor market information in national statistical programs. Participants should have an elementary knowledge of statistics and some experience in analyzing labor or economic data., 
					Learning objectives
					To develop participants’ capability to produce and analyze labor market information collected from business establishments by:
Defining labor market information
Discussing techniques for using data from administrative sources
Presenting methodologies for designing and conducting surveys of business establishments
Analyzing data on the characteristics of the labor force
Combining data from a variety of sources to understand the labor market as a whole
 
For additional information about this and other BLS international training programs, please visit the BLS Division of International Technical Cooperation (ITC) website or contact ITC staff at ITCinfo@bls.gov.
				, To develop participants’ capability to produce and analyze labor market information collected from business establishments by:,  , For additional information about this and other BLS international training programs, please visit the BLS Division of International Technical Cooperation (ITC) website or contact ITC staff at ITCinfo@bls.gov.","
					Target audience
					This seminar is designed for economists, statisticians, researchers, analysts, and other professionals working with labor market information in national statistical programs. Participants should have an elementary knowledge of statistics and some experience in analyzing labor or economic data.
				"
"54",54,"E-Training on the Compilation and Application of Supply-Use Tables (SUTs) in Afr","United Nations Economic Commission for Africa",",,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/e-training-on-the-compilation-and-application-of-supply-use-tables-suts-in-africa/","macroeconomics, economic development","Content of the course:
Session 0 : Opening Session 
Session 1 : Overview of 2008 SNA
Session 2 : Supply and Use Tables
Session 3 : Steps for Compilation of SUTs
Session 4 : Balancing SUTs, Valuation Matrices and SUTs at Constant Prices
Session 5 : Classifications and Data Sources for SUTs 
Session 6 : Accounts of Non-Financial Corporations to National Accounts
Session 7 : Accounts of Financial Corporations to National Accounts
Session 8: Using Government Accounts and Balance of Payments for National Accounts
Session 9: Informal Sector
Session 10: GDP Exhaustiveness
Session 11: Introduction on Trade in Value Added (TiVA) and Global Value Chain (GVC) Trade 
Session 12: From SUTs to Inter-Country Input-Output Tables (ICIO)
, Content of the course:, 
					Target audience
					The e-training module is open to any professionals from national statistical offices (NSOs) and related line ministries who are interested in the compilation of SUTs
				, The e-training module is open to any professionals from national statistical offices (NSOs) and related line ministries who are interested in the compilation of SUTs, 
					Learning objectives
					a good understanding of the related concepts, definitions, classifications, accounting framework, and data sources that are important for the compilation of SUTs;
a well-acquired knowledge and skills of related techniques in the compilation of SUTs with informal sector, global trade and use of administrative data; and
a platform to exchange and share experience and practice in compiling SUTs and national accounts.
","
					Target audience
					The e-training module is open to any professionals from national statistical offices (NSOs) and related line ministries who are interested in the compilation of SUTs
				"
