"","id","category"
"72","2","Erasmus Green & Bright Green[5][6].mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}   "
"73","2","Affiliations"
"74","2","AMBA EQUIS AACSB"
"75","2","Website"
"76","2","www.eur.nl"
"77","2","ARWU World[23]"
"78","2","101-150 (2021)"
"79","2","CWUR World[10]"
"80","2","96 (2021-22)"
"81","2","CWTS World[9]"
"82","2","82 (2021)"
"83","2","QS World[24]"
"84","2","179 (2022)"
"85","2","THE World[7]"
"86","2","72 (2022)"
"87","2","USNWR Global[8]"
"88","2","=62 (2022)"
"89","2","Business Insider MBA[25]"
"90","2","29 (2020)"
"91","2","Financial Times MBA[26]"
"92","2","66 (2020)"
"93","2","QS Business[27]"
"94","2","16 (2021)"
"95","2","QS Economics[28]"
"96","2","43 (2021)"
"97","2","QS MBA[29]"
"98","2","30 (2022)"
"99","2","THE Business and Economics[30]"
"100","2","26 (2022)"
"101","2","ARWU Clinical medicine and pharmacy[31]"
"102","2","34 (2021)"
"103","2","ARWU Life sciences[32]"
"104","2","51-75 (2021)"
"105","2","QS Life Sciences & Medicine[33]"
"106","2","49 (2021)"
"107","2","THE Clinical and Health[34]"
"108","2","48 (2022)"
"109","3","Former name"
"110","3","Royal Caroline AcademyLatin: Regia Academia Carolina"
"111","3","Motto"
"112","3","Ad utrumque"
"113","3","Motto in English"
"114","3","Prepared for both[Note a]"
"115","3","Type"
"116","3","Public research university"
"117","3","Established"
"118","3","1666; 356 years ago (1666)[1]"
"119","3","Budget"
"120","3","SEK 9 billion [2]"
"121","3","Vice Chancellor"
"122","3","Erik Renström [3]"
"123","3","Academic staff"
"124","3","4,700 (2020) (academic staff, researchers and employed research students) [4]"
"125","3","Administrative staff"
"126","3","2,840 (2018) [4]"
"127","3","Students"
"128","3","28,300 full-time equivalents (2020)[2]"
"129","3","Location"
"130","3","Lund, Scania, Sweden"
"131","3","Campus"
"132","3","Urban"
"133","3","Colors"
"134","3","Dark blue and bronze.mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}   "
"135","3","Nickname"
"136","3","LU"
"137","3","Affiliations"
"138","3","Universitas 21LERUEUAASAIHL"
"139","3","Website"
"140","3","https://www.lu.se
https://www.lunduniversity.lu.se"
"141","3","ARWU World[39]"
"142","3","151-200 (2020)"
"143","3","QS World[40]"
"144","3","87 (2022)"
"145","3","THE World[41]"
"146","3","116 (2022)"
"147","3","USNWR Global[42]"
"148","3","95 (2022)"
"149","4","Former names"
"150","4","University of North Carolina (1789–1963)"
"151","4","Motto"
"152","4","Lux libertas[1] (Latin)"
"153","4","Motto in English"
"154","4","""Light and liberty""[1]"
"155","4","Type"
"156","4","Public research university"
"157","4","Established"
"158","4","December 11, 1789; 232 years ago (1789-12-11)[2]"
"159","4","Founder"
"160","4","William Richardson Davie"
"161","4","Parent institution"
"162","4","University of North Carolina system"
"163","4","Accreditation"
"164","4","SACS"
"165","4","Academic affiliations"
"166","4","URAAAUSURAORAU"
"167","4","Endowment"
"168","4","$3.71 billion (2020)[3]"
"169","4","Chancellor"
"170","4","Kevin Guskiewicz[4]"
"171","4","Academic staff"
"172","4","3,696 (Fall 2015)[5]"
"173","4","Administrative staff"
"174","4","8,287 (Fall 2015)[5]"
"175","4","Students"
"176","4","30,101 (Fall 2020)[6]"
"177","4","Undergraduates"
"178","4","19,117 (Fall 2020)[6]"
"179","4","Postgraduates"
"180","4","10,984 (Fall 2020)[6]"
"181","4","Location"
"182","4","Chapel Hill, North Carolina, United States"
"183","4","Campus"
"184","4","Small City,[7] 729 acres (3.0 km2)[8]"
"185","4","Newspaper"
"186","4","The Daily Tar Heel"
"187","4","Colors"
"188","4",".mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}  Carolina Blue  White[9]"
"189","4","Nickname"
"190","4","Tar Heels[10]Lady Tar Heels"
"191","4","Sporting affiliations"
"192","4","NCAA Division I FBS – ACC"
"193","4","Mascot"
"194","4","Rameses"
"195","4","Website"
"196","4","www.unc.edu"
"197","5","Former names"
"198","5","South African College"
"199","5","Motto"
"200","5","Spes Bona"
"201","5","Motto in English"
"202","5","Good Hope"
"203","5","Type"
"204","5","Public"
"205","5","Established"
"206","5","1 October 1829; 192 years ago (1829-10-01)"
"207","5","Academic affiliations"
"208","5","
AAU
ACU
CHEC
HESA
IARU
IAU
WUN"
"209","5","Endowment"
"210","5","ZAR 11.8 billion [1](US$ 901 million)[2]"
"211","5","Chancellor"
"212","5","Precious Moloi-Motsepe"
"213","5","Vice-Chancellor"
"214","5","Mamokgethi Phakeng"
"215","5","Academic staff"
"216","5","1,208[3]"
"217","5","Administrative staff"
"218","5","3,179"
"219","5","Students"
"220","5","28,703[4]"
"221","5","Undergraduates"
"222","5","17,217[4]"
"223","5","Postgraduates"
"224","5","10,511[4]"
"225","5","Location"
"226","5","Cape Town, Western Cape, South Africa.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}33°57'27""S 18°27'38""E<U+FEFF> / <U+FEFF>33.95750°S 18.46056°E<U+FEFF> / -33.95750; 18.46056Coordinates: 33°57'27""S 18°27'38""E<U+FEFF> / <U+FEFF>33.95750°S 18.46056°E<U+FEFF> / -33.95750; 18.46056"
"227","5","Campus"
"228","5","4 suburban and 2 urban campuses"
"229","5","Colours"
"230","5",".mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}        Light blue, dark blue, black, white"
"231","5","Nickname"
"232","5","Ikeys"
"233","5","Mascot"
"234","5","Tiger"
"235","5","Website"
"236","5","www.uct.ac.za"
"237","5","ARWU World[67]"
"238","5","201-300 (2020)"
"239","5","CWUR World[68]"
"240","5","268 (2020-2021)"
"241","5","CWTS World[69]"
"242","5","399 (2020)"
"243","5","QS World[70]"
"244","5","220 (2021)"
"245","5","THE World[71]"
"246","5","=155 (2021)"
"247","5","USNWR Global[72]"
"248","5","=103 (2021)"
"249","5","QS BRICS[73]"
"250","5","22 (2019)"
"251","5","THE Africa[74]"
"252","5","1 (2021)"
"253","5","THE BRICS[75]"
"254","5","10 (2020)"
"255","5","USNWR Africa[76]"
"256","5","1 (2021)"
"257","6","Motto"
"258","6","Post tenebras lux (Latin)"
"259","6","Motto in English"
"260","6","Light after darkness"
"261","6","Type"
"262","6","Public university"
"263","6","Established"
"264","6","1559; 463 years ago (1559)"
"265","6","Rector"
"266","6","Yves Flückiger"
"267","6","Administrative staff"
"268","6","approx. 6,500"
"269","6","Students"
"270","6","17,271"
"271","6","Location"
"272","6","Geneva, Switzerland"
"273","6","Campus"
"274","6","Urban"
"275","6","Language"
"276","6","FrenchEnglish"
"277","6","Affiliations"
"278","6","Coimbra GroupLERUEUAIFPU"
"279","6","Website"
"280","6","www.unige.ch"
"281","6","ARWU World[37]"
"282","6","60 (2022)"
"283","6","CWUR World[38]"
"284","6","96 (2020-21)"
"285","6","QS World[39]"
"286","6","106 (2021)"
"287","6","THE World[40]"
"288","6","=149 (2021)"
"289","6","USNWR Global[41]"
"290","6","=96 (2021)"
"291","7","Other name"
"292","7","Manchester University"
"293","7","Motto"
"294","7","Latin: Cognitio, sapientia, humanitas"
"295","7","Motto in English"
"296","7","Knowledge, Wisdom, Humanity"
"297","7","Established"
"298","7","2004 – University of Manchester Predecessor institutions: 1956 – UMIST (as university college; university 1994) 1904 – Victoria University of Manchester 1880 – Victoria University 1851 – Owens College 1824 – Manchester Mechanics' Institute"
"299","7","Endowment"
"300","7","£242.2 million (2021)[1]"
"301","7","Budget"
"302","7","£1.10 billion (2020–21)[1]"
"303","7","Chancellor"
"304","7","Lemn Sissay[2]"
"305","7","President and Vice-Chancellor"
"306","7","Dame Nancy Rothwell[3]"
"307","7","Academic staff"
"308","7","5,150 (2020) [4]"
"309","7","Total staff"
"310","7","12,920 (2021) [5]"
"311","7","Students"
"312","7","40,485 (2021) [6]"
"313","7","Undergraduates"
"314","7","26,630 (2019/20)[7]"
"315","7","Postgraduates"
"316","7","13,855 (2019/20)[7]"
"317","7","Location"
"318","7","Manchester, England, United Kingdom"
"319","7","Campus"
"320","7","Urban and suburban"
"321","7","Scarf"
"322","7"," 
  
    
 
 
 
 
 
 
    
  
 "
"323","7","Colours"
"324","7",".mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}  Manchester Purple  Manchester Yellow
[8][9][10]"
"325","7","Affiliations"
"326","7","Universities Research AssociationSutton 30Russell GroupEUAN8 GroupNWUAACUUniversities UK"
"327","7","Website"
"328","7","www.manchester.ac.uk"
"329","7","ARWU World[74]"
"330","7","35 (2021)"
"331","7","QS World[75]"
"332","7","27 (2022)"
"333","7","Reuters World[76]"
"334","7","8 (2019)"
"335","7","Financial Times MBA[77]"
"336","7","30 (2021)"
"337","7","ARWU National[74]"
"338","7","5 (2021)"
"339","7","Complete National[78]"
"340","7","13 (2022)"
"341","7","CWTS National[79]"
"342","7","5 (2021)"
"343","7","QS National[80]"
"344","7","6 (2022)"
"345","7","THE National[81]"
"346","7","8 (2022)"
"347","7","TEF England[82]"
"348","7","Silver"
"349","7","Financial Times MBA[77]"
"350","7","4 (2021)"
"351","8","Established"
"352","8","April 6, 1869; 152 years ago (1869-04-06)[1]"
"353","8","Location"
"354","8","200 Central Park West, New York, NY 10024United States"
"355","8","Type"
"356","8","Natural history"
"357","8","Visitors"
"358","8","5 million (2018)[2]"
"359","8","Director"
"360","8","Lisa Gugenheim"
"361","8","President"
"362","8","Ellen V. Futter"
"363","8","Public transit access"
"364","8","New York City Bus:M7, M10, M11, M79New York City Subway:<U+200B> trains at 81st Street–Museum of Natural History train at 79th Street"
"365","8","Website"
"366","8","AMNH.org
"
"367","8","Built"
"368","8","1874; 148 years ago (1874)"
"369","8","NRHP reference No."
"370","8","76001235[3]"
"371","8","Added to NRHP"
"372","8","June 24, 1976"
"373","8","Designated NYCL"
"374","8","August 24, 1967"
"375","9","Founded"
"376","9","1953; 69 years ago (1953)"
"377","9","Founder"
"378","9","Howard Hughes"
"379","9","Focus"
"380","9","Biological and Medical research and Science Education"
"381","9","Location"
"382","9","Chevy Chase, Maryland, U.S."
"383","9","Coordinates"
"384","9",".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}38°59'55""N 77°4'47""W<U+FEFF> / <U+FEFF>38.99861°N 77.07972°W<U+FEFF> / 38.99861; -77.07972Coordinates: 38°59'55""N 77°4'47""W<U+FEFF> / <U+FEFF>38.99861°N 77.07972°W<U+FEFF> / 38.99861; -77.07972"
"385","9","Method"
"386","9","Laboratories, Funding"
"387","9","Key people"
"388","9","Erin O’Shea (President)"
"389","9","Revenue .mw-parser-output .nobold{font-weight:normal}(2017) "
"390","9","US$2.38 billion[1]"
"391","9","Expenses (2017)"
"392","9","US$936.5 million[1]"
"393","9","Endowment"
"394","9","US$22.6 billion[1]"
"395","9","Employees  "
"396","9","2,200 (2020)[2]"
"397","9","Website"
"398","9","hhmi.org"
"399","10","Motto"
"400","10","Quaecumque vera  (Latin)"
"401","10","Motto in English"
"402","10","Whatsoever things are true"
"403","10","Type"
"404","10","Public"
"405","10","Established"
"406","10","1908; 114 years ago (1908)"
"407","10","Endowment"
"408","10","CA$1.3 billion[1]"
"409","10","Chancellor"
"410","10","Douglas R. Stollery[2]"
"411","10","President"
"412","10","Bill Flanagan"
"413","10","Provost"
"414","10","Steven Dew"
"415","10","Academic staff"
"416","10","4,004[3]"
"417","10","Administrative staff"
"418","10","5,021[3]"
"419","10","Undergraduates"
"420","10","32,424[4]"
"421","10","Postgraduates"
"422","10","8,225[4]"
"423","10","Location"
"424","10","Edmonton, Alberta, Canada"
"425","10","Campus"
"426","10","Urban"
"427","10","Colours"
"428","10",".mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}     Green & Gold[5]"
"429","10","Nickname"
"430","10","The Golden Bears (men)   The Pandas (women)"
"431","10","Sporting affiliations"
"432","10","U Sports – Canada West"
"433","10","Mascot"
"434","10","GUBA (men)   Patches (women)"
"435","10","Website"
"436","10","www.ualberta.ca"
"437","10","ARWU World[103]"
"438","10","101–150"
"439","10","QS World[104]"
"440","10","126"
"441","10","Times World[105]"
"442","10","125"
"443","10","Times Employability[106]"
"444","10","131"
"445","10","U.S News & World Report Global[107]"
"446","10","135"
"447","10","ARWU National[103]"
"448","10","5–6"
"449","10","QS National[104]"
"450","10","5"
"451","10","Times National[105]"
"452","10","6"
"453","10","U.S News & World Report National[107]"
"454","10","5"
"455","10","Maclean's Medical/Doctoral[108]"
"456","10","6"
"457","11","Motto"
"458","11","<U+039B>aµ<U+03C8><U+03AC>t<U+03C9> t<U+1F78> f<U+1FF6><U+03C2> <U+1F51>µ<U+1FF6><U+03BD> (Greek)"
"459","11","Motto in English"
"460","11","""Let your light shine""[1]"
"461","11","Type"
"462","11","Public research university"
"463","11","Established"
"464","11","1876; 146 years ago (1876)"
"465","11","Parent institution"
"466","11","University of Colorado"
"467","11","Accreditation"
"468","11","HLC"
"469","11","Academic affiliations"
"470","11","AAUCDIOUArcticURASpace-grant"
"471","11","Endowment"
"472","11","$1.53 billion (system-wide) (2020)[2]"
"473","11","Chancellor"
"474","11","Phil DiStefano"
"475","11","President"
"476","11","Todd Saliman"
"477","11","Provost"
"478","11","Russell Moore"
"479","11","Academic staff"
"480","11","3,547[3]"
"481","11","Students"
"482","11","35,528 (fall 2019)[4]"
"483","11","Undergraduates"
"484","11","29,624 (fall 2019)[4]"
"485","11","Postgraduates"
"486","11","5,904 (fall 2019)[4]"
"487","11","Location"
"488","11","Boulder, Colorado, United StatesCoordinates: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}40°0'24""N 105°16'2""W<U+FEFF> / <U+FEFF>40.00667°N 105.26722°W<U+FEFF> / 40.00667; -105.26722"
"489","11","Campus"
"490","11","Midsize City,[5] 786 acres (3.18 km2)"
"491","11","Newspaper"
"492","11","CU Independent"
"493","11","Colors"
"494","11",".mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}  CU Gold  Black  CU Dark Grey  CU Light Grey[6][7]"
"495","11","Nickname"
"496","11","Buffaloes"
"497","11","Sporting affiliations"
"498","11","NCAA Division I FBS – Pac-12"
"499","11","Mascot"
"500","11","Ralphie (bison)Chip (costume)"
"501","11","Website"
"502","11","www.colorado.edu"
"503","12","Established"
"504","12","April 6, 1869; 152 years ago (1869-04-06)[1]"
"505","12","Location"
"506","12","200 Central Park West, New York, NY 10024United States"
"507","12","Type"
"508","12","Natural history"
"509","12","Visitors"
"510","12","5 million (2018)[2]"
"511","12","Director"
"512","12","Lisa Gugenheim"
"513","12","President"
"514","12","Ellen V. Futter"
"515","12","Public transit access"
"516","12","New York City Bus:M7, M10, M11, M79New York City Subway:<U+200B> trains at 81st Street–Museum of Natural History train at 79th Street"
"517","12","Website"
"518","12","AMNH.org
"
"519","12","Built"
"520","12","1874; 148 years ago (1874)"
"521","12","NRHP reference No."
"522","12","76001235[3]"
"523","12","Added to NRHP"
"524","12","June 24, 1976"
"525","12","Designated NYCL"
"526","12","August 24, 1967"
"527","13","Former names"
"528","13","South African College"
"529","13","Motto"
"530","13","Spes Bona"
"531","13","Motto in English"
"532","13","Good Hope"
"533","13","Type"
"534","13","Public"
"535","13","Established"
"536","13","1 October 1829; 192 years ago (1829-10-01)"
"537","13","Academic affiliations"
"538","13","
AAU
ACU
CHEC
HESA
IARU
IAU
WUN"
"539","13","Endowment"
"540","13","ZAR 11.8 billion [1](US$ 901 million)[2]"
"541","13","Chancellor"
"542","13","Precious Moloi-Motsepe"
"543","13","Vice-Chancellor"
"544","13","Mamokgethi Phakeng"
"545","13","Academic staff"
"546","13","1,208[3]"
"547","13","Administrative staff"
"548","13","3,179"
"549","13","Students"
"550","13","28,703[4]"
"551","13","Undergraduates"
"552","13","17,217[4]"
"553","13","Postgraduates"
"554","13","10,511[4]"
"555","13","Location"
"556","13","Cape Town, Western Cape, South Africa.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}33°57'27""S 18°27'38""E<U+FEFF> / <U+FEFF>33.95750°S 18.46056°E<U+FEFF> / -33.95750; 18.46056Coordinates: 33°57'27""S 18°27'38""E<U+FEFF> / <U+FEFF>33.95750°S 18.46056°E<U+FEFF> / -33.95750; 18.46056"
"557","13","Campus"
"558","13","4 suburban and 2 urban campuses"
"559","13","Colours"
"560","13",".mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}        Light blue, dark blue, black, white"
"561","13","Nickname"
"562","13","Ikeys"
"563","13","Mascot"
"564","13","Tiger"
"565","13","Website"
"566","13","www.uct.ac.za"
"567","13","ARWU World[67]"
"568","13","201-300 (2020)"
"569","13","CWUR World[68]"
"570","13","268 (2020-2021)"
"571","13","CWTS World[69]"
"572","13","399 (2020)"
"573","13","QS World[70]"
"574","13","220 (2021)"
"575","13","THE World[71]"
"576","13","=155 (2021)"
"577","13","USNWR Global[72]"
"578","13","=103 (2021)"
"579","13","QS BRICS[73]"
"580","13","22 (2019)"
"581","13","THE Africa[74]"
"582","13","1 (2021)"
"583","13","THE BRICS[75]"
"584","13","10 (2020)"
"585","13","USNWR Africa[76]"
"586","13","1 (2021)"
"587","14","Motto"
"588","14","Crescat scientia; vita excolatur (Latin)"
"589","14","Motto in English"
"590","14","""Let knowledge grow from more to more; and so be human life enriched.""[1]"
"591","14","Type"
"592","14","Private research university"
"593","14","Established"
"594","14","1890 [1856] (1890 [1856])[1][2]"
"595","14","Accreditation"
"596","14","HLC"
"597","14","Academic affiliations"
"598","14","AAUNAICUURASpace-grant"
"599","14","Endowment"
"600","14","$11.6 billion (2021)[3]"
"601","14","President"
"602","14","A. Paul Alivisatos"
"603","14","Provost"
"604","14","Ka Yee Christina Lee"
"605","14","Academic staff"
"606","14","2,859[4]"
"607","14","Administrative staff"
"608","14","15,949 (including employees of The University of Chicago Medical Center)[4]"
"609","14","Students"
"610","14","18,452"
"611","14","Undergraduates"
"612","14","7,559[1]"
"613","14","Postgraduates"
"614","14","10,893[1]"
"615","14","Location"
"616","14","Chicago, Illinois, United States.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}41°47'23""N 87°35'59""W<U+FEFF> / <U+FEFF>41.78972°N 87.59972°W<U+FEFF> / 41.78972; -87.59972Coordinates: 41°47'23""N 87°35'59""W<U+FEFF> / <U+FEFF>41.78972°N 87.59972°W<U+FEFF> / 41.78972; -87.59972"
"617","14","Campus"
"618","14","Large City,[5] 217 acres (87.8 ha) (main campus)[1]Warren Woods Ecological Field Station, Warren Woods State Park, 42 acres (17.0 ha)[6]"
"619","14","Newspaper"
"620","14","The Chicago Maroon"
"621","14","Colors"
"622","14",".mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}  Maroon[7]"
"623","14","Nickname"
"624","14","Maroons"
"625","14","Sporting affiliations"
"626","14","NCAA Division III – UAA"
"627","14","Mascot"
"628","14","Phil the Phoenix"
"629","14","Website"
"630","14","www.uchicago.edu"
"631","15","Motto"
"632","15","Sursum (Latin)"
"633","15","Motto in English"
"634","15","""Upwards""[1]""Bear Down, Arizona"" (second motto)[2]"
"635","15","Type"
"636","15","Public land-grant research university"
"637","15","Established"
"638","15","March 12, 1885; 137 years ago (March 12, 1885)"
"639","15","Parent institution"
"640","15","Arizona Board of Regents"
"641","15","Accreditation"
"642","15","HLC"
"643","15","Academic affiliations"
"644","15","AAUURASpace-grant"
"645","15","Endowment"
"646","15","$1.2 billion (2021)[3]"
"647","15","President"
"648","15","Robert C. Robbins[4]"
"649","15","Academic staff"
"650","15","3,534 (2017)[5]"
"651","15","Students"
"652","15","49,471(2021)[6]"
"653","15","Undergraduates"
"654","15","38,528 (2021)[6]"
"655","15","Postgraduates"
"656","15","10,943 (2021)[6]"
"657","15","Location"
"658","15","Tucson, Arizona, United States"
"659","15","Campus"
"660","15","Large City,[7] 380 acres (1.5 km2)"
"661","15","Newspaper"
"662","15","Arizona Daily Wildcat"
"663","15","Colors"
"664","15","UA Red and Arizona Blue[8][9].mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}   "
"665","15","Nickname"
"666","15","Wildcats"
"667","15","Sporting affiliations"
"668","15","NCAA Division I FBS – Pac-12MPSF"
"669","15","Mascots"
"670","15","Wilbur and Wilma"
"671","15","Website"
"672","15","www.arizona.edu"
"673","16","Former names"
"674","16","Illinois Industrial University (1867–1885)University of Illinois (1885–1982)"
"675","16","Motto"
"676","16","""Learning & Labor"""
"677","16","Type"
"678","16","Public land-grant research university"
"679","16","Established"
"680","16","1867; 155 years ago (1867)"
"681","16","Parent institution"
"682","16","University of Illinois system"
"683","16","Accreditation"
"684","16","HLC"
"685","16","Academic affiliations"
"686","16","AAUURASea-grantSpace-grant"
"687","16","Endowment"
"688","16","$3.82 billion (2021) (system-wide)[1][2]"
"689","16","Chancellor"
"690","16","Robert J. Jones[3]"
"691","16","President"
"692","16","Timothy L. Killeen[4]"
"693","16","Provost"
"694","16","Andreas C. Cangellaris[5]"
"695","16","Academic staff"
"696","16","2,548"
"697","16","Administrative staff"
"698","16","7,842[6]"
"699","16","Students"
"700","16","56,257 (Fall 2021)[7]"
"701","16","Undergraduates"
"702","16","34,559 (Fall 2021)[7]"
"703","16","Postgraduates"
"704","16","20,525 (Fall 2021)[8]"
"705","16","Location"
"706","16","Urbana and Champaign, Illinois, United States"
"707","16","Campus"
"708","16","Small City,[9] 6,370 acres (2,578 ha)[10]"
"709","16","Newspaper"
"710","16","The Daily Illini"
"711","16","Colors"
"712","16","Illini Orange & Blue[11].mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}   "
"713","16","Nickname"
"714","16","Fighting Illini"
"715","16","Sporting affiliations"
"716","16","NCAA Division I FBS – Big Ten"
"717","16","Website"
"718","16","illinois.eduuiuc.edu"
"719","17","Motto"
"720","17","Latin: Coelestem adspicit lucem"
"721","17","Motto in English"
"722","17","It (the eagle) beholds the celestial light"
"723","17","Type"
"724","17","Public research university[1]"
"725","17","Established"
"726","17","1479; 543 years ago (1479)"
"727","17","Budget"
"728","17","DKK 8.908 bn($1.338 bn) (2018)[2]"
"729","17","Rector"
"730","17","Henrik C. Wegener[3]"
"731","17","Academic staff"
"732","17","5,286 (2019)[4]"
"733","17","Administrative staff"
"734","17","4,119 (2017)[4]"
"735","17","Students"
"736","17","37,493 (2019)[5]"
"737","17","Undergraduates"
"738","17","21,394 (2019)[5]"
"739","17","Postgraduates"
"740","17","16,079 (2019)[5]"
"741","17","Doctoral students"
"742","17","3,106 (2016)[6]"
"743","17","Location"
"744","17","Copenhagen, Denmark"
"745","17","Campus"
"746","17","Urban94.2 ha (total)"
"747","17","Student newspaper"
"748","17","Uniavisen"
"749","17","Colors"
