id,titles,category,description,major_categ
62,cities and the challenge of sustainable development,reflexivity and adaptation,  sustainable cities learn  basics    sustainable cities learn  basics     sustainable development goals    cities       various sectors contribute  modern sustainable urban development according   united nations urbanization  population growth  result   increase  2 5 billion people  urban populations  2050  associated impacts ranging  increased transportation needs   building    make cities sustainable  support  growth   mini series learn  challenges  local governments  adapt  new technologies energy systems modes  transportation    order  build  sustainable cities   21st century  mini series   companion piece   sdg academy s full length sustainable cities course 1 introduction   sdgs 2  cities  importance  sdg 11 3  10 point agenda  21st century cities 4 urban environment  energy systems 5 cities  hubs  knowledge,4
63,sustainable cities,policy coherence,learn  government  private sector   actors can support sustainable urban development learn  government  private sector   actors can support sustainable urban development  overview  governance land management utilities   entities  make  urban systems  technology  shaping transportation energy urban resilience   understanding  poverty health economic opportunity   issues impact urban systems  development london durban mumbai  beyond   know  experts estimate  additional three billion people  live  cities  2050    impact     current world population u 0096 half   currently lives  cities  contributes   three fourths  global economic output  opportunities  vast u 0096      potential issues   massive open online course sustainable cities   learn   major challenges currently faced  urban areas around  world u 0096 including poverty unemployment poor housing infrastructure  constraints  productivity u 0096   extraordinary potential   areas  enable change   future  infrastructure  culture  economic opportunity learn  harnessing  power  urban development  global progress  imperative  course examines  urban sustainability can  delivered  increasing productivity  reduced inequality provision  universal basic services  infrastructure protection   urban environments   solutions  investments  speculative   action around  world   emerge   course understanding  governments private stakeholders   actors can improve urban development  heed  call  sustainable development goal 11 u 0096 u 0093 making cities  human settlements inclusive safe resilient  sustainable u 0093  2030  course  made possible   generous support   jeffrey cheah foundation credits curator  lead faculty aromar reviprogramme coordinator geetha krishnan  vivekananda rajendramedia directors subasri krishnan  yashodara udupa u 2028 teaching assistant shobita rao  vineetha nallacamera kunal deshpande yashodara udupa  zohrab reys gamatadditional camera isaac bernerlight assistance shekharsound jamie d u 0092 silva  rakesh u p additional sound kunal deshpande subasri krishnan zohrab reys gamatediting sandhya kumar vinay ghodgeri yashodara udupa  zohrab reys gamatadditional editing sandeep viswanathgraphics radhamohini prasadadditional assistance  graphics arindam jana charlotte adelina p mohan raju jsvideo  sound post production pradeep nayakresearch assistance aishwarya balasubramanian ana abbas anushree deb amrita chattopadhyay jaikishan agarwal jessica george rahael kuruvilla sarita pillay sushmita ramoji suman barat teja malladiadditional content assistance neha samiword edit support rekha raghunathan nishtha vadehraproduction ananth kumar kailash singh rawat neelufer aslam pancham singh rawat puttaswamy sanjay kumar pal sreejith sureshlocation production assistance alicia fortuin sfanele ntuli siphiwe zane silindalegal assistance amlanjyoti goswami kaye lushington amrita basu mallik karuna sharmatranscription anurag dasgupta asha mavinasara masoom parmar nikita vidhyalankar satyavrat krishnakumar shaurya singh teesta krishnan sinhatranslations hindi communication  development  learning cdl equipment hire adams vineet videos wildclickz locations amsterdam bangkok bengaluru berlin brussels cape town copenhagen durban jakarta johannesburg kampala london melbourne mumbai nairobi new delhi new york paris perth singapore thanks  african centre  cities university  cape town chulalongkorn university cities alliance columbia university earth institute curtin university c40 ethekwini municipality facultad latinoamericana de ciencias sociales flacso iclei u 0096 local governments  sustainability international institute  environment  development iied middlesex university mistra urban futures monash university penn institute  urban research penn iur public health foundation  india phfi scholarly publishing  academic resources coalition sparc sewa bharat  india federation  self employed women u 0092 s association shack slum dwellers international sdi  new school united cities  local governments uclg un habitat sustainable development solutions network women  informal employment globalizing  organizing wiego acknowledgments angshuman das david mcewen holger kuhle jahnavi g h mohammad fayaz capt k pooja vasanth retd rebecca heines sandeep kumar mitra swastik harish varalakshmi vidya jindal producer chandrika bahadur   sustainable development solutions network sdg academy module 1  urban opportunity module 2  makes  city function module 3  can  reduce urban poverty  make cities inclusive  safe module 4  can  make cities productive  reduce inequality module 5  can  improve human development  cities module 6  can  provide universal urban services  infrastructure module 7  can  urban environment  protected  cities  made resilient module 8  can cities  urban areas  governed better  make   sustainable module 9  can enable  implement  change ,2
64,planning for climate change in african cities,democratic institutions,"climate change poses  threat  economic growth  long term prosperity  many countries around  world africa    exception considering  actual  potential impacts  climate change  climate variability   threaten  vulnerable sectors  human populations african countries  projected  experience changing rainfall patterns rising sea levels  higher temperatures   affect food security agricultural production water availability  public health among others  climate change impacts  climate variability can  produce social  political problems   rural urban migration  water resource disputes furthermore  low levels  development  many african countries  well  limited institutional infrastructural  technical capacities  respond successfully  climate change impacts  climate variability can exacerbate  situation  terms  contribution  greenhouse gas ghg emissions although african countries   lightest polluters   also become apparent  alternative energy sources can offset  increasing energy demand  dependence  biomass addressing climate change offers possibilities  low carbon development moreover   promising mechanisms  can address  climate change actions  development goals simultaneously 

  city level strengthening resilience   ability  respond   absorb  effects   hazardous event   timely  efficient manner   sustain  ability   future  adaptation  process  adjusting  actual  expected climate change stimuli   effects     forefront  planning local governments   important role  play   provision  adequate infrastructure regulation  land use   public services   crucial  urban resilience mobilizing local governments  collaboration  national governments non governmental organizations  international organizations among others  also critical   integrated multi sectoral approach  climate change 

 course  planning  climate change  african cities provides  foundation  understanding cities exposure  sensitivity  climate change   cities can manage  impacts   face  growing uncertainty     introducing  basic concepts  urban resilience  adaptation  using illustrative case studies  different african cities furthermore  module provides lectures   different approaches  climate change planning whether ad hoc strategic  mainstreaming introduces  different steps   planning cycle  initial assessment  monitoring  evaluation  presents  different decision support  assessment tools  prioritizing climate change actions  course broadens  discussion  planning  climate change  engaging learners  apply  knowledge  practice  decision making skills   simulated exercise 

 line  development  minimizes  harm caused  climate change impacts  maximizing  many human development opportunities presented    resilient future  ask    connections  urban risk  vulnerability   climate change  urban resilience conceptualized  applied  practice  policies  measures   introduced  address climate change finally   choose among different measures  address climate change adaptation urban resilience   development objectives 

course objectives 
  end   course learners   able  

 u 0095 	recognize  effects impacts  drivers  climate change  cities
 u 0095 	understand  drivers  urban risk  vulnerability   context  climate change 
 u 0095 	distinguish  typologies approaches  tensions  climate change adaptation 
 u 0095 	explain  different approaches  steps  climate change planning 
 u 0095 	examine  decision support  assessment tools  climate change
 u 0095 	develop  climate change plan based  city contexts",3
65,principles of sustainable finance,reflexivity and adaptation,"finance  widely seen   obstacle   better world principles  sustainable finance explains   financial sector can  mobilized  counter  using finance   means  achieve social goals  can divert  planet   economy   current path   world   sustainable   throughout  course   learn   un sustainable development goals  social  environmental factors    regarded  externalities   learn   sustainable banking  asset management  effective engagement sustainable scenario analysis  long term value creation 

  end   course   understand  sustainable finance can  used   tool  steer  sustainability transition ",4
66,greening the economy: lessons from scandinavia,participation," can  live  good life  one planet   seven billion people  course  explore greening  economy  four levels individual business city  nation   look   relationships   levels  give many practical examples   complexities  solutions across  levels scandinavia  pioneering place advancing sustainability  combating climate change   unique starting point  learning  greening  economy   learn  many initiatives attempted  scandinavia since  1970s    potentially helpful  useful   countries  contexts 

 international institute  industrial environmental economics iiiee  lund university   international centre  excellence  strategies  sustainable solutions  iiiee  ideally suited  understand  explain  interdisciplinary issues  green economies utilising  diverse disciplinary backgrounds   international staff  iiiee   researching  teaching  sustainability  greener economies since  1990s    extensive international networks connecting   variety  organizations ",1
67,introduction to environmental law and policy,democratic institutions,environmental law may   one institution standing  us  planetary exhaustion   also  institution  needs   reconciled  human liberty  economic aspirations  course considers  issues  provides  tour though existing legal regimes governing pollution water law endangered species toxic substances environmental impact analyses  environmental risk note  u 00a0 environmental law policy course  close  new learner enrollment  february 22 2019 learners   already enrolled  continue  see    coursera dashboard  long   remain enrolled   course    currently enrolled   course please see  announcement sent  february 19 2019  additional details ,3
68,climate change mitigation in developing countries,democratic institutions," course challenges   consider  one might lift societies   poverty  also mitigating greenhouse gas emissions  explore  inherent complexity  developing country governments wanting  grow  economies   climate friendly way    introduced   approach    address  challenge  approach consists   facilitated process whereby academic researchers  high level influential actors within society co produce knowledge   track  process  four latin american countries brazil chile colombia peru  south africa   hear  various professionals   contexts   different challenges  opportunities  process includes  course  cover topics   facilitation process techniques energy modeling scenario building innovation  policy making     opportunity  respond   topics  ideas  reflection    context whether    climate change practitioner work  development   simply curious   climate mitigation  understood  course  give  insights   complexity   countries   south pursue development goals  addressing climate mitigation 

 course  free  enroll  take    offered  option  purchasing  certificate  completion   become eligible    successfully complete  course requirements  can   excellent way  staying motivated financial aid  also available ",3
69,climate change and water in mountains: a global concern,participation,"  climate change   mountain regions affected   evolution  water resources   uses  kind  risks need   considered mountains  recognized  particularly sensitive physical environments  intense  rapid changes    past  may increasingly   future place pressure   resource base 

  context  team  roughly 100 experts worked  2008  2013   european acqwa project www acqwa ch   coordinated   university  geneva  primary objectives   project   assess  impacts   changing climate   quantity  quality  water originating  mountain regions particularly  snow  ice melt represent  large sometimes  largest streamflow component   objective   project   determine  potential disruptions  water dependent economic activities related   climate impacts  hydrological systems   propose  portfolio  possible adaptation strategies 

 particular mooc  inspired   acqwa project  offers  better understanding  climate change  impacts   quality  quantity  water  mountain regions   risks related  changing water resources   interdisciplinary perspective  participation  twenty five instructors  five different countries switzerland england south korea india  nepal  fourteen institutions unige rts unifr uzh ethz meteodat gmbh wgms imperial college london agroscope r e9 publique et canton de gen e8 ve yonsei university ihcap icimod sdc foen highlights  diversity   theoretical  practical viewpoints related   issues 

  end   course    able 

  define  general concept  climate change  mountain regions
  understand  concepts associated  climate change   adaptation  water governance strategies
  consider  impacts  climate change  water resources  mountain regions
  identify  impacts  climate change  hydropower agriculture aquatic ecosystems  health 
  enumerate risks  can occur  mountain areas  lead  disruptions  water availability  use 

 acquired knowledge   evaluated  multiple choice quizzes   end   unit   course 

 mooc  u 0093 climate change  water  mountain regions  global concern u 0094  initiated  financed   university  geneva   institute  environmental sciences 

 look forward   joining us ",1
70,"our earth: its climate, history, and processes",participation,develop  greater appreciation    air water land  life formed   interacted   last 4 5 billion years ,1
71,ecology: ecosystem dynamics and conservation,policy coherence, course   introduction  ecology  ecosystem dynamics using  systems thinking lens   case study  mozambique s gorongosa national park learners  explore  scientists study ecosystems  investigate  complex array  factors  inform management efforts   end   course learners   able  grapple  real world conservation questions   whether  ecosystem can recover  anthropogenic disruption   role humans can   play   recovery ,2
72,introduction to the arctic: climate,reflexivity and adaptation, university  alberta  university  tromso   university   arctic invite   explore  four week course  examines  environment  climate   circumpolar north  course   result   international collaboration  provides    insight   planet s north following  overview  regional geography   focus   cryosphere ice  well   atmosphere  ocean   region   learn   arctic  cold  ice covered    impacts  climate  ecosystems   also consider   arctic  connected   rest   world finally   examine present day climate change  processes driving   evidence     arctic  looking   implications   rapidly evolving north watch  preview   course  https uofa ualberta ca courses arctic climate,4
73,frozen in the ice: exploring the arctic,reflexivity and adaptation,  hundreds  scientists  around  world intentionally freeze  ship  arctic sea ice   entire year braving subzero temperatures  months  polar darkness  may sound like  fictional adventure movie plot   september 2019  october 2020  mosaic multidisciplinary drifting observatory   study  arctic climate arctic research expedition  just    course  ll hear directly  mosaic scientists  arctic experts   describe   expedition   key  increasing  understanding   arctic  global climate systems   kinds  data    collecting  mosaic   ice   sea    air  course kicks   content around arctic geography climate  exploration history   walks learners   basics   components   arctic system atmosphere ocean sea ice  ecosystems   also learn   data collected  mosaic   used  improve climate model projections finally   wrap   course  exploring challenges  new arctic faces including  indigenous peoples   arctic   impacted  different ways   changing arctic environment ,4
74,our earth's future,participation, earth s future    science  climate change    talk     learn  scientists   fields  climatology oceanography earth science  anthropology  study  climate change  affecting people populations  ways  life explore  multiple lines  evidence   human induced climate change   happening today  consider   means   future   planet   end   course    able  understand key scientific principles identify  address misconceptions  contribute confidently  conversations  climate change ,1
75,climate adaptation in africa,reflexivity and adaptation, course explores  climate change adaptation  important   african context africa  considered one   one    vulnerable regions  climate change historically climate related hazards   drought flooding pest  disease outbreaks coastal storms  heat waves   devastating impacts  people   environment    live often  damage knocks back progress    made  social  economic development slowing   achievement  development goals climate models suggest  many   climatic hazards  intensify   global climate warms building resilience  climate risks  adaptation  critically important  future development  africa  course  examine adaptation  theory   practice   focus  four sectors   critically important  climate resilient development  africa water security agriculture  food security ecosystems  ecosystem services  resilient cities ,4
76,global warming ii: create your own models in python,reflexivity and adaptation, class provides  series  python programming exercises intended  explore  use  numerical modeling   earth system  climate sciences  scientific background   models  presented   companion class global warming   science  modeling  climate change  class assumes    new  python programming    indeed  great way  learn python      able  pick   elementary knowledge  python syntax  another class    line tutorials ,4
77,biosphere 2 science for the future of our planet,participation,  ready  take  incredible journey around planet earth  beyond   course   delve   world  innovative science  learn   team  biosphere 2  university  arizona researchers  plants  soils  oceans  rainforests  moon mars    course   exciting opportunity  anyone interested  science  earth stewardship learn   unique research station   arizona desert  used  investigate big ideas    earth systems interact  effects  climate change    future holds go back  time thousands  years  information locked  ancient trees  travel   imagined future  humans become martians collect  analyze   scientific data discuss big questions   around  world  gain novel insights  understanding   wonderfully unique planet ,1
78,introduction to sustainability,reflexivity and adaptation, course introduces  academic approach  sustainability  explores  today s human societies can endure   face  global change ecosystem degradation  resource limitations  course focuses  key knowledge areas  sustainability theory  practice including population ecosystems global change energy agriculture water environmental economics  policy ethics  cultural history  subject   vital importance seeking     uncover  principles   long term welfare    peoples   planet  sustainability   cross disciplinary field  study  foundation requires intellectual breadth   describe    class text understanding  motivations requires  humanities measuring  challenges  sustainability requires knowledge   sciences  natural  social  building solutions requires technical insight  systems   provided  engineering planning  management ,4
79,"the sdgs   a global, transdisciplinary vision for the future",participation," 2015  un launched  17 sustainable development goals sdgs adopted  193 member states  goals represent  important international step  setting humanity   trajectory towards sustainable development within  course   get  historical overview   sustainability   understood  well   thorough introduction   sdgs     progress can  measured    sdgs  relevant   management   global systems supporting humanity  course  examine  various societal actors  responding   implementing  sdgs     sdgs  essential  sustainable development sdg 13 climate action  usually perceived    urgent  terms   need   swift implementation   global scale therefore particular focus  given   sdg   course   gain   date knowledge   current understanding  human impacts   earth   planetary level progress towards establishing global management  human interactions   climate system within  united nations framework convention  climate change unfccc  also discussed 

 course  designed  taught  professor katherine richardson    member   15 person panel appointed   un general secretary  2016  write  2019 global sustainable development report   lecture katherine interviews experts  provide insights relevant   topic  hand ",1
81,beyond the sdgs (sdgs): addressing sustainability and development,policy coherence," re excited  re   course u 0093 beyond  sustainable development goals sdgs addressing sustainability  development u 0094   first course   sustainability  development mastertrack u 00ae certificate   can also take  course   stand alone learning opportunity sustainability  development pose unprecedented challenges  human societies grow  seek  ensure future wellbeing  prosperity   course  ll focus  addressing  twin challenges  sustainability  development  actionable knowledge  innovating solutions   world s  pressing problems like climate change poverty  inequality  biodiversity loss  ecosystem degradation rather  sustainability   qualifier  development e g sustainable development  conceptualize sustainability  development  co equal fields  inquiry  action  seek  build bridges   natural social  applied sciences   humanities  sustainability  development  placed   equal footing  requires us  think  explicitly   trade offs co benefits  synergies       exploring  depth   week 

throughout  course    introduced   theoretical currents  sustainability  development   garner   depth understanding   united nations 17 sustainable development goals sdgs   also consider  methods  skills necessary  designing innovative solutions  sustainability  development problems   emerging field  sustainability science 

  course   explore three    pressing challenges undergirding  sustainable development goals sdgs including climate change poverty  inequality  ecosystem degradation  biodiversity loss  case studies  guide  challenge  thinking   final week   course   discuss  trade offs co benefits  synergies   challenges especially   relate  designing innovative solutions  achieving  sustainability  development goals 

  end   course    able  
1 understand  explain  world s  pressing problems   specific focus  poverty inequality ecosystem degradation  biodiversity loss  climate change 
2 critically analyze  sustainable development goals sdgs   relationship   world s  pressing problems 
3 use frameworks  evidence necessary  develop solutions 
4 assess relevant solutions   help realize  sdgs     time solve  pressing problems 
5 apply skills learned  implement solutions ",2
82,"sustainable business: big issues, big changes",reflexivity and adaptation,"  class 3   mooc specialization become  sustainable business change agent  class looks   big issues companies  fixing climate change water worker satisfaction  supply chain issues 
  learn tools  help  company address  issues intelligently 

 class ends   assignment  set  science based carbon reduction target   small company tis  absolutely cutting edge material   300 companies   whole world      july 2017   put  company   elite group 

  knowledge  tools   acquired   3 classes   specialization   well   way  making  difference   company  making  future brighter  everyone 

thank    part   program ",4
83,from climate science to action,participation," part   world faces specific vulnerabilities  climate change   different opportunities  mitigate  effects  build resilience   21st century   ratification   paris agreement many countries  acceded  act  combatting climate change indeed without climate action decades  sustainable development   risk thus making   u 0091 make  break point  time showcasing   recent scientific evidence explaining  different regional impacts  divulging climate action strategies along  interactive tools    carbon footprint tracker   ndc platform  mooc provides  opportunities   can take action  climate change   course

 action oriented mooc gives   opportunity  learn  regional climate change impacts  sector specific strategies  increase resilience  move towards  low carbon future     opportunity  explore  issues  depth  tailor  learning experience  one     following regions 

 u 0095 latin america  caribbean
 u 0095 sub saharan africa
 u 0095 middle east  north africa
 u 0095 eastern europe  central asia
 u 0095 east asia  pacific
 u 0095 south asia

   endeavor  mooc brings together renowned scientists  policymakers  provide  synthesis    recent scientific evidence  climate change regional low emissions  climate resilient development strategies across sectors  team  expert instructors  lead discussions around  paris agreement reflections  cop22   progress  nationally determined contributions ndcs 

course syllabus

overview 

 u 0091  climate science  action  divided  four weeks  first two weeks  provide  comprehensive overview   scientific evidence  climate change followed  region specific insights   impacts   warmer world   21st century  last two weeks  focus  action strategies    undertaken  different regions  countries  meet  climate challenge      individual can take action  avoid  warmer world 

week 1 climate change   21st century

 u 0095 historical  projected observed changes   climate system leading    end   21st century
 u 0095  potential  intended nationally determined contributions indcs submitted  cop 21  187 countries  induce climate action
 u 0095 trends  climate change impacts including loss  arctic sea ice melting glaciers increased heat waves  extreme temperatures  drought  aridity 
 u 0095 possible responses  natural systems explaining  warming  result  sea level rise heat waves  extreme temperatures  ocean acidification

week 2 sectoral  regional impacts

 u 0095 impacts  key development sectors u 0097  warming  pre industrial temperatures  projected climate trends u 0097 across    world s regions
 u 0095 sectoral impacts focusing  agricultural production water resources ecosystem services  coastal vulnerability  affected populations 
 u 0095 importance  risks   potential  reverse hard won development gains  potentially trap millions  poverty illustrating  need  urgent action now

week 3  science  action  climate change

 u 0095 region specific discussions  mitigation actions needed  reduce emissions  decreasing vulnerability  climate change impacts  adaptation   building climate resilience
 u 0095 perspectives  regional experts   experiences  strategies  actions proposed   region  help transition towards  low emissions climate resilient development path 
 u 0095 discussions   progress   nationally determined contributions ndcs outcomes   paris agreement  reflections   conference  parties cop 22

week 4   can 

 u 0095 transformative impact  day  day changes  brought   global scale
 u 0095  rationale  acting now acting together  acting differently
 u 0095 examples  expected benefits  mitigation  adaptation policies considering  contributions  global emission reductions  local development opportunities

 addition   core resources  assignments  may choose  go  engaging  fun optional exercises networking discussion  diving deeper   rich selection  supplemental resources     opportunity  explore  issues  depth  tailor  learning experience  one     following regions 

 u 0095 latin america  caribbean
 u 0095 sub saharan africa
 u 0095 middle east  north africa
 u 0095 eastern europe  central asia
 u 0095 east asia  pacific
 u 0095 south asia

course format

 mooc   week  week structure  resources activities  exercises    engage      four weeks   course  week   find  variety  course material including 

 u 0095 interactive video talks  renowned climate scientists  practitioners 
 u 0095 interactive tools  carbon footprint tracker  ndc platform
 u 0095 resources core optional deep dive  fun interactives   week s theme
 u 0095 quizzes  check  knowledge reinforce  lesson s material  provide immediate feedback
 u 0095 assignments   sharpen  skills  analysis reflection  communication
 u 0095 discussion forums  social media  enable collaboration  others  around  world enriching interaction among 
 u 0095   final project   create  digital artifact 

 can also go much    engaging  optional exercises networking  discussion forums  dive deeper   rich selection  additional resources  also  use e discussions   tools  facilitate dialogue   learners  experts 

recommended background  background knowledge  necessary  content   course  designed   accessible  students   discipline 

connect communicate  share resources via twitter using hashtag learnclimate sign    free account  http twitter com",1
84,"act on climate: steps to individual, community, and political action",democratic institutions,"  concerned  climate change   like  learn   address  respond   challenge    course    act  climate steps  individual community  political action  intended  help learners understand address  respond  climate change  individuals   partnership   communities  political leaders  course focuses    translate learning  action  climate change   areas  food energy transportation   built environment cities  course  co developed  taught  michaela zint professor  environmental education  communication  university  michigan students  range  academic climate change experts  professional leaders  featured 

  result  completing  course    able  

1 identify individual community  political actions  can engage   effectively address  respond  climate change 

2 describe  insights   social sciences can  employed  create change   individual community  political levels 

3 feel empowered  continue  influence    community  political leaders address  respond  climate change 

use umichactonclimate  social media  share   re   connect   learners ",3
85,global environmental management,policy coherence,learn   best environmental technologies   sustainable development     managed  various settings around  world  course gives   opportunity  learn  global trends  influence  environment   living conditions   different management systems  approaches   used around  world  manage  environment  includes current environmental technologies built   environment  technologies  sustainable soil management groundwater protection methods  integrated water resources management ,2
86,global energy and climate policy,participation," global energy  climate policy course offers  introduction   theoretical  practical understanding   energy  climate change policies  designed shaped advocated  implemented  energy markets go truly global domestic energy policies  becoming    entangled  wider issues  international governance concurrently  urgent need  mitigate  adapt  climate change  transition   low carbon future  adding   layer  complexity  course  aimed broadly  people interested  learning   interconnected issues  energy  climate policy globally  assumes  level  interest   necessary previous knowledge however  course also offers sufficient   date research  new critical perspectives    interest  people  expertise   academic familiarity   topic  well 

 main aim   course   provide  wide ranging introduction   self contained   depth form alongside  important practical skills necessary  understand  discuss energy  climate policy  lay  groundwork  greater engagement   future either  academic study   public private    profit sectors ",1
87,our energy future,policy coherence, course  designed  introduce students   issues  energy   21st century including food  fuels   inseparably linked   discuss energy production  utilization   biology engineering economics climate science  social science perspectives  course  cover  current production  utilization  energy  well   consequences   use examining finite fossil energy reserves  food  energy  linked impacts   environment  climate   social  economic impacts   present energy  food production  use   introductory lectures   examine  emerging field  sustainable energy fuel  food production emphasizing  importance  developing energy efficient  sustainable methods  production    new technologies can contribute  replacing  diminishing supplies  fossil fuels  reduce  consequences  carbon dioxide release   environment  course  also cover  importance  creating  sustainable energy future   societies including    developing world lectures   prepared  delivered  leading uc san diego  scripps institution  oceanography faculty  industry professionals across  areas  expertise ,2
88,ecological and energy transitions in southern countries,democratic institutions," agence fran e7 aise de d e9 veloppement   ecole normale sup e9 rieure  launching  fourth edition   mooc u 0093 ecological  energy transitions  southern countries  edition   launched simultaneously  4 languages 
 u 00b7 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0  english ecological  energy transitions  southern countries
 u 00b7 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0  french transitions e9 nerg e9 tique et e9 cologique dans les pays du sud
https www coursera org learn transitions energetiques pays du sud 
 u 00b7 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0 u 00a0  spanish transiciones energ e9 ticas y ecol f3 gicas en los pa ed ses del sur
 https www coursera org learn transiciones energeticas y ecologicas en los paises del sur
  portuguese transi e7 e3 o energ e9 tica e ecol f3 gica em pa ed ses  sul https www coursera org learn transiao energtica e ecologica em paises  sul 

 mooc    junction   development  southern countries  sustainable development 
  
1  macroeconomic  financial dimension developed  gael giraud  alain grandjean 
2  ecological  climatic dimension developed  david claessen  ens speakers  
3  focus  southern countries developed  afd speakers 

   learning goals   entire training program 

goal 1  able  understand  relationship   energy transition  ecological transition  role  energy   economy  economic development model  financing issues 
goal 2 know   advocate   lobby  issues    need  change reality  order  implement strategies  action plans 
goal 3  able  make  link   energy transition  financing solutions   comprehension  action 
 one questions  imperative need  ensure development based  personal well    fair distribution  wealth 

 challenges   transition   
 now  development  northern countries   based   increasing exploitation  energy resources   greater freedom  trade  exchange   global scale  now know    model   longer sustainable due  global warming    overexploitation  resources  lead  health social  environmental disasters 

 role  developing countries
   mind  can  ensure fair  equitable growth    role  countries   different regions   south   play   complete upheaval   current economic trade  political models  order  achieve  effective energy  ecological transition 
 
 mooc  respond   questions
 free online training offers complementary perspectives  several specialists  issues related  climate change   development  southern countries   share   practical understanding   current crises   answers  can  provided participants  learn  studies  
 u 0095 researchers   prestigious c9 cole normale sup e9 rieure  paris
 u 0095 field experts   agence fran e7 aise de d e9 veloppement  funding agency    committed  helping developing countries  75 years 
 u 0095 carbone 4 founder alain grandjean   share  experience  particular   economic  financial aspects 
 
   program 
1  development model  ecologically unsustainable
2  dominant economic models hinder  energy  ecological transition
3  energy transition path decarbonizing gdp
4  model   ecological transition  new prosperity
5 governance   energy  ecological transition
6 financing  energy  ecological transition",3
89,anti-corruption in the context of the 2030 agenda,democratic institutions," 2030 agenda   major breakthrough   anti corruption movement   emphasizes  importance  promoting transparency accountability  anti corruption  sustainable development  makes  explicit link  corruption peace  just  inclusive societies 
undp administrator achim steiner said u 0093  2030 agenda  established anti corruption   global imperative   hinges  achievement   sustainable development goals goal 16  rooted  human rights  highlights  importance  strengthening institutions  governance   pledge  leave  one behind  also   opportunity  advance  anti corruption agenda   implementation   un convention  corruption   now reached near universal ratification providing  comprehensive global framework  fight corruption  alignment   2030 agenda corruption   complex challenge  continues  persist  many countries across  world    direct impact   three dimensions  sustainable development social economic  environmental  affects    five pillars   2030 agenda people planet prosperity peace  partnerships u 0094 
despite progress made corruption  still  pressing challenge resources lost  corruption exceed  estimated 10 trillion dollars required  eradicate poverty  2030 money lost  corruption  essentially development denied     risk   left behind 
									  2030 agenda   major breakthrough   anti corruption movement   emphasizes  importance  promoting transparency accountability  anti corruption  sustainable development  makes  explicit link  corruption peace  just  inclusive societies undp administrator achim steiner said u 0093  2030 agenda  established anti corruption   global imperative   hinges  achievement   sustainable development goals goal 16  rooted  human rights  highlights  importance  strengthening institutions  governance   pledge  leave  one behind  also   opportunity  advance  anti corruption agenda   implementation   un convention  corruption   now reached near universal ratification providing  comprehensive global framework  fight corruption  alignment   2030 agenda corruption   complex challenge  continues  persist  many countries across  world    direct impact   three dimensions  sustainable development social economic  environmental  affects    five pillars   2030 agenda people planet prosperity peace  partnerships u 0094 despite progress made corruption  still  pressing challenge resources lost  corruption exceed  estimated 10 trillion dollars required  eradicate poverty  2030 money lost  corruption  essentially development denied     risk   left behind 
					target audience
					upon successful completion   course  
demonstrate  sound understanding   2030 agenda  articulate  key role  anti corruption plays   implementation   2030 agenda 
demonstrate  clear understanding   dual role anti corruption plays   2030 agenda    focus area    sdg 16    prerequisite  achieving   sdgs 
identify different methods tools  best practices  mainstream anti corruption initiatives  sustainable development plans  programmes 
identify practical tools  best practices  harmonize  monitoring  sustainable development  anti corruption initiatives 
 able  articulate  need  aligning sustainable development  anti corruption efforts 
 upon successful completion   course  
					learning objectives
					un staff  headquarters un country teams  regional offices government representatives development practitioners  well  members  civil society academia  foundations 
				 un staff  headquarters un country teams  regional offices government representatives development practitioners  well  members  civil society academia  foundations ",3
92,circular economy and the 2030 agenda,participation," course explores  application  circular economy ce practices   context   2030 agenda  sustainable development 
 less   decade  2030 u 00a0 u 00a0   evident  u 0091 business  usual   help us  achieve  sustainable development goals sdgs systems based approaches along   strong commitment  deep rooted transformations  actions  vital   reduction  humanity s footprint   planet  resources  finite   principles  practices   circular economy   catalytic  creating goods processes  ecosystems   restorative  regenerative  design 
 course  focus  u 0091   u 0091  circular economy principles   critical  achieving  goal   2030 agenda sustainable development   
theoretical practical  case study based approaches   used  illustrate  support  concepts  course   strongly application based  numerous real life examples  around  world   include tools useful  advance ce practices participants  get  opportunity  engage  distinguished experts  live webinars assignments exercises quizzes  peer sharing across  different modules   course  benefit   add   learning 
									  course explores  application  circular economy ce practices   context   2030 agenda  sustainable development  less   decade  2030 u 00a0 u 00a0   evident  u 0091 business  usual   help us  achieve  sustainable development goals sdgs systems based approaches along   strong commitment  deep rooted transformations  actions  vital   reduction  humanity s footprint   planet  resources  finite   principles  practices   circular economy   catalytic  creating goods processes  ecosystems   restorative  regenerative  design  course  focus  u 0091   u 0091  circular economy principles   critical  achieving  goal   2030 agenda sustainable development   theoretical practical  case study based approaches   used  illustrate  support  concepts  course   strongly application based  numerous real life examples  around  world   include tools useful  advance ce practices participants  get  opportunity  engage  distinguished experts  live webinars assignments exercises quizzes  peer sharing across  different modules   course  benefit   add   learning 
					target audience
