id,titles,category,description,major_categ
44,Introduction to the SEEA Central Framework,reflexivity and adaptation,system environmental economic accounting seea 2012<U+393C><U+3E37>central framework multipurpose conceptual framework measuring interactions environment economy providing internationally agreed standard agreed concepts definitions classifications seea invaluable tool compiling integrated statistics economy environment seea framework follows similar accounting structure system national accounts sna seea uses concepts definitions classifications consistent sna order facilitate integration environmental economic statistics seea allows us develop indicators conduct analysis economy environment nexus seea facilitates better informed decision making seea central framework offers means monitoring pressures exerted economy environment terms abstraction natural resources emissions impacts terms changes stocks natural resources economy responds terms expenditure environmental protection resource management seea propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications course self paced without instruction can taken point time course available arabic english french russian spanish system environmental economic accounting seea 2012<U+393C><U+3E37>central framework multipurpose conceptual framework measuring interactions environment economy providing internationally agreed standard agreed concepts definitions classifications seea invaluable tool compiling integrated statistics economy environment seea framework follows similar accounting structure system national accounts sna seea uses concepts definitions classifications consistent sna order facilitate integration environmental economic statistics seea allows us develop indicators conduct analysis economy environment nexus seea facilitates better informed decision making seea central framework offers means monitoring pressures exerted economy environment terms abstraction natural resources emissions impacts terms changes stocks natural resources economy responds terms expenditure environmental protection resource management seea propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications course self paced without instruction can taken point time course available arabic english french russian spanish target audience target audience includes compilers potential compilers seea accounts target audience also includes ministries experts provide data used seea accounts policy analysts may also find course useful target audience includes compilers potential compilers seea accounts target audience also includes ministries experts provide data used seea accounts policy analysts may also find course useful learning objectives understand conceptual framework used seea learn basic concepts definitions classifications used seea central framework learn seea implemented countries understand seea contributes developing policies sustainable development,4
45,How to Achieve the SDGs,participation,2030 agenda sustainable development adopted united nations general assembly september 25 2015 presenting number goals called sustainable development goals sdgs meant end global poverty ensure peaceful prosperous future course covers multiple aspects implementation sdgs stakeholders roles financing policy making others transcripts available english u 0440 u 0443 u 0441 u 0441 u 043a u 0438 u 0439 download syllabus 2030 agenda sustainable development adopted united nations general assembly september 25 2015 presenting number goals called sustainable development goals sdgs meant end global poverty ensure peaceful prosperous future course covers multiple aspects implementation sdgs stakeholders roles financing policy making others transcripts available english u 0440 u 0443 u 0441 u 0441 u 043a u 0438 u 0439 target audience policymakers sustainable development practitioners undergraduate graduate students interested issues addressed sdgs <U+613C><U+3E30> policymakers sustainable development practitioners undergraduate graduate students interested issues addressed sdgs <U+613C><U+3E30> learning objectives understand sdgs established meant implemented social financial conditions needed achieve roles general public private sector international actors play accomplishing understand sdgs established meant implemented social financial conditions needed achieve roles general public private sector international actors play accomplishing,1
46,Integrated Economic Statistics to support 2008 SNA implementation,reflexivity and adaptation,intermediate course integrated economic statistics focuses following topics statistical infrastructure economic statistics administrative data sources economic census surveys statistical registers classification frameworks overview sna brief recap domestic economy rest world institutional units sectors sna aggregates coverage sna framework integrating economic censuses business surveys sut sna estimation linkages economic censuses sna measures sna measures economic census questionnaires bench marking sut gdp using economic census estimation methods estimation output value added derivation volume measures supply use methods implications 2008 sna gdp measures intermediate course integrated economic statistics focuses following topics target audience statisticians economists working compilation national accounts researchers others interested details national accounts <U+613C><U+3E30> <U+613C><U+3E30> learning objectives course designed following objectives rationalize data sources economic statistics understand inter linkages various data collections compilations plan effective economic census questionnaires tabulation plans plan use economic census results economic data collections compilation national accounts end course participants expected able identify data flows additional data needs implementing recommendations 2008 sna core economic statistics identified unescap regional programme economic statistics build effective economic census instruments analytical plan course designed following objectives end course participants expected able,4
47,Policy Coherence for Sustainable Development,policy coherence,course designed <U+613C><U+3E30>un system staff college knowledge centre sustainable development coordination <U+613C><U+3E30>national university singapore<U+613C><U+3E30>acting <U+613C><U+3E30>lee kuan yew school public policy<U+613C><U+3E30> <U+613C><U+3E30>hertie school governance<U+613C><U+3E30>based berlin collaboration <U+613C><U+3E30>oecd policy coherence sustainable development unit<U+613C><U+3E30> paris course explores approaches cross organizational cross sectoral policy coherence national regional international levels view equipping participants understanding policy coherence important achieving sustainable development coherent policymaking entails specific tools mechanisms approaches can employed foster policy coherence course designed <U+613C><U+3E30>un system staff college knowledge centre sustainable development coordination <U+613C><U+3E30>national university singapore<U+613C><U+3E30>acting <U+613C><U+3E30>lee kuan yew school public policy<U+613C><U+3E30> <U+613C><U+3E30>hertie school governance<U+613C><U+3E30>based berlin collaboration <U+613C><U+3E30>oecd policy coherence sustainable development unit<U+613C><U+3E30> paris course explores approaches cross organizational cross sectoral policy coherence national regional international levels view equipping participants understanding policy coherence important achieving sustainable development coherent policymaking entails specific tools mechanisms approaches can employed foster policy coherence target audience un staff headquarters country teams regional offices government representatives development practitioners well members civil society academia foundations un staff headquarters country teams regional offices government representatives development practitioners well members civil society academia foundations learning objectives upon successful completion course participants  demonstrate sound understanding vision principles underlying 2030 agenda evolution concept policy coherence sustainable development importance policy coherence sustainable development demonstrate good understanding relevance policy coherence approach tool achieve sustainable development outcomes able recognize policies mutually reinforcing across governance levels equipped knowledge specific tools mechanisms approaches can employed foster policy coherence including partnerships multi stakeholder engagement upon successful completion course participants ,2
48,Integrated policies and policy coherence for SDGs,policy coherence,toolkit developed unitar collaboration un family explains theory practical implications behind policy integration leave one behind imperatives based improved understanding aims support harmonized approaches towards incorporating sdgs across national policy cycle integrated planning aligned budgeting frameworks monitoring evaluation m e systems reviews reporting toolkit available two versions first version specifically customized african least developed countries ldcs available english french second version generic one english world wide case studies download syllabus toolkit developed unitar collaboration un family explains theory practical implications behind policy integration leave one behind imperatives based improved understanding aims support harmonized approaches towards incorporating sdgs across national policy cycle integrated planning aligned budgeting frameworks monitoring evaluation m e systems reviews reporting toolkit available two versions first version specifically customized african least developed countries ldcs available english french second version generic one english world wide case studies target audience government officers un country team media representatives ngos business industry trade unions community leaders academia universities philanthropists youth organizations country based international partners etc learning objectives result training participants better positioned describe core competencies leadership aligned sdgs 2030 agenda identify current capacity gaps localize sdgs national context describe existing mechanisms monitoring evaluation reporting related sdgs national goals explain importance coherence different stages policy cycle provide examples approaches reinforce coherence apply frameworks analytical tools integrated analysis decision making analyze policies programs light key principle agenda 2030 leave one behind promote participatory approaches different stages policy cycle result training participants better positioned,2
49,"Policy cycle, integrated approaches and SDGs for African LDCs",policy coherence,called lead act change <U+613C><U+3E30> 2030 agenda sustainable development represents imperative change united nations covid 19 pandemic drastically underlined connections immediate public health measures wider economic social environmental linkages need considered designing implementing integrated responses yet efforts build back better risk favouring unsustainable short term gains  ultimately increase inequality threaten planet push toward needed long term transformation toward human well within planetary boundaries course aims supporting un leaders articulate facilitate broker needed changes support people countries serve also provides space discuss necessary adjustments structure leadership accountability mechanisms interaction capacities un development system required ensure positioned provide countries support need strengthening relevance un needs visionary principled leadership across system address today s challenging world needs leaders stand un values<U+393C><U+3E37> inspire commitment peace justice respect human rights tolerance solidarity participants  deepen knowledge sharpen political acumen engaging discussions un senior officials subject matter experts  opportunities share practices interactive peer peer learning workshops <U+613C><U+3E30>unpack inter agency concerns well individual agency contexts develop solutions leverage un agency s strengths expertise experiential learning methods site visit well full day media training  complement intense training programme called lead act change <U+613C><U+3E30> 2030 agenda sustainable development represents imperative change united nations covid 19 pandemic drastically underlined connections immediate public health measures wider economic social environmental linkages need considered designing implementing integrated responses yet efforts build back better risk favouring unsustainable short term gains  ultimately increase inequality threaten planet push toward needed long term transformation toward human well within planetary boundaries course aims supporting un leaders articulate facilitate broker needed changes support people countries serve also provides space discuss necessary adjustments structure leadership accountability mechanisms interaction capacities un development system required ensure positioned provide countries support need strengthening relevance un needs visionary principled leadership across system address today s challenging world needs leaders stand un values<U+393C><U+3E37> inspire commitment peace justice respect human rights tolerance solidarity participants  deepen knowledge sharpen political acumen engaging discussions un senior officials subject matter experts  opportunities share practices interactive peer peer learning workshops <U+613C><U+3E30>unpack inter agency concerns well individual agency contexts develop solutions leverage un agency s strengths expertise experiential learning methods site visit well full day media training  complement intense training programme target audience un resident coordinators rc rc candidates country directors representatives un agencies funds programmes un resident coordinators rc rc candidates country directors representatives un agencies funds programmes learning objectives upon successful completion course participants  strengthened <U+613C><U+3E30>knowledge vision principles underlying 2030 agenda<U+613C><U+3E30> well approaches implementation practical means mechanisms sustainable development gained deeper understanding <U+613C><U+3E30>repositioning process un development system<U+613C><U+3E30> <U+613C><U+3E30>implications un agencies<U+613C><U+3E30> resident coordinator offices country level gained deeper understanding <U+613C><U+3E30>integrated approaches sustainable development systems thinking context <U+613C><U+3E30>building back better<U+613C><U+3E30>post covid 19 improved understanding defining characteristics <U+613C><U+3E30>un leadership<U+613C><U+3E30> various ways working exemplify leadership characteristics acquired knowledge mechanisms tools <U+613C><U+3E30>enhance uncts integrated policy support<U+613C><U+3E30> countries ready apply art <U+613C><U+3E30>effective strategic communication<U+613C><U+3E30> improve quality dialogue partners stakeholders <U+613C><U+3E30>increase advocacy highlight results upon successful completion course participants ,2
50,The UN Country Team Leadership Course,reflexivity and adaptation,amidst disruption global uncertainty facing world today global dialogue action critical ever context virtual un summer academy  address key challenges achievement 2030 agenda sustainable development explore collaborations global local level address 2021 virtual un summer academy builds rich legacy succesful virtual edition 2020 well <U+613C><U+3E30>eight face face editions <U+613C><U+3E30> previous editions academy combines academic rigour cutting edge thinking providing participants unparalleled learning networking opportunities facilitates fosters dialogue thought action leaders currently working towards implementation 2030 agenda paris agreement participants  explore transformative approaches required implementation 2030 agenda share concrete examples practices diverse country contexts stakeholder perspectives time virtual edition capitalizes additional opportunities offered online format experiential learning methodologies participants  engage wide range expert inputs well peer peer learning knowledge exchange collaborative co creation thanks generous support state north rhine westphalia course offered reduced price 500 moreover order offer highly qualified candidates possibility participate un summer academy state north rhine westphalia funding 62 full scholarships covering fees five day online learning event deadline scholarship applications <U+613C><U+3E30>30 june 2021 can find details apply<U+613C><U+3E30> amidst disruption global uncertainty facing world today global dialogue action critical ever context virtual un summer academy  address key challenges achievement 2030 agenda sustainable development explore collaborations global local level address 2021 virtual un summer academy builds rich legacy succesful virtual edition 2020 well <U+613C><U+3E30>eight face face editions <U+613C><U+3E30> previous editions academy combines academic rigour cutting edge thinking providing participants unparalleled learning networking opportunities facilitates fosters dialogue thought action leaders currently working towards implementation 2030 agenda paris agreement participants  explore transformative approaches required implementation 2030 agenda share concrete examples practices diverse country contexts stakeholder perspectives time virtual edition capitalizes additional opportunities offered online format experiential learning methodologies participants  engage wide range expert inputs well peer peer learning knowledge exchange collaborative co creation thanks generous support state north rhine westphalia course offered reduced price 500 moreover order offer highly qualified candidates possibility participate un summer academy state north rhine westphalia funding 62 full scholarships covering fees five day online learning event deadline scholarship applications <U+613C><U+3E30>30 june 2021 can find details apply<U+613C><U+3E30> target audience un staff national local government representatives civil society representatives academics private sector representatives well select number master s post graduate students applicants  selected basis professional academic profile motivation statement time requirements <U+613C><U+3E30> detailed course methodology section synchronous course participants  expected online four five specified hours five days exact times  shared successful applicants shortly course begins unssc  offer two time windows participants can select window <U+613C><U+3E30>either<U+613C><U+3E30>10 00 m 4 00 p m cest<U+613C><U+3E30><U+613C><U+3E30>2 00 p m 8 00 p m cest technical requirements <U+613C><U+3E30> take participate online training participants  need access desktop pc laptop internet connection well functioning webcam microphone speakers internet speed volume sufficient four five hours video conferencing day due interactive applied format academy possible participate using mobile device details technical requirements  shared successful applicants shortly course begins un staff national local government representatives civil society representatives academics private sector representatives well select number master s post graduate students applicants  selected basis professional academic profile motivation statement time requirements <U+613C><U+3E30> detailed course methodology section synchronous course participants  expected online four five specified hours five days exact times  shared successful applicants shortly course begins unssc  offer two time windows participants can select window <U+613C><U+3E30>either<U+613C><U+3E30>10 00 m 4 00 p m cest<U+613C><U+3E30><U+613C><U+3E30>2 00 p m 8 00 p m cest technical requirements <U+613C><U+3E30> take participate online training participants  need access desktop pc laptop internet connection well functioning webcam microphone speakers internet speed volume sufficient four five hours video conferencing day due interactive applied format academy possible participate using mobile device details technical requirements  shared successful applicants shortly course begins learning objectives upon successful completion un summer academy participants  demonstrate sound understanding key notions underpinning 2030 agenda sustainable development paris agreement climate change demonstrate improved understanding key challenges opportunities facing multilateral development system key actions global local levels drive future want benefitted unparalleled networking opportunities demonstrate increased awareness role different development partners received exposure good practices area sustainable development local level upon successful completion un summer academy participants ,4
51,UN Summer Academy,reflexivity and adaptation,world going period instability uncertainty covid 19 pandemic intensified challenges region latin america caribbean context 2030 agenda sustainable development becomes even relevant well foresight studies future crossroads experienced region promote exercise foresight long term planning public affairs participants  learn systemic thinking framework 2030 agenda long term trends challenges foresight s tools cases experiences strategic planning learning methodology course encourages construction individual collective knowledge combining theory practice experience virtual classes applied exercises readings interactive quizzes participants  able practice foresight techniques furthermore  opportunity share knowledge experiences peers virtual course lasts eight weeks summing total 80 academic hours asynchronous course activities can distributed participant individual basis download syllabus world going period instability uncertainty covid 19 pandemic intensified challenges region latin america caribbean context 2030 agenda sustainable development becomes even relevant well foresight studies future crossroads experienced region promote exercise foresight long term planning public affairs participants  learn systemic thinking framework 2030 agenda long term trends challenges foresight s tools cases experiences strategic planning learning methodology course encourages construction individual collective knowledge combining theory practice experience virtual classes applied exercises readings interactive quizzes participants  able practice foresight techniques furthermore  opportunity share knowledge experiences peers virtual course lasts eight weeks summing total 80 academic hours asynchronous course activities can distributed participant individual basis target audience course suitable anyone wants gain knowledge foresight including representatives public sector ngos academia think thanks interested development capacities exploration future application fields development public policy applicants must completed university studies course suitable anyone wants gain knowledge foresight including representatives public sector ngos academia think thanks interested development capacities exploration future application fields development public policy applicants must completed university studies learning objectives 1 acquire basic conceptual theoretical methodological framework foresight future studies knowledge basic theories relevant contemporary experiences long term visions knowledge general development context region latin america caribbean 2 know basic elements 2030 agenda global vision sustainable development show benefits foresight analysis tools can offer tool achieve 2030 agenda sustainable development sustainable development goals 1 acquire basic conceptual theoretical methodological framework foresight future studies knowledge basic theories relevant contemporary experiences long term visions knowledge general development context region latin america caribbean 2 know basic elements 2030 agenda global vision sustainable development show benefits foresight analysis tools can offer tool achieve 2030 agenda sustainable development sustainable development goals,4
52,"Foresight for Development, the 2030 Agenda and the SDGs",reflexivity and adaptation,NA,4
53,From Climate Science to Action,reflexivity and adaptation," part   world faces specific vulnerabilities  climate change   different opportunities  mitigate  effects  build resilience   21st century   ratification   paris agreement many countries  acceded  act  combatting climate change indeed without climate action decades  sustainable development   risk thus making   <U+393C><U+3E31>make  break<U+393C><U+3E32> point  time showcasing   recent scientific evidence explaining  different regional impacts  divulging climate action strategies along  interactive tools    carbon footprint tracker   ndc platform  mooc provides  opportunities   can take action  climate change 

  course

 action oriented mooc gives   opportunity  learn  regional climate change impacts  sector specific strategies  increase resilience  move towards  low carbon future     opportunity  explore  issues  depth  tailor  learning experience  one     following regions 

<U+393C><U+3E35> latin america  caribbean
<U+393C><U+3E35> sub saharan africa
<U+393C><U+3E35> middle east  north africa
<U+393C><U+3E35> eastern europe  central asia
<U+393C><U+3E35> east asia  pacific
<U+393C><U+3E35> south asia

   endeavor  mooc brings together renowned scientists  policymakers  provide  synthesis    recent scientific evidence  climate change regional low emissions  climate resilient development strategies across sectors  team  expert instructors  lead discussions around  paris agreement reflections  cop22   progress  nationally determined contributions ndcs 

course syllabus

overview 

<U+393C><U+3E31>from climate science  action<U+393C><U+3E32>  divided  four weeks  first two weeks  provide  comprehensive overview   scientific evidence  climate change followed  region specific insights   impacts   warmer world   21st century  last two weeks  focus  action strategies    undertaken  different regions  countries  meet  climate challenge      individual can take action  avoid  warmer world 

week 1 climate change   21st century

<U+393C><U+3E35> historical  projected observed changes   climate system leading    end   21st century
<U+393C><U+3E35>  potential  intended nationally determined contributions indcs submitted  cop 21  187 countries  induce climate action
<U+393C><U+3E35> trends  climate change impacts including loss  arctic sea ice melting glaciers increased heat waves  extreme temperatures  drought  aridity 
<U+393C><U+3E35> possible responses  natural systems explaining  warming  result  sea level rise heat waves  extreme temperatures  ocean acidification

week 2 sectoral  regional impacts

<U+393C><U+3E35> impacts  key development sectors<U+393C><U+3E37>from warming  pre industrial temperatures  projected climate trends<U+393C><U+3E37>across    world<U+393C><U+3E32>s regions
<U+393C><U+3E35> sectoral impacts focusing  agricultural production water resources ecosystem services  coastal vulnerability  affected populations 
<U+393C><U+3E35> importance  risks   potential  reverse hard won development gains  potentially trap millions  poverty illustrating  need  urgent action now

week 3  science  action  climate change

<U+393C><U+3E35> region specific discussions  mitigation actions needed  reduce emissions  decreasing vulnerability  climate change impacts  adaptation   building climate resilience
<U+393C><U+3E35> perspectives  regional experts   experiences  strategies  actions proposed   region  help transition towards  low emissions climate resilient development path 
<U+393C><U+3E35> discussions   progress   nationally determined contributions ndcs outcomes   paris agreement  reflections   conference  parties cop 22

week 4   can 

<U+393C><U+3E35> transformative impact  day  day changes  brought   global scale
<U+393C><U+3E35>  rationale  acting now acting together  acting differently
<U+393C><U+3E35> examples  expected benefits  mitigation  adaptation policies considering  contributions  global emission reductions  local development opportunities

 addition   core resources  assignments  may choose  go  engaging  fun optional exercises networking discussion  diving deeper   rich selection  supplemental resources     opportunity  explore  issues  depth  tailor  learning experience  one     following regions 

latin america  caribbean
sub saharan africa
middle east  north africa
eastern europe  central asia
east asia  pacific
south asia

course format

 mooc   week  week structure  resources activities  exercises    engage      four weeks   course  week   find  variety  course material including 

interactive video talks  renowned climate scientists  practitioners 
interactive tools  carbon footprint tracker  ndc platform
resources core optional deep dive  fun interactives   week<U+393C><U+3E32>s theme
quizzes  check  knowledge reinforce  lesson<U+393C><U+3E32>s material  provide immediate feedback
assignments   sharpen  skills  analysis reflection  communication
<U+393C><U+3E35> discussion forums  social media  enable collaboration  others  around  world enriching interaction among participants
<U+393C><U+3E35>   final project   create  digital artifact 

 can also go much    engaging  optional exercises networking  discussion forums  dive deeper   rich selection  additional resources  also  use e discussions   tools  facilitate dialogue   learners  experts 

recommended background  background knowledge  necessary  content   course  designed   accessible  students   discipline ",4
54,"Act on Climate: Steps to Individual, Community, and Political Action",participation,"  concerned  climate change   like  learn   address  respond   challenge    course    

act  climate steps  individual community  political action  intended  help learners understand address  respond  climate change  individuals   partnership   communities  political leaders  course focuses    translate learning  action  climate change   areas  food energy transportation   built environment cities  course  co developed  taught  michaela zint professor  environmental education  communication  university  michigan students  range  academic climate change experts  professional leaders  featured 

  result  completing  course    able  

1 identify individual community  political actions  can engage   effectively address  respond  climate change 

2 describe  insights   social sciences can  employed  create change   individual community  political levels 

3 feel empowered  continue  influence    community  political leaders address  respond  climate change 

use umichactonclimate  social media  share   re   connect   learners ",1
55,The Turn: From Reactionary Populism to a Progressive Alternative,democratic institutions,   progressive alternative   world   steps   take  bring   changes    progressive alternative   world   steps   take  bring   changes   three part series political philosopher roberto mangabeira unger   progressive alternative   united states  brazil  early 2021 columbia university professor jeffrey sachs  political philosopher roberto mangabeira unger delivered  three part webinar series  discuss  systemic  structural changes necessary  create  progressive future   focus  brazil   us  countries suffer  political polarization populism social conflict  economic inequality among  highest   world professors sachs  unger analyzed  debated   two countries reached  current state  crisis    nation   world can forge  progressive alternative  overcome  current impasse 1stagnant  divided  happened  socially inclusive economic growth  progressive politics 2losing  finding  way  united states  brazil 3from now   alternative  missing project,3
56,Sustainable Development: The Post-Capitalist Order,reflexivity and adaptation,examine  shortcomings  global capitalism  learn  sustainable development   logical step forward   world examine  shortcomings  global capitalism  learn  sustainable development   logical step forward   world   equal wellbeing economic growth expansion  globalization  look   shortcomings  capitalism   sustainable future  present system  global capitalism  flawed    produced immense wealth  economic growth  nearly  regions   world   also prioritized profits  people  harmful consumption practices   needs   planet sustainable development must bring   new world order  replace  vices  global capitalism ensuring development human wellbeing  environmental security  course presents  u n u 0092 s agenda 2030   sustainable development goals   necessary successor  laissez faire style capitalism  emphasizes  urgency  embracing sustainable development objectives  transform  economy    reactive efficient inclusive  environmentally conscious system  massive open online course mooc provides   depth look   shortcomings   current  past global economies  shows    sustainable development  become  universally prioritized agenda   future   world  topics covered range  market economics  education gender equality international trade financing   module 1   sustainable development module 2   global markets  module 3  brief history   faustian bargain module 4 capitalism  injustice module 5  sdgs leaving  one behind module 6  tragedy   commons module 7  capitalism  sustainable development module 8  can cities  urban areas  governed better  make   sustainable ,4
57,Getting a Good Deal: Negotiating Extractive Industry Contracts,democratic institutions,much   work  contract negotiations happens  anyone sits    table  prepared  get  good deal   newest course  negotiating extractive industry contracts much   work  contract negotiations happens  anyone sits    table  prepared  get  good deal   newest course  negotiating extractive industry contracts  good deal   extractive industry  successful contract negotiations can support government negotiators   successful contract many resource rich countries negotiate complex contracts  govern mining oil  gas projects despite  critical importance   contracts  determining  risks  benefits   projects many developing country governments face disadvantages   negotiation process  can    asymmetric information  expertise lack  preparedness power imbalances   factors  course examines  challenges governments face  negotiating strong contracts  strategies  governments can use  address  challenges  increase  chances  negotiating  good deal  course  developed   natural resource governance institute nrgi  columbia center  sustainable investment ccsi   connex support unit  support  giz   european union   hosted   sdg academy module 1  policy  legal context around contract negotiations module 2 preparing  negotiations module 3 negotiations   aftermath,3
58,Natural Resources for Sustainable Development,reflexivity and adaptation,explore  sustainable development opportunities  challenges  using oil gas  minerals explore  sustainable development opportunities  challenges  using oil gas  minerals   countries translate natural resource wealth  sustainable development outcomes  policies  necessary   sustainable management  natural resource wealth   governance  extractive industries impact long term economic development   communication critical  sustainable natural resource management module 1 challenges  opportunities module 2 political economy  natural resources module 3 fundamentals  oil gas  mining industry considerations  policy implications module 4 legal overview module 5 fiscal regime design  revenue collection module 6 anticipating  managing environmental issues module 7 community rights module 8 artisanal mining module 9 revenue management module 10 investing  sustainable development economic linkages   extractives sector module 11 investing  sustainable development looking beyond extractives module 12 cross cutting considerations  looking ahead,4
59,The Age of Sustainable Development,policy coherence,learn  basics  sustainable development u 0096      u 0092 s important    can achieve  learn  basics  sustainable development u 0096      u 0092 s important    can achieve  learn  basics u 0096    build  sustainable world  planetary boundaries  renewable energy  sustainable consumption  natural resources  inequality  poverty  health  human rights   nations  economies flourish without leaving anyone behind sustainable development    urgent challenge facing humanity  fundamental question   can  world economy continue  develop   way   socially inclusive  environmentally sustainable  course provides  broad overview   interactions   economy  environment  humanity   constraints  finite resources   activities  drive climate change  equality    course   updated version  professor sachs popular 2015 course    name  includes new perspectives   reorientation towards agenda 2030   sdgs join us   introduction   tenets  sustainable development developed  experts   latest   social policy  physical sciences module 1   sustainable development module 2 economic development u 0096   measure    varies around  world module 3  short history  economic development module 4    countries advance  others remained  poverty module 5  mdgs   end  extreme poverty module 6 growth within planetary boundaries module 7 human rights  gender equality module 8 education module 9 universal health coverage module 10 sustainable food supply   end  hunge module 11 sustainable cities module 12 curbing climate change module 13 saving biodiversity module 14  sustainable development goals,2
60,Sustainable Food Systems: A Mediterranean Perspective,reflexivity and adaptation,   produce  better quality  safer food  simultaneously achieving social  environmental goals    produce  better quality  safer food  simultaneously achieving social  environmental goals  interlinkages  production  consumption explore food systems  countries across  mediterranean entrepreneurial opportunities  growing fields  mediterranean region  one    biodiverse   world home   complex  intricate patchwork  cultures climates  cuisines food systems   region u 0096 represented worldwide   mediterranean diet u 0096  equally complex demanding analysis across  political social cultural economic  nutritional spectrums  landscape  table  ability  mediterranean agriculture  sustain  peoples u 0096   planet u 0096  now threatened  several issues  course discusses  challenges  opportunities   agricultural sector   mediterranean basin  summarizes global  local challenges related  achievement   sustainable development goals outlines  history  culture  agriculture   main characteristics   focus   mediterranean diet explains agricultural data   focus  rural development models  value creation explores eu policy frameworks  international agreements related  food  agriculture   mediterranean  highlights emerging opportunities linked  innovation  sustainability   sector module 1  mediterranean challenges around food  agriculture module 2 history  agriculture  mediterranean basin  mediterranean diet module 3 poverty alleviation economic  social rural development module 4 fisheries  aquaculture module 5   achieve  sdgs   mediterranean u 0096  way forward  water resources  fisheries management module 6   achieve  sdgs   mediterranean u 0096  way forward ii sustainable farming systems  environmental  climatic constraints module 7   achieve  sdgs   mediterranean u 0096  way forward iii food value chain  regional  local development module 8   achieve  sdgs   mediterranean u 0096  way forward iv reducing food waste  enhancing  product innovations module 9   achieve  sdgs   mediterranean u 0096  way forward v nutrition  education module 10 new professional profiles   mediterranean context,4
61,"One Planet, One Ocean",reflexivity and adaptation, holistic view    ocean functions  human interactions   ocean can  understood   solutions  available  support  sustainable use  stewardship   blue planet  holistic view    ocean functions  human interactions   ocean can  understood   solutions  available  support  sustainable use  stewardship   blue planet  physics biology  chemistry   ocean  rules  regulations governing ocean use  misuse plus related economics  ocean ecosystems   interactions   ocean impact  resilience energy production fisheries   systems   ocean  real final frontier humans   greater understanding   surface   moon      depths   waters    know   ocean proves  hosts  wealth  opportunity u 0096 connecting  world supporting important  basic economic cultural  environmental functions u 0096 despite   significant threat stressed  unsustainable lifestyles   increasing demands   growing global population    become good stewards   massive natural resource   massive open online course one planet u 0096 one ocean  science  solutions learn   world s leading experts  ocean science   present  issues  potential solutions u 0096 grounded  rigorous scientific research u 0096  fight   endangered waters module 1 one planet u 0096 one ocean module 2 coasts module 3 marine ecosystems module 4 fisheries  aquaculture module 5 marine life  minerals module 6 ocean  climate,4
62,Cities and the Challenge of Sustainable Development,reflexivity and adaptation,  sustainable cities learn  basics    sustainable cities learn  basics     sustainable development goals    cities       various sectors contribute  modern sustainable urban development according   united nations urbanization  population growth  result   increase  2 5 billion people  urban populations  2050  associated impacts ranging  increased transportation needs   building    make cities sustainable  support  growth   mini series learn  challenges  local governments  adapt  new technologies energy systems modes  transportation    order  build  sustainable cities   21st century  mini series   companion piece   sdg academy s full length sustainable cities course 1 introduction   sdgs 2  cities  importance  sdg 11 3  10 point agenda  21st century cities 4 urban environment  energy systems 5 cities  hubs  knowledge,4
