"","titles","max.col"
"54","master in international affairs and diplomacy","democratic_keystems"
"55","national disaster risk reduction strategies","democratic_keystems"
"56","national metadata for sdgs","reflex_adpt_keystems"
"57","nature-based solutions for disaster and climate resilience","participation_keystems"
"58","official statistics for sdgs","reflex_adpt_keystems"
"59","online diploma in multilateral diplomacy",NA
"60","online diploma in multilateral diplomacy 2022   edition 2","democratic_keystems"
"61","policy cycle, integrated approaches and sdgs for african ldcs","policy_coh_keystems"
"62","poverty statistics for sdgs","reflex_adpt_keystems"
"63","preparing for action national briefing package: the 2030 agenda and sdgs",NA
"64","programming for child feeding","participation_keystems"
"65","public-private-partnerships (ppp)","participation_keystems"
"66","public-private partnerships","participation_keystems"
"67","public financial management","participation_keystems"
"68","raising ambition - how to set science-based targets aligning with 1.5<u+00b0>c pathways","reflex_adpt_keystems"
"69","remote training on phone surveys","reflex_adpt_keystems"
"70","risk-informed governance and innovative technology for disaster risk reduction and resilience <u+200b>","reflex_adpt_keystems"
"71","sdg indicator 14.4.1 - fish stocks sustainability","reflex_adpt_keystems"
"72","sdg indicator 14.b.1 - securing sustainable small-scale fisheries","reflex_adpt_keystems"
"73","sdg indicator 2.1.1 - prevalence of undernourishment (pou)","reflex_adpt_keystems"
"74","sdg indicator 2.1.2 - using the food insecurity experience scale (fies)","reflex_adpt_keystems"
"75","sdg indicator 2.4.1 - sustainable agriculture","reflex_adpt_keystems"
"76","sdg indicator 2.a.1   agriculture orientation index","reflex_adpt_keystems"
"77","sdg indicator 2.c.1 - food price anomalies","reflex_adpt_keystems"
"78","sdg indicator 5.a.1 - equal tenure rights for women on agricultural land","reflex_adpt_keystems"
"79","sdg indicators 15.1.1 and 15.2.1 - forest area and sustainable forest management","reflex_adpt_keystems"
"80","sdg indicators 2.5.1 and 2.5.2 - plant and animal genetic resources","reflex_adpt_keystems"
"81","sdg sub-indicator 12.3.1.a   food loss index","reflex_adpt_keystems"
"82","seea experimental ecosystem accounting","democratic_keystems"
"83","seea for policy makers","democratic_keystems"
"84","seea: in-depth training on water accounting","policy_coh_keystems"
"85","seea: in depth training on energy accounting","reflex_adpt_keystems"
"86","standards for the sdgs",NA
"87","strategic planning for territorial development and the 2030 agenda","participation_keystems"
"88","strengthening institutional arrangements and governance capacities for policy coherence<u+200b>","democratic_keystems"
"89","strengthening stakeholder engagement for the 2030 agenda","participation_keystems"
"90","taking the entrepreneurship route","participation_keystems"
"91","the executive diploma",NA
"92","the gender statistics toolkit","reflex_adpt_keystems"
"93","the un country team leadership course","democratic_keystems"
"94","the un sustainable development cooperation framework","policy_coh_keystems"
"95","the women ict frontier initiative (wifi)","participation_keystems"
"96","trainfortrade e-learn course on international merchandise trade statistics","reflex_adpt_keystems"
"97","transparency, accountability and ethics in public institutions","democratic_keystems"
"98","un strategic communications for the 2030 agenda","policy_coh_keystems"
"99","un summer academy","participation_keystems"
"100","un summer academy 2022","participation_keystems"
"101","understanding data and statistics better","reflex_adpt_keystems"
"102","unece gender statistics toolkit","reflex_adpt_keystems"
"103","unido iap","reflex_adpt_keystems"
"104","united nations development assistance framework (undaf)","policy_coh_keystems"
"105","unleashing the power of the private sector for the 2030 agenda","participation_keystems"
